#DSID,Name,Generator,p2949 available?
#Single top,,,
410011,t-channel top,PowhegPythia,y
410012,t-channel antitop,PowhegPythia,y
410013,Wt inclusive top,PowhegPythia,y
410014,Wt inclusive antitop,PowhegPythia,y
410025,s-channel top (no all had) ,PowhegPythia,y
410026,s-channel antitop (no all had),PowhegPythia,y
#,,,
#ttbar,,,
410000,ttbar (no all had),PowhegPythia,y
#,,,
#Multitop,,,
304041,3 top,MadGraphPythia,n
410090,4 top,MadGraphPythia,n
#,,,
#Diboson,,,
361069,llvvjj EW4 ,Sherpa_CT10,y
361070,llvvjj EW6 ,Sherpa_CT10,y
361071,lllvjj EW6 ,Sherpa_CT10,y
361072,lllljj EW6 ,Sherpa_CT10,y
361073,ggllll ,Sherpa_CT10,y
361077,ggllvv ,Sherpa_CT10,y
363356,ZqqZll ,Sherpa_221,y
363358,WqqZll,Sherpa_221,y
363359,Wpqq Wmlv ,Sherpa_221,y
363360,WplvWmqq ,Sherpa_221,y
363489,WlvZqq ,Sherpa_221,y
363490,llll,Sherpa_221,y
363491,lllv ,Sherpa_221,y
363492,llvv,Sherpa_221,y
#,,,
#Triboson,,,
407311,6l0v,Sherpa_221,n
407312,5l1v,Sherpa_221,n
407313,4l2v,Sherpa_221,n
407314,3l3v,Sherpa_221,n
407315,2l4v,Sherpa_221,n
#,,,
#ttbar + V,,,
410218,ttee,aMC@NLO+Pythia,y
410219,ttmm,aMC@NLO+Pythia,y
410220,tt tau tau,aMC@NLO+Pythia,y
410155,ttW,aMC@NLO+Pythia,y
410081,ttWW,MadGraphPythia,y
407321,ttWll,MadGraphPythia,y
#,,,
#W+jets,,,
364156,Wmunu MAXHTPTV0 70 CVetoBVeto ,Sherpa_221,y
364157,Wmunu MAXHTPTV0 70 CFilterBVeto ,Sherpa_221,y
364158,Wmunu MAXHTPTV0 70 BFilter,Sherpa_221,y
364159,Wmunu MAXHTPTV70 140 CVetoBVeto ,Sherpa_221,y
364160,Wmunu MAXHTPTV70 140 CFilterBVeto ,Sherpa_221,y
364161,Wmunu MAXHTPTV70 140 BFilter ,Sherpa_221,y
364162,Wmunu MAXHTPTV140 280 CVetoBVeto ,Sherpa_221,y
364163,Wmunu MAXHTPTV140 280 CFilterBVeto ,Sherpa_221,y
364164,Wmunu MAXHTPTV140 280 BFilter ,Sherpa_221,y
364165,Wmunu MAXHTPTV280 500 CVetoBVeto ,Sherpa_221,y
364166,Wmunu MAXHTPTV280 500 CFilterBVeto ,Sherpa_221,y
364167,Wmunu MAXHTPTV280 500 BFilter ,Sherpa_221,y
364168,Wmunu MAXHTPTV500 1000,Sherpa_221,y
364169,Wmunu MAXHTPTV1000 E CMS,Sherpa_221,y
364170,Wenu MAXHTPTV0 70 CVetoBVeto ,Sherpa_221,y
364171,Wenu MAXHTPTV0 70 CFilterBVeto ,Sherpa_221,y
364172,Wenu MAXHTPTV0 70 BFilter,Sherpa_221,y
364173,Wenu MAXHTPTV70 140 CVetoBVeto ,Sherpa_221,y
364174,Wenu MAXHTPTV70 140 CFilterBVeto ,Sherpa_221,y
364175,Wenu MAXHTPTV70 140 BFilter,Sherpa_221,y
364176,Wenu MAXHTPTV140 280 CVetoBVeto ,Sherpa_221,y
364177,Wenu MAXHTPTV140 280 CFilterBVeto ,Sherpa_221,y
364178,Wenu MAXHTPTV140 280 BFilter ,Sherpa_221,y
364179,Wenu MAXHTPTV280 500 CVetoBVeto ,Sherpa_221,y
364180,Wenu MAXHTPTV280 500 CFilterBVeto ,Sherpa_221,y
364181,Wenu MAXHTPTV280 500 BFilter ,Sherpa_221,y
364182,Wenu MAXHTPTV500 1000,Sherpa_221,y
364183,Wenu MAXHTPTV1000 E CMS,Sherpa_221,y
364184,Wtaunu MAXHTPTV0 70 CVetoBVeto ,Sherpa_221,y
364185,Wtaunu MAXHTPTV0 70 CFilterBVeto ,Sherpa_221,y
364186,Wtaunu MAXHTPTV0 70 BFilter,Sherpa_221,y
364187,Wtaunu MAXHTPTV70 140 CVetoBVeto ,Sherpa_221,y
364188,Wtaunu MAXHTPTV70 140 CFilterBVeto ,Sherpa_221,y
364189,Wtaunu MAXHTPTV70 140 BFilter ,Sherpa_221,y
364190,Wtaunu MAXHTPTV140 280 CVetoBVeto ,Sherpa_221,y
364191,Wtaunu MAXHTPTV140 280 CFilterBVeto ,Sherpa_221,y
364192,Wtaunu MAXHTPTV140 280 BFilter ,Sherpa_221,y
364193,Wtaunu MAXHTPTV280 500 CVetoBVeto ,Sherpa_221,y
364194,Wtaunu MAXHTPTV280 500 CFilterBVeto ,Sherpa_221,y
364195,Wtaunu MAXHTPTV280 500 BFilter ,Sherpa_221,y
364196,Wtaunu MAXHTPTV500 1000,Sherpa_221,y
364197,Wtaunu MAXHTPTV1000 E CMS,Sherpa_221,y
#,,,
#V+gamma,,,
301535,ee+gamma Pt10 35 ,Sherpa_CT10,n
301536,mm+gamma Pt10 35 ,Sherpa_CT10,n
301891,en + gamma Pt70 140 ,Sherpa_CT10,n
301892,en + gamma Pt140,Sherpa_CT10,n
301897,taun + gamma Pt70 140 ,Sherpa_CT10,n
301898,taun + gamma Pt140 ,Sherpa_CT10,n
301899,ee+gamma Pt5 70 ,Sherpa_CT10,n
301890,en + gamma Pt5 70 ,Sherpa_CT10,n
301893,mn + gamma Pt35 70 ,Sherpa_CT10,n
301896,taun + gamma Pt35 70 ,Sherpa_CT10,n
301900,ee + gamma Pt70 140 ,Sherpa_CT10,n
301901,ee + gamma Pt140 ,Sherpa_CT10,n
301902,mm+gamma Pt5 70 ,Sherpa_CT10,n
301903,mm + gamma Pt70 140 ,Sherpa_CT10,n
301904,mm + gamma Pt140,Sherpa_CT10,n
301905,tautau +gamma Pt35 70 ,Sherpa_CT10,n
301906,tautau +gamma Pt70 140 ,Sherpa_CT10,n
301907,tautau +gamma Pt140,Sherpa_CT10,n
#,,,
#Z+jets,,,
364100,Zmumu MAXHTPTV0 70 CVetoBVeto ,Sherpa_221,y
364101,Zmumu MAXHTPTV0 70 CFilterBVeto ,Sherpa_221,y
364102,Zmumu MAXHTPTV0 70 BFilter,Sherpa_221,y
364103,Zmumu MAXHTPTV70 140 CVetoBVeto ,Sherpa_221,y
364104,Zmumu MAXHTPTV70 140 CFilterBVeto ,Sherpa_221,y
364105,Zmumu MAXHTPTV70 140 BFilter ,Sherpa_221,y
364106,Zmumu MAXHTPTV140 280 CVetoBVeto ,Sherpa_221,y
364107,Zmumu MAXHTPTV140 280 CFilterBVeto ,Sherpa_221,y
364108,Zmumu MAXHTPTV140 280 BFilter ,Sherpa_221,y
364109,Zmumu MAXHTPTV280 500 CVetoBVeto ,Sherpa_221,y
364110,Zmumu MAXHTPTV280 500 CFilterBVeto ,Sherpa_221,y
364111,Zmumu MAXHTPTV280 500 BFilter ,Sherpa_221,y
364112,Zmumu MAXHTPTV500 1000,Sherpa_221,y
364113,Zmumu MAXHTPTV1000 E CMS ,Sherpa_221,y
364114,Zee MAXHTPTV0 70 CVetoBVeto ,Sherpa_221,y
364115,Zee MAXHTPTV0 70 CFilterBVeto ,Sherpa_221,y
364116,Zee MAXHTPTV0 70 BFilter,Sherpa_221,y
364117,Zee MAXHTPTV70 140 CVetoBVeto ,Sherpa_221,y
364118,Zee MAXHTPTV70 140 CFilterBVeto ,Sherpa_221,y
364119,Zee MAXHTPTV70 140 BFilter,Sherpa_221,y
364120,Zee MAXHTPTV140 280 CVetoBVeto ,Sherpa_221,y
364121,Zee MAXHTPTV140 280 CFilterBVeto ,Sherpa_221,y
364122,Zee MAXHTPTV140 280 BFilter,Sherpa_221,y
364123,Zee MAXHTPTV280 500 CVetoBVeto ,Sherpa_221,y
364124,Zee MAXHTPTV280 500 CFilterBVeto ,Sherpa_221,y
364125,Zee MAXHTPTV280 500 BFilter,Sherpa_221,y
364126,Zee MAXHTPTV500 1000,Sherpa_221,y
364127,Zee MAXHTPTV1000 E CMS,Sherpa_221,y
364128,Ztautau MAXHTPTV0 70 CVetoBVeto ,Sherpa_221,y
364129,Ztautau MAXHTPTV0 70 CFilterBVeto ,Sherpa_221,y
364130,Ztautau MAXHTPTV0 70 BFilter,Sherpa_221,y
364131,Ztautau MAXHTPTV70 140 CVetoBVeto ,Sherpa_221,y
364132,Ztautau MAXHTPTV70 140 CFilterBVeto ,Sherpa_221,y
364133,Ztautau MAXHTPTV70 140 BFilter ,Sherpa_221,y
364134,Ztautau MAXHTPTV140 280 CVetoBVeto ,Sherpa_221,y
364135,Ztautau MAXHTPTV140 280 CFilterBVeto ,Sherpa_221,y
364136,Ztautau MAXHTPTV140 280 BFilter ,Sherpa_221,y
364137,Ztautau MAXHTPTV280 500 CVetoBVeto ,Sherpa_221,y
364138,Ztautau MAXHTPTV280 500 CFilterBVeto ,Sherpa_221,y
364139,Ztautau MAXHTPTV280 500 BFilter ,Sherpa_221,y
364140,Ztautau MAXHTPTV500 1000,Sherpa_221,y
364141,Ztautau MAXHTPTV1000 E CMS,Sherpa_221,y
#,,,
#Drell Yan aka Low Mass Z+jets,,,
364198,Zmm Mll10 40 MAXHTPTV0 70 BVeto,Sherpa_221,y
364199,Zmm Mll10 40 MAXHTPTV0 70 BFilter,Sherpa_221,y
364200,Zmm Mll10 40 MAXHTPTV70 280 BVeto,Sherpa_221,y
364201,Zmm Mll10 40 MAXHTPTV70 280 BFilter ,Sherpa_221,y
364202,Zmm Mll10 40 MAXHTPTV280 E CMS BVeto ,Sherpa_221,y
364203,Zmm Mll10 40 MAXHTPTV280 E CMS BFilter ,Sherpa_221,y
364204,Zee Mll10 40 MAXHTPTV0 70 BVeto,Sherpa_221,y
364205,Zee Mll10 40 MAXHTPTV0 70 BFilter,Sherpa_221,y
364206,Zee Mll10 40 MAXHTPTV70 280 BVeto,Sherpa_221,y
364207,Zee Mll10 40 MAXHTPTV70 280 BFilter,Sherpa_221,y
364208,Zee Mll10 40 MAXHTPTV280 E CMS BVeto ,Sherpa_221,y
364209,Zee Mll10 40 MAXHTPTV280 E CMS BFilter ,Sherpa_221,y
364212,Ztt Mll10 40 MAXHTPTV70 280 BVeto,Sherpa_221,y
364211,Ztt Mll10 40 MAXHTPTV0 70 BFilter,Sherpa_221,y
364213,Ztt Mll10 40 MAXHTPTV70 280 BFilter,Sherpa_221,y
364214,Ztt Mll10 40 MAXHTPTV280 E CMS BVeto ,Sherpa_221,y
364215,Ztt Mll10 40 MAXHTPTV280 E CMS BFilter ,Sherpa_221,y
364210,Ztt Mll10 40 MAXHTPTV0 70 BVeto,Sherpa_221,y
#,,,
#Higgs,,,
341079,ggH125WWlnln ,PowhegPythia8,n
341122,ggH125tautaull ,PowhegPythia8,n
341195,ggH125mm ,PowhegPythia8,n
342178,ggH125ee ,PowhegPythia8,n
341080,VBFH125WWlnln ,PowhegPythia8,n
341155,VBFH125tautaull ,PowhegPythia8,n
341206,VBFH125mm ,PowhegPythia8,n
342189,VBFH125ee ,PowhegPythia8,n
342284,WH125,Pythia8,n
342285,ZH125,Pythia8,n
341177,ttH125 dil ,aMC@NLO+HERWIGPP,n
341270,ttH125 semilep ,aMC@NLO+HERWIGPP,n
341271,ttH125 allhad,aMC@NLO+HERWIGPP,n
