+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data15_13TeV:DAOD_SUSY2.10327825._000001.pool.root.1 | 3D38A052-8BFF-0148-A1CA-36AFA41BD2CA | ad:c58159fb | 12.159 MB  |      636 |
| data15_13TeV:DAOD_SUSY2.10327825._000002.pool.root.1 | 474FFBA8-9362-5C4E-B603-5F36CD5E91E8 | ad:9e82c3a9 | 1.382 MB   |       46 |
| data15_13TeV:DAOD_SUSY2.10327825._000003.pool.root.1 | E91FDB09-91CB-A64D-9973-B6DFEC5A4033 | ad:cff1c29a | 14.733 MB  |      779 |
| data15_13TeV:DAOD_SUSY2.10327825._000004.pool.root.1 | 94DADFA9-C992-A642-9E2F-86C2102B1B1C | ad:b25562a5 | 6.382 MB   |      305 |
| data15_13TeV:DAOD_SUSY2.10327825._000005.pool.root.1 | B5CA0A83-EEE2-3240-9AEC-AF95495D838C | ad:0ec34e93 | 14.538 MB  |      749 |
| data15_13TeV:DAOD_SUSY2.10327825._000006.pool.root.1 | 90E5FAC7-5D4E-D14D-854B-0098572A3CC3 | ad:1fa792bc | 11.210 MB  |      575 |
| data15_13TeV:DAOD_SUSY2.10327825._000007.pool.root.1 | 59A29123-1A83-4746-A7D0-BBC5CFD454C4 | ad:a9d154c4 | 14.456 MB  |      765 |
| data15_13TeV:DAOD_SUSY2.10327825._000008.pool.root.1 | 7CF34F63-FF07-DD48-808F-11DB4A27C129 | ad:9cafa712 | 11.150 MB  |      586 |
| data15_13TeV:DAOD_SUSY2.10327825._000009.pool.root.1 | 5E3ADF98-7FDB-994B-99AC-501081B82C32 | ad:add7260d | 11.164 MB  |      567 |
| data15_13TeV:DAOD_SUSY2.10327825._000010.pool.root.1 | B05BC449-1C9D-3343-B199-8CD33D8D66E5 | ad:cbf2897c | 13.189 MB  |      664 |
| data15_13TeV:DAOD_SUSY2.10327825._000011.pool.root.1 | D107D6D7-6D0A-C74E-A046-D126CD93AA4C | ad:79ed01d9 | 64.316 MB  |     3493 |
| data15_13TeV:DAOD_SUSY2.10327825._000012.pool.root.1 | 78410856-ADAB-FA46-91E2-46078AA65F79 | ad:2b606ffc | 25.090 MB  |     1325 |
| data15_13TeV:DAOD_SUSY2.10327817._000001.pool.root.1 | 945E1905-5C2D-FC4F-9314-8FCF774DF503 | ad:a435692c | 11.727 MB  |      644 |
| data15_13TeV:DAOD_SUSY2.10327817._000002.pool.root.1 | 7ED884BC-A990-6142-9009-B4093D32DE5F | ad:e619dc47 | 8.852 MB   |      471 |
| data15_13TeV:DAOD_SUSY2.10327817._000003.pool.root.1 | 780C1997-7539-2741-AFA7-D3628029D494 | ad:36716199 | 17.142 MB  |      949 |
| data15_13TeV:DAOD_SUSY2.10327817._000004.pool.root.1 | 4D2D05AE-6D76-C545-91BA-F93C967DFFDE | ad:07478460 | 3.660 MB   |      187 |
| data15_13TeV:DAOD_SUSY2.10327817._000005.pool.root.1 | 622EC921-C7E9-7D4C-A453-6F2AF89FDB2C | ad:7f6ccdfb | 10.292 MB  |      571 |
| data15_13TeV:DAOD_SUSY2.10327817._000007.pool.root.1 | EDF6F067-2A73-5C47-B0A3-64AE95707F25 | ad:750ff525 | 13.381 MB  |      709 |
| data15_13TeV:DAOD_SUSY2.10327817._000008.pool.root.1 | 45D0210C-52C0-0B49-86E4-33A48A90A0AB | ad:a0d81596 | 4.434 MB   |      220 |
| data15_13TeV:DAOD_SUSY2.10327817._000009.pool.root.1 | 0452C2E0-A884-0F40-A8C9-CF1EFF47F962 | ad:4b7430ef | 12.368 MB  |      670 |
| data15_13TeV:DAOD_SUSY2.10327817._000010.pool.root.1 | 593452FF-CF1C-FD43-8EBC-047B1C684786 | ad:e27489ee | 1.981 MB   |       79 |
| data15_13TeV:DAOD_SUSY2.10327817._000013.pool.root.1 | C3DACF56-07A8-DF4E-A5BD-5B08836600E3 | ad:2975db16 | 52.259 MB  |     2937 |
| data15_13TeV:DAOD_SUSY2.10327817._000014.pool.root.1 | 46722502-2C6C-F84E-B25D-78D1942947CE | ad:8c88cfe3 | 53.103 MB  |     3034 |
| data15_13TeV:DAOD_SUSY2.10327817._000015.pool.root.1 | A92D7610-235F-214A-95B4-8410E9685054 | ad:5afc99aa | 52.526 MB  |     2947 |
| data15_13TeV:DAOD_SUSY2.10327817._000016.pool.root.1 | DB1C6F64-D515-0F49-8A37-915360E457D4 | ad:2f29f8fa | 53.321 MB  |     2995 |
| data15_13TeV:DAOD_SUSY2.10327817._000017.pool.root.1 | 1D277DCD-BDC2-C047-98CD-A4C76FC4DEE2 | ad:db36fc77 | 51.912 MB  |     2938 |
| data15_13TeV:DAOD_SUSY2.10327817._000018.pool.root.1 | CD1A44C9-3C4D-F84B-A4F0-74FC4037CCE7 | ad:c4d2e451 | 52.694 MB  |     2995 |
| data15_13TeV:DAOD_SUSY2.10327817._000019.pool.root.1 | 2823F0B3-A39C-CA46-9D9F-0F0922F7973F | ad:d365ebd2 | 52.073 MB  |     2930 |
| data15_13TeV:DAOD_SUSY2.10327817._000020.pool.root.1 | D646DE5B-D383-1449-8035-8EC57D7B6290 | ad:20368121 | 52.372 MB  |     2876 |
| data15_13TeV:DAOD_SUSY2.10327817._000021.pool.root.1 | 0087958E-26DA-5D44-B217-F8E4C64F72E3 | ad:c6bbdf7f | 53.377 MB  |     3005 |
| data15_13TeV:DAOD_SUSY2.10327817._000022.pool.root.1 | C68E6DB3-F7BE-3447-8541-19DF925D468D | ad:0768369b | 51.622 MB  |     2920 |
| data15_13TeV:DAOD_SUSY2.10327817._000023.pool.root.1 | 8AB6E2E6-9F7F-D147-A75F-533958027ED9 | ad:674535e5 | 54.063 MB  |     3070 |
| data15_13TeV:DAOD_SUSY2.10327817._000024.pool.root.1 | 16E8F7BD-DD67-204F-928D-C01D92B313B7 | ad:02005d22 | 54.621 MB  |     3087 |
| data15_13TeV:DAOD_SUSY2.10327817._000025.pool.root.1 | 6C8AF5FD-DBC5-5644-97FA-3ACD99FC4D21 | ad:95871cd7 | 51.943 MB  |     2935 |
| data15_13TeV:DAOD_SUSY2.10327817._000026.pool.root.1 | 67734E25-FD1F-1440-A060-F1316EED0CE3 | ad:d7ff4da0 | 50.022 MB  |     2843 |
| data15_13TeV:DAOD_SUSY2.10327817._000027.pool.root.1 | C20E77DA-5F72-D249-8D64-0792EBBAA878 | ad:d4934ebc | 51.760 MB  |     2943 |
| data15_13TeV:DAOD_SUSY2.10327817._000028.pool.root.1 | BFE831B8-9CDD-B34C-8601-ACE9426EF71F | ad:7490575d | 50.365 MB  |     2869 |
| data15_13TeV:DAOD_SUSY2.10327817._000029.pool.root.1 | 365EB0A6-A286-BA43-BA88-F8038D88B1B9 | ad:4ac3502b | 51.547 MB  |     2925 |
| data15_13TeV:DAOD_SUSY2.10327817._000030.pool.root.1 | 3294D75D-7DF4-1240-A121-DF937F15A11E | ad:8cf4c6ef | 49.930 MB  |     2801 |
| data15_13TeV:DAOD_SUSY2.10327817._000031.pool.root.1 | 8F3F352A-6D1E-5A4E-A548-E87A767509F4 | ad:8b3b6cfb | 52.283 MB  |     2948 |
| data15_13TeV:DAOD_SUSY2.10327817._000032.pool.root.1 | 7F2CBCC1-EAB6-364B-8931-FF417B494EF7 | ad:7aaa953c | 48.546 MB  |     2767 |
| data15_13TeV:DAOD_SUSY2.10327817._000033.pool.root.1 | 31C1FA14-E348-6B4E-9424-189950BC175C | ad:68a79bc9 | 53.646 MB  |     3003 |
| data15_13TeV:DAOD_SUSY2.10327817._000034.pool.root.1 | C4FE5012-5B13-E945-B88C-6427727CAF97 | ad:d04d62d5 | 49.346 MB  |     2787 |
| data15_13TeV:DAOD_SUSY2.10327817._000035.pool.root.1 | CD4CCCC4-A2F7-9D47-9C29-B2F92B558F41 | ad:209e5e14 | 53.307 MB  |     3066 |
| data15_13TeV:DAOD_SUSY2.10327817._000036.pool.root.1 | 61209D3A-2E8A-CE4A-97F9-200BC9539816 | ad:6135774f | 48.608 MB  |     2772 |
| data15_13TeV:DAOD_SUSY2.10327817._000037.pool.root.1 | E335C636-9D90-3344-838E-A38E87CECC0F | ad:28f5eb1c | 53.212 MB  |     3020 |
| data15_13TeV:DAOD_SUSY2.10327817._000038.pool.root.1 | AFC23A28-A86D-CA4D-9C56-7898AE06BDCC | ad:e93a35c2 | 48.715 MB  |     2771 |
| data15_13TeV:DAOD_SUSY2.10327817._000039.pool.root.1 | C47FC0F3-6249-B341-BFE8-57D80AB93D31 | ad:94214053 | 52.515 MB  |     2977 |
| data15_13TeV:DAOD_SUSY2.10327817._000040.pool.root.1 | 3C7763EC-83D6-4D4F-98A9-5EEE33A5AD39 | ad:56027ac2 | 52.038 MB  |     2981 |
| data15_13TeV:DAOD_SUSY2.10327817._000041.pool.root.1 | 0EBD7AD0-5747-2A4E-A1A1-6AEDB413C0DF | ad:794e8f5c | 58.492 MB  |     3362 |
| data15_13TeV:DAOD_SUSY2.10327817._000042.pool.root.1 | D220956C-078B-6047-8A30-0D7EF0687ABC | ad:546cf014 | 56.271 MB  |     3242 |
| data15_13TeV:DAOD_SUSY2.10327817._000043.pool.root.1 | 99D1646C-35CA-CF41-8404-BD637F156471 | ad:5c6a7f74 | 56.777 MB  |     3254 |
| data15_13TeV:DAOD_SUSY2.10327817._000044.pool.root.1 | 543F3AAF-2F0E-C645-92E1-7B247E5D7658 | ad:a049445d | 59.049 MB  |     3394 |
| data15_13TeV:DAOD_SUSY2.10327817._000045.pool.root.1 | 7DC2C9C2-1D6C-7341-84BA-1A5505F2D2E3 | ad:a8d34252 | 59.458 MB  |     3425 |
| data15_13TeV:DAOD_SUSY2.10327817._000046.pool.root.1 | DF2AD6B0-824A-2B43-B8C4-86E35EB56A01 | ad:aec80e49 | 56.842 MB  |     3208 |
| data15_13TeV:DAOD_SUSY2.10327817._000047.pool.root.1 | DAEEA8C6-AD47-FB48-8A99-5ECCD638B1B1 | ad:e2d73cf2 | 53.735 MB  |     3087 |
| data15_13TeV:DAOD_SUSY2.10327817._000048.pool.root.1 | F56A3F7D-CCAC-0745-BA74-7056E5B70E8A | ad:6c64d2c7 | 56.436 MB  |     3202 |
| data15_13TeV:DAOD_SUSY2.10327817._000049.pool.root.1 | 15E4B6E4-B56C-5A47-9B2F-599127B4248F | ad:45e9fb03 | 59.358 MB  |     3423 |
| data15_13TeV:DAOD_SUSY2.10327817._000050.pool.root.1 | A70745F6-CDAB-3B47-843C-6A40CB4AFA19 | ad:ece69d9d | 53.643 MB  |     3055 |
| data15_13TeV:DAOD_SUSY2.10327817._000051.pool.root.1 | E04B8AD8-D3B8-D142-BA9E-DC7D72FA4307 | ad:946a6194 | 58.556 MB  |     3339 |
| data15_13TeV:DAOD_SUSY2.10327817._000052.pool.root.1 | F8858A88-3A34-0E4F-BC8C-1DE4091BA06C | ad:3f3e4ad8 | 57.430 MB  |     3288 |
| data15_13TeV:DAOD_SUSY2.10327817._000053.pool.root.1 | 1A03240F-3261-7C4F-ABD9-03FA47B86152 | ad:8cae36f4 | 60.228 MB  |     3433 |
| data15_13TeV:DAOD_SUSY2.10327817._000054.pool.root.1 | E667C60A-6AB1-0449-A566-4C26EE888FA0 | ad:9e3c0ab3 | 66.792 MB  |     3763 |
| data15_13TeV:DAOD_SUSY2.10327817._000055.pool.root.1 | 22781151-276A-F446-9AFD-88A8F8E00CBD | ad:975d6247 | 52.840 MB  |     2924 |
| data15_13TeV:DAOD_SUSY2.10327817._000056.pool.root.1 | C5C817A2-B012-9A40-9B61-57C2F82C7299 | ad:061e6f77 | 53.150 MB  |     3006 |
| data15_13TeV:DAOD_SUSY2.10327817._000057.pool.root.1 | 4A061D99-5736-6F49-8C44-AC1D80F72C87 | ad:acf0d17a | 61.234 MB  |     3510 |
| data15_13TeV:DAOD_SUSY2.10327817._000058.pool.root.1 | 2CB2F465-7AD9-2249-B348-1B3EE8E15E5C | ad:0082b757 | 69.181 MB  |     3938 |
| data15_13TeV:DAOD_SUSY2.10327817._000059.pool.root.1 | 9E432A33-E748-9548-ACB7-F08FA8566D7B | ad:b6b4d7cc | 49.667 MB  |     2833 |
| data15_13TeV:DAOD_SUSY2.10327817._000060.pool.root.1 | 0BE59488-02AC-2F47-9546-E44E78D314DF | ad:f9298f5e | 58.907 MB  |     3319 |
| data15_13TeV:DAOD_SUSY2.10327817._000061.pool.root.1 | 26C8327E-C771-2748-BC43-77B4FBCD1737 | ad:8a68771e | 48.361 MB  |     2636 |
| data15_13TeV:DAOD_SUSY2.10327817._000062.pool.root.1 | 50C21B1D-AC81-444D-8D80-CB53A839AFA9 | ad:199adeea | 46.457 MB  |     2598 |
| data15_13TeV:DAOD_SUSY2.10327817._000063.pool.root.1 | 74F08C36-EE17-014B-B373-F0376DF21838 | ad:0eec3f8f | 55.263 MB  |     3268 |
| data15_13TeV:DAOD_SUSY2.10327817._000064.pool.root.1 | 8FC091BA-A989-7A46-ADD2-A818D7F17F08 | ad:04c9fcce | 54.073 MB  |     3088 |
| data15_13TeV:DAOD_SUSY2.10327817._000065.pool.root.1 | F15C7C75-C46A-764F-8F5C-C3552903248F | ad:b4aa07e9 | 59.734 MB  |     3432 |
| data15_13TeV:DAOD_SUSY2.10327817._000066.pool.root.1 | DE307646-E6BE-904F-BBEE-FB62855B6FBB | ad:34f4b00d | 57.994 MB  |     3375 |
| data15_13TeV:DAOD_SUSY2.10327817._000067.pool.root.1 | 7DFA653A-F019-414B-95ED-D746BD603F7C | ad:01b11ef8 | 35.912 MB  |     1860 |
| data15_13TeV:DAOD_SUSY2.10327817._000068.pool.root.1 | AC568094-927F-664E-9851-5D6716B24DBA | ad:ab9ea2c6 | 56.635 MB  |     3190 |
| data15_13TeV:DAOD_SUSY2.10327817._000069.pool.root.1 | D585ABB9-08B6-314E-B8F4-66AB56912F6C | ad:f11f9f07 | 60.265 MB  |     3445 |
| data15_13TeV:DAOD_SUSY2.10327817._000070.pool.root.1 | D339CCCA-1D59-AA40-82B6-3C13986D0191 | ad:fa3fa870 | 54.450 MB  |     3095 |
| data15_13TeV:DAOD_SUSY2.10327817._000071.pool.root.1 | DC351FCB-0FC5-4940-857C-CE7F7FCDB019 | ad:e7357287 | 53.642 MB  |     3065 |
| data15_13TeV:DAOD_SUSY2.10327817._000072.pool.root.1 | 147D4031-EAE1-7545-B19D-D28E7ED8234E | ad:383eef66 | 61.526 MB  |     3513 |
| data15_13TeV:DAOD_SUSY2.10327817._000073.pool.root.1 | 8A0BD71D-30D8-574E-A9F4-1C3F5909BCA6 | ad:feeb9d88 | 51.659 MB  |     2972 |
| data15_13TeV:DAOD_SUSY2.10327817._000074.pool.root.1 | E20580AB-3244-F948-93F8-7240B15C7C98 | ad:253694bd | 57.587 MB  |     3275 |
| data15_13TeV:DAOD_SUSY2.10327817._000075.pool.root.1 | 6D2A74B2-EB18-644B-8765-275D5540DDED | ad:42e18beb | 44.190 MB  |     2561 |
| data15_13TeV:DAOD_SUSY2.10327817._000076.pool.root.1 | E4A78893-1B46-D440-9000-965E9C5CCF0D | ad:bd348204 | 51.419 MB  |     2891 |
| data15_13TeV:DAOD_SUSY2.10327817._000077.pool.root.1 | 88906AA1-3566-944F-A980-3654258D544A | ad:9832a180 | 52.812 MB  |     2965 |
| data15_13TeV:DAOD_SUSY2.10327817._000078.pool.root.1 | AD1CCDAD-3701-D54C-AE00-EF311C9A3439 | ad:f99b8f26 | 51.490 MB  |     2899 |
| data15_13TeV:DAOD_SUSY2.10327817._000079.pool.root.1 | 3F3ECA12-CF07-1846-8BCB-56D5E5F8A587 | ad:b865ca01 | 54.064 MB  |     3092 |
| data15_13TeV:DAOD_SUSY2.10327817._000080.pool.root.1 | 8876E1E8-887F-CF41-A1D5-721C6919E80C | ad:dd7031f7 | 60.164 MB  |     3396 |
| data15_13TeV:DAOD_SUSY2.10327817._000081.pool.root.1 | 46A3C8FA-8300-DF49-85F2-F673C7D6F1A6 | ad:0e9cc501 | 49.744 MB  |     2778 |
| data15_13TeV:DAOD_SUSY2.10327817._000082.pool.root.1 | 3E29DC36-732B-384C-9360-DAB0BB8C67A2 | ad:67c57803 | 49.930 MB  |     2808 |
| data15_13TeV:DAOD_SUSY2.10327817._000083.pool.root.1 | 974A6230-8C3A-A24E-9F6A-B386A983B6BC | ad:abee55aa | 52.697 MB  |     2883 |
| data15_13TeV:DAOD_SUSY2.10327817._000084.pool.root.1 | 57312681-AD48-8D46-8618-932B5419E1FA | ad:fb2e7052 | 57.124 MB  |     3162 |
| data15_13TeV:DAOD_SUSY2.10327817._000085.pool.root.1 | 4C74FA57-E7CB-5A4A-9143-73CDE591CC42 | ad:f67c949e | 52.191 MB  |     2940 |
| data15_13TeV:DAOD_SUSY2.10327817._000086.pool.root.1 | 99EF2B82-B796-E042-B9C0-805AB89F4292 | ad:6b12ff3e | 50.404 MB  |     2796 |
| data15_13TeV:DAOD_SUSY2.10327817._000087.pool.root.1 | 125A9F5A-DCDD-A64C-88EC-7495B90E81D3 | ad:27132d40 | 55.320 MB  |     3089 |
| data15_13TeV:DAOD_SUSY2.10327817._000088.pool.root.1 | CAACBD14-E350-BC4C-B01A-60B81EE90570 | ad:220a7fd0 | 55.999 MB  |     3178 |
| data15_13TeV:DAOD_SUSY2.10327817._000089.pool.root.1 | D4707DF7-C62C-2649-AC96-8286FCE56A8C | ad:2b4a63c5 | 53.410 MB  |     2972 |
| data15_13TeV:DAOD_SUSY2.10327817._000090.pool.root.1 | 0097030F-E535-F346-AF22-191B3BFE00BC | ad:62765ed8 | 54.058 MB  |     3051 |
| data15_13TeV:DAOD_SUSY2.10327817._000091.pool.root.1 | E13E978B-588D-7341-82D8-8A374D370A37 | ad:bc3f648b | 53.491 MB  |     3024 |
| data15_13TeV:DAOD_SUSY2.10327817._000092.pool.root.1 | B154927A-3240-0B4F-8843-2FB65EAD1B96 | ad:92e31e3f | 54.705 MB  |     3072 |
| data15_13TeV:DAOD_SUSY2.10327817._000093.pool.root.1 | 66E58A4E-35A0-CA42-8FA0-4D1334BDF155 | ad:928c81e3 | 52.498 MB  |     2968 |
| data15_13TeV:DAOD_SUSY2.10327817._000094.pool.root.1 | 7C1142EA-04C1-D149-9C62-282E7493027A | ad:e67c9eda | 54.741 MB  |     3087 |
| data15_13TeV:DAOD_SUSY2.10327817._000095.pool.root.1 | 857F4313-F3E9-F24C-A1F6-75DFD596D7C4 | ad:d4dd85b7 | 49.867 MB  |     2836 |
