+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data15_13TeV:DAOD_SUSY2.10327885._000001.pool.root.1 | F98A64F4-385C-3440-9A3B-CB308451D187 | ad:a9817c38 | 3.088 MB   |      132 |
| data15_13TeV:DAOD_SUSY2.10327885._000002.pool.root.1 | 9915A7E8-A77E-724D-A317-8CDFAD350631 | ad:b2794c2b | 3.478 MB   |      163 |
| data15_13TeV:DAOD_SUSY2.10327885._000003.pool.root.1 | 7816AC5E-D95E-2A4A-A7E7-3CE8208C316F | ad:615eab45 | 913.337 kB |       23 |
| data15_13TeV:DAOD_SUSY2.10327885._000004.pool.root.1 | 02DC28E4-C8D5-DA43-8F7D-B281F9286284 | ad:b8a03bc7 | 12.421 MB  |      609 |
| data15_13TeV:DAOD_SUSY2.10327885._000005.pool.root.1 | 9DBC9137-4D4D-784F-ADE0-2F234239FC01 | ad:ae7e60ad | 16.208 MB  |      821 |
| data15_13TeV:DAOD_SUSY2.10327885._000006.pool.root.1 | 9C248DF2-2ADF-3D43-BEC4-121DDB1E3CBA | ad:0fd16ce0 | 3.599 MB   |      165 |
| data15_13TeV:DAOD_SUSY2.10327885._000007.pool.root.1 | 3542D1E7-ACD6-D34B-92B4-B39773261C98 | ad:0bb7c5e2 | 3.516 MB   |      156 |
| data15_13TeV:DAOD_SUSY2.10327885._000008.pool.root.1 | 993BA247-447C-E547-85BA-8A157AF5FE25 | ad:281baaf0 | 14.374 MB  |      737 |
| data15_13TeV:DAOD_SUSY2.10327885._000009.pool.root.1 | 1FDD36EF-F505-594F-879A-985CBC6D7CA6 | ad:10cd7345 | 2.904 MB   |      125 |
| data15_13TeV:DAOD_SUSY2.10327885._000010.pool.root.1 | 88DDF751-2361-8F49-A070-13C52938E654 | ad:19a6e320 | 14.574 MB  |      746 |
| data15_13TeV:DAOD_SUSY2.10327885._000011.pool.root.1 | A29338AF-2205-DC4B-84F1-2ADCB6B81D18 | ad:30f908bd | 50.532 MB  |     2677 |
| data15_13TeV:DAOD_SUSY2.10327885._000012.pool.root.1 | 2C749080-D0B1-6A4D-A9D3-EB4678404142 | ad:0c065917 | 40.450 MB  |     2109 |
| data15_13TeV:DAOD_SUSY2.10327885._000031.pool.root.1 | A418C11F-2418-8E43-A139-0CF026CD45A8 | ad:27d8219a | 54.084 MB  |     2860 |
| data15_13TeV:DAOD_SUSY2.10327885._000032.pool.root.1 | 199173E8-A51C-314F-83F0-7AC44DD4CABB | ad:198c7874 | 48.066 MB  |     2530 |
| data15_13TeV:DAOD_SUSY2.10327885._000033.pool.root.1 | 947C6E6A-670A-EC41-8C55-679E1C79FB98 | ad:97e98bfc | 59.780 MB  |     3140 |
| data15_13TeV:DAOD_SUSY2.10327885._000034.pool.root.1 | B279C585-E5A9-774C-864F-CBF27F9CCBB3 | ad:bb1d1702 | 69.650 MB  |     3562 |
| data15_13TeV:DAOD_SUSY2.10327885._000035.pool.root.1 | 690D2E0F-2186-BB42-8887-64ABFB917D51 | ad:87a18546 | 59.596 MB  |     3132 |
| data15_13TeV:DAOD_SUSY2.10327885._000036.pool.root.1 | CF644D42-0F26-EB4B-85F0-F2A9BAEF0DD6 | ad:79c2ab74 | 61.195 MB  |     3193 |
| data15_13TeV:DAOD_SUSY2.10327885._000037.pool.root.1 | C407066C-637D-3245-AF7F-B7D02A009BE1 | ad:df253d54 | 56.930 MB  |     2997 |
| data15_13TeV:DAOD_SUSY2.10327885._000038.pool.root.1 | 0D08C4EC-CE69-954C-93D5-A892864E92DB | ad:31a4803f | 62.244 MB  |     3240 |
| data15_13TeV:DAOD_SUSY2.10327885._000039.pool.root.1 | B28D64CD-DFED-CD4F-A9CB-02328607AC39 | ad:08b13781 | 55.369 MB  |     2913 |
| data15_13TeV:DAOD_SUSY2.10327885._000040.pool.root.1 | E5C80240-EF23-BC45-BAE9-AC9AB8144F23 | ad:49fd5e35 | 53.741 MB  |     2832 |
| data15_13TeV:DAOD_SUSY2.10327885._000041.pool.root.1 | 24D61480-1A7F-C946-8563-A463CED3D526 | ad:b60f63f6 | 52.760 MB  |     2772 |
| data15_13TeV:DAOD_SUSY2.10327885._000042.pool.root.1 | 68AD240B-1B00-C245-8A6F-C7F7723079DF | ad:33d59c16 | 31.242 MB  |     1622 |
| data15_13TeV:DAOD_SUSY2.10327885._000050.pool.root.1 | 03679A0D-BFAD-9A49-8101-51910E2D8CC6 | ad:5cd27886 | 50.845 MB  |     2720 |
| data15_13TeV:DAOD_SUSY2.10327885._000051.pool.root.1 | 87ABACA7-93A1-034D-B9C7-71C82BE17F18 | ad:6406283e | 52.535 MB  |     2810 |
| data15_13TeV:DAOD_SUSY2.10327885._000052.pool.root.1 | B846BEB9-9314-7E4B-8BB2-2E2C28A624CF | ad:72d4839e | 61.850 MB  |     3251 |
| data15_13TeV:DAOD_SUSY2.10327885._000055.pool.root.1 | 7DDAB812-4BCD-3448-8929-F264E829F939 | ad:e5c0eb43 | 60.656 MB  |     3179 |
| data15_13TeV:DAOD_SUSY2.10327885._000056.pool.root.1 | BA846BA3-428C-7146-A9EE-5E6393039575 | ad:d9b8f278 | 57.551 MB  |     3061 |
| data15_13TeV:DAOD_SUSY2.10327885._000057.pool.root.1 | 9297A2CA-8364-D34E-9724-026826A7C27A | ad:2583f9a6 | 55.895 MB  |     2924 |
| data15_13TeV:DAOD_SUSY2.10327885._000058.pool.root.1 | 942500A6-4296-E349-9516-90FA93268CF2 | ad:24b47fa7 | 51.576 MB  |     2724 |
| data15_13TeV:DAOD_SUSY2.10327885._000059.pool.root.1 | DE421B8C-BEC1-474D-958B-B0B8A4C8CE39 | ad:85a44a80 | 58.248 MB  |     3048 |
| data15_13TeV:DAOD_SUSY2.10327885._000060.pool.root.1 | 27BB572E-F557-2C4D-82ED-22655B67883D | ad:33686725 | 57.157 MB  |     2998 |
| data15_13TeV:DAOD_SUSY2.10327885._000061.pool.root.1 | E01CEF03-1ED4-944F-A445-24466E451282 | ad:1bed6677 | 53.525 MB  |     2829 |
| data15_13TeV:DAOD_SUSY2.10327885._000062.pool.root.1 | 45488A6F-7E5A-0D4E-BAAB-D0B687A30D4A | ad:7df0d9db | 61.674 MB  |     3206 |
| data15_13TeV:DAOD_SUSY2.10327885._000063.pool.root.1 | 82EEF74D-DD73-1A47-AF8A-27DBD820E2B4 | ad:197d9cf0 | 53.125 MB  |     2732 |
| data15_13TeV:DAOD_SUSY2.10327874._000001.pool.root.1 | D8EDAA90-71C6-904A-8331-1F76EADE04A8 | ad:009929a0 | 8.849 MB   |      437 |
| data15_13TeV:DAOD_SUSY2.10327874._000002.pool.root.1 | DE89E752-C70A-BA4B-98B4-FC0FD4193BAA | ad:37e8fb5b | 16.108 MB  |      814 |
| data15_13TeV:DAOD_SUSY2.10327874._000003.pool.root.1 | D43DF2D2-F658-2E40-A536-F446A08C037F | ad:372a914f | 1.248 MB   |       44 |
| data15_13TeV:DAOD_SUSY2.10327874._000004.pool.root.1 | 10506C53-6E6D-EC4E-A945-9A4936B23BCA | ad:20dbadda | 3.081 MB   |      139 |
| data15_13TeV:DAOD_SUSY2.10327874._000005.pool.root.1 | A0B286D9-F8DB-5E49-8EFF-764CBF95B930 | ad:1fa0f49c | 7.073 MB   |      339 |
| data15_13TeV:DAOD_SUSY2.10327874._000006.pool.root.1 | CB0E955C-82B5-0E42-AF4D-2434B2B23995 | ad:0428f302 | 10.127 MB  |      506 |
| data15_13TeV:DAOD_SUSY2.10327874._000007.pool.root.1 | 12921801-9947-7A42-9680-77F62B3B7439 | ad:f09a4cad | 1.523 MB   |       55 |
| data15_13TeV:DAOD_SUSY2.10327874._000008.pool.root.1 | 8F7C4FB8-8EF2-034B-B4C5-A422AB96585F | ad:82124f51 | 896.045 kB |       22 |
