+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data15_13TeV:DAOD_SUSY2.10328007._000001.pool.root.1 | C3798408-40DF-EC4F-8806-EA8A13FB3AB9 | ad:3f786937 | 14.368 MB  |      759 |
| data15_13TeV:DAOD_SUSY2.10328007._000002.pool.root.1 | C1C188F5-1B12-E146-B4D2-F884AA95D7A6 | ad:4652b568 | 15.037 MB  |      785 |
| data15_13TeV:DAOD_SUSY2.10328007._000003.pool.root.1 | C34FDF90-8ED5-824E-8BF6-E906BA7A6CDB | ad:fe2733b0 | 7.178 MB   |      356 |
| data15_13TeV:DAOD_SUSY2.10328007._000004.pool.root.1 | CCD4C761-86C4-3542-9B1D-808285CED7CD | ad:db530650 | 13.519 MB  |      688 |
| data15_13TeV:DAOD_SUSY2.10328007._000005.pool.root.1 | CF179D80-8809-604F-99B5-B49C2D1959D3 | ad:b92eeba8 | 16.203 MB  |      839 |
| data15_13TeV:DAOD_SUSY2.10328007._000006.pool.root.1 | 7686546D-3882-1645-B76D-1BDD29C7700E | ad:6e339a56 | 3.819 MB   |      173 |
| data15_13TeV:DAOD_SUSY2.10328007._000007.pool.root.1 | 36F409F8-4A93-7A49-96E0-458DBC87C299 | ad:39dcbb10 | 1.929 MB   |       83 |
| data15_13TeV:DAOD_SUSY2.10328007._000008.pool.root.1 | 56EC0974-E6AB-1E4F-987C-D905C2413495 | ad:6f85e7fd | 3.713 MB   |      154 |
| data15_13TeV:DAOD_SUSY2.10328007._000009.pool.root.1 | A487937B-7D08-4F47-A09F-C4807AFA6DE6 | ad:fc441adb | 6.365 MB   |      298 |
| data15_13TeV:DAOD_SUSY2.10328007._000010.pool.root.1 | 1FD0537B-D43E-894F-8E5D-6764E2320AC9 | ad:61a9bcd7 | 6.817 MB   |      327 |
| data15_13TeV:DAOD_SUSY2.10328007._000012.pool.root.1 | 7A833569-25C2-EE4E-B21E-53124EA49027 | ad:dca706e4 | 63.173 MB  |     3433 |
| data15_13TeV:DAOD_SUSY2.10328007._000014.pool.root.1 | 9CCD79D3-7908-DF41-B18D-BC24A28EEC38 | ad:f4fcb9eb | 72.482 MB  |     3940 |
| data15_13TeV:DAOD_SUSY2.10328007._000015.pool.root.1 | 88A69F06-BA25-5C40-B5CE-E299F61EDACD | ad:f0cc28e5 | 43.017 MB  |     2286 |
| data15_13TeV:DAOD_SUSY2.10327999._000001.pool.root.1 | 76655E5F-88EC-3B47-BEF7-61C83A2D4B8D | ad:5e972cbb | 15.133 MB  |      799 |
| data15_13TeV:DAOD_SUSY2.10327999._000002.pool.root.1 | FF1EA6B2-1758-5940-9C99-2FE57B807D58 | ad:460b638d | 15.819 MB  |      838 |
| data15_13TeV:DAOD_SUSY2.10327999._000003.pool.root.1 | 751D0D80-21A9-914F-AD12-58378E913D42 | ad:5cc29e63 | 14.777 MB  |      760 |
| data15_13TeV:DAOD_SUSY2.10327999._000004.pool.root.1 | 3FA11B5F-E410-E24F-8A85-5CD9EE1B038F | ad:e7fd4409 | 5.512 MB   |      281 |
| data15_13TeV:DAOD_SUSY2.10327999._000005.pool.root.1 | 515A7870-1B19-2D4D-BA25-76294DB2382A | ad:0a982ac4 | 2.101 MB   |       94 |
| data15_13TeV:DAOD_SUSY2.10327999._000006.pool.root.1 | 4CB2A4C1-DA7F-D748-9DA3-D9F56965D787 | ad:e9fb64df | 14.141 MB  |      730 |
| data15_13TeV:DAOD_SUSY2.10327999._000007.pool.root.1 | E57B801A-B051-324A-BB5A-0BA4164D61A6 | ad:a8504461 | 15.151 MB  |      792 |
| data15_13TeV:DAOD_SUSY2.10327999._000008.pool.root.1 | AA1159B8-8152-EF45-AEAA-3AE390295A2E | ad:e1292568 | 1.776 MB   |       67 |
| data15_13TeV:DAOD_SUSY2.10327999._000009.pool.root.1 | D921E7CA-1A73-A44A-AF5E-467760D01B1C | ad:e6509776 | 6.011 MB   |      292 |
| data15_13TeV:DAOD_SUSY2.10327999._000010.pool.root.1 | D606E493-AB97-F544-89CA-83E1E128368F | ad:45243afb | 15.490 MB  |      820 |
| data15_13TeV:DAOD_SUSY2.10327999._000011.pool.root.1 | 27C30710-8EAC-7441-BEB6-180806967B38 | ad:09e893d3 | 63.059 MB  |     3399 |
| data15_13TeV:DAOD_SUSY2.10327999._000012.pool.root.1 | A76EEAD8-57A4-274E-ACEC-774B4E936910 | ad:4698f1db | 65.141 MB  |     3491 |
| data15_13TeV:DAOD_SUSY2.10327999._000013.pool.root.1 | 57A41B55-7370-B34F-A6C0-A2DCEF21C33A | ad:ae1b8f38 | 63.867 MB  |     3426 |
| data15_13TeV:DAOD_SUSY2.10327999._000014.pool.root.1 | 57614211-4799-444E-80C8-E3E041B7D1BA | ad:4fc84c9e | 62.133 MB  |     3395 |
| data15_13TeV:DAOD_SUSY2.10327999._000015.pool.root.1 | BF12B597-63A4-2048-AAA0-CBE69910EDAA | ad:51c51a8f | 64.536 MB  |     3443 |
| data15_13TeV:DAOD_SUSY2.10327999._000016.pool.root.1 | 7B9A3C2D-C8D3-D34C-9FB9-EBDC7E8B9006 | ad:06ebc6f6 | 67.091 MB  |     3636 |
| data15_13TeV:DAOD_SUSY2.10327999._000017.pool.root.1 | 5C8DBDC5-84EE-2544-B877-593056A839C0 | ad:b1af1367 | 60.675 MB  |     3353 |
| data15_13TeV:DAOD_SUSY2.10327999._000018.pool.root.1 | CE419259-BF91-FF48-983A-A667BF5AE075 | ad:3b49a69e | 66.862 MB  |     3607 |
| data15_13TeV:DAOD_SUSY2.10327999._000019.pool.root.1 | BE8821A8-E3A0-B341-A3F1-169D71D846B8 | ad:94bec166 | 56.541 MB  |     3014 |
| data15_13TeV:DAOD_SUSY2.10327999._000020.pool.root.1 | 2308F1A7-C095-8D4D-93FE-FEA102C02283 | ad:bf22af67 | 62.135 MB  |     3386 |
| data15_13TeV:DAOD_SUSY2.10327999._000021.pool.root.1 | 1BB30464-6F55-754D-B3F1-BC2FCC501D99 | ad:8a9a4267 | 52.794 MB  |     2846 |
| data15_13TeV:DAOD_SUSY2.10327999._000022.pool.root.1 | B1E1A944-315D-B84E-A96A-6821B51AB9AC | ad:447b9cc2 | 62.295 MB  |     3351 |
| data15_13TeV:DAOD_SUSY2.10327999._000023.pool.root.1 | D7967F6A-1B6E-C649-9303-9EEADA507C2D | ad:a82e8f41 | 63.683 MB  |     3427 |
| data15_13TeV:DAOD_SUSY2.10327999._000024.pool.root.1 | B9321604-D393-4F4E-8B82-4F5427BE59C7 | ad:985af0e1 | 63.951 MB  |     3493 |
| data15_13TeV:DAOD_SUSY2.10327999._000025.pool.root.1 | 953F0F75-A682-0848-8E7F-EF6640D97F4A | ad:25715754 | 53.421 MB  |     2892 |
| data15_13TeV:DAOD_SUSY2.10327999._000026.pool.root.1 | 17EB12E9-C756-8945-ADB5-8C0A9D2AF604 | ad:973eea12 | 55.290 MB  |     2947 |
| data15_13TeV:DAOD_SUSY2.10327999._000027.pool.root.1 | 2481553C-C794-5446-B11A-8F519CA502E8 | ad:800d9c54 | 49.869 MB  |     2686 |
| data15_13TeV:DAOD_SUSY2.10327999._000028.pool.root.1 | 0BEE8F56-5283-A04B-95F1-2735237F4A67 | ad:85398907 | 64.419 MB  |     3445 |
| data15_13TeV:DAOD_SUSY2.10327999._000029.pool.root.1 | 05A864BE-C66A-3A4A-AA7B-7FC1915F732D | ad:a906b399 | 54.224 MB  |     2952 |
| data15_13TeV:DAOD_SUSY2.10327999._000030.pool.root.1 | 4D9A1A6E-A368-0241-AC00-0668D033F2E8 | ad:053433da | 62.635 MB  |     3349 |
| data15_13TeV:DAOD_SUSY2.10327999._000031.pool.root.1 | EE8E6D43-EC65-7C47-A489-0E6C178C8487 | ad:1b29eefd | 53.133 MB  |     2853 |
| data15_13TeV:DAOD_SUSY2.10327999._000032.pool.root.1 | 3F4C5E03-0D8D-B54D-AB4A-B8474631EE99 | ad:b5a4fcf0 | 65.450 MB  |     3536 |
| data15_13TeV:DAOD_SUSY2.10327999._000033.pool.root.1 | 1D1984E4-BD3E-0245-A727-4E27712DC9A1 | ad:e933194e | 61.740 MB  |     3351 |
| data15_13TeV:DAOD_SUSY2.10327999._000034.pool.root.1 | 7DDE07FE-EE84-3F44-92EF-F4DA6C6803B2 | ad:219d237c | 61.426 MB  |     3356 |
| data15_13TeV:DAOD_SUSY2.10327999._000035.pool.root.1 | 51E38FCA-2237-A44E-8512-6F92B3906985 | ad:a8984875 | 53.758 MB  |     2906 |
| data15_13TeV:DAOD_SUSY2.10327999._000036.pool.root.1 | 50316A9E-4C1C-8349-837A-627C5176EB42 | ad:c15fe291 | 52.090 MB  |     2836 |
| data15_13TeV:DAOD_SUSY2.10327999._000037.pool.root.1 | AEA62FB7-C4F7-9242-9D17-6A2A3F56ECF5 | ad:437f67b4 | 64.520 MB  |     3504 |
| data15_13TeV:DAOD_SUSY2.10327999._000038.pool.root.1 | 978FD5D5-F5EF-6046-9659-1EB49FC9A7F2 | ad:ccc2e2b5 | 61.748 MB  |     3352 |
| data15_13TeV:DAOD_SUSY2.10327999._000039.pool.root.1 | 5C733097-959D-484B-AAE4-6941371E67B3 | ad:f424252e | 54.518 MB  |     2988 |
| data15_13TeV:DAOD_SUSY2.10327999._000040.pool.root.1 | E8A93F30-5FDC-5842-85AD-C5D21E23CA30 | ad:d0c415f2 | 60.576 MB  |     3301 |
| data15_13TeV:DAOD_SUSY2.10327999._000041.pool.root.1 | ADBD1692-20C4-EE45-9E5F-4D3D59A5BFBD | ad:11ba75d3 | 62.853 MB  |     3437 |
| data15_13TeV:DAOD_SUSY2.10327999._000042.pool.root.1 | CCEE36CE-A713-3647-8169-28E69142E098 | ad:67544f3a | 59.659 MB  |     3254 |
| data15_13TeV:DAOD_SUSY2.10327999._000043.pool.root.1 | DDA0E5D3-20AC-9C4F-B11D-E8CD3920CF24 | ad:b2c448bf | 62.183 MB  |     3322 |
| data15_13TeV:DAOD_SUSY2.10327999._000044.pool.root.1 | C03B0C28-7ED4-C04F-9043-27497518CA4C | ad:80039448 | 66.286 MB  |     3627 |
| data15_13TeV:DAOD_SUSY2.10327999._000045.pool.root.1 | 53809D5C-AED0-D745-AFD1-BF0C862B4D3E | ad:de09565e | 64.554 MB  |     3501 |
| data15_13TeV:DAOD_SUSY2.10327999._000046.pool.root.1 | F06FC46F-47D5-6042-A12E-2A22EAFBBBC2 | ad:2d4932be | 65.089 MB  |     3578 |
| data15_13TeV:DAOD_SUSY2.10327999._000047.pool.root.1 | 876ABD99-E756-8F4B-AA45-FFB025E42881 | ad:d5caf103 | 67.256 MB  |     3639 |
