+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data15_13TeV:DAOD_SUSY2.10328044._000001.pool.root.1 | 2B157625-1B82-5D40-A7CA-67E3D040813E | ad:8e54c964 | 15.763 MB  |      797 |
| data15_13TeV:DAOD_SUSY2.10328044._000002.pool.root.1 | 0E77063C-CE47-C34A-BE37-43D317100EB5 | ad:224ff763 | 16.952 MB  |      841 |
| data15_13TeV:DAOD_SUSY2.10328044._000003.pool.root.1 | 7030CFC8-B1BF-304C-8BF2-FD2EA7EAF554 | ad:a0e14ba3 | 6.726 MB   |      325 |
| data15_13TeV:DAOD_SUSY2.10328044._000004.pool.root.1 | B053F9B8-73C5-684C-ACB7-BEB4E2A8A926 | ad:1677568d | 13.861 MB  |      711 |
| data15_13TeV:DAOD_SUSY2.10328044._000005.pool.root.1 | D7EF43C1-1C44-004E-91CF-B33BF24424B0 | ad:a652653d | 13.657 MB  |      687 |
| data15_13TeV:DAOD_SUSY2.10328044._000006.pool.root.1 | 17121C73-2F4A-0744-AA8D-45B91E98D398 | ad:01e15e5c | 5.849 MB   |      285 |
| data15_13TeV:DAOD_SUSY2.10328044._000007.pool.root.1 | A917932D-9479-104D-8C85-441EBEDB5558 | ad:a2c75b0f | 16.436 MB  |      825 |
| data15_13TeV:DAOD_SUSY2.10328044._000008.pool.root.1 | 83493150-2934-3F43-BE81-30133D8899C4 | ad:bee3a345 | 17.126 MB  |      829 |
| data15_13TeV:DAOD_SUSY2.10328044._000009.pool.root.1 | 71A8FFDF-545A-8449-8C9B-B27C5CA24EC5 | ad:63ecd35d | 5.631 MB   |      277 |
| data15_13TeV:DAOD_SUSY2.10328044._000010.pool.root.1 | 9922706B-F8F1-1344-80CE-BEC87A18151A | ad:876a8b45 | 14.024 MB  |      699 |
| data15_13TeV:DAOD_SUSY2.10328044._000011.pool.root.1 | 08A8B953-EFF8-3844-B552-B887E19D156E | ad:a7ccb1ba | 67.561 MB  |     3572 |
| data15_13TeV:DAOD_SUSY2.10328044._000012.pool.root.1 | 59E6E509-910C-2E46-944C-5E4310EECED1 | ad:d8fa57e3 | 67.776 MB  |     3549 |
| data15_13TeV:DAOD_SUSY2.10328044._000013.pool.root.1 | E5ECC079-0837-C943-AAB2-B81395E33BDF | ad:f7d5fd3b | 62.884 MB  |     3284 |
