+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data15_13TeV:DAOD_SUSY2.10328208._000001.pool.root.1 | 658D4D60-276A-EA4F-BBD2-E482F150D170 | ad:333d7f48 | 4.461 MB   |      216 |
| data15_13TeV:DAOD_SUSY2.10328208._000002.pool.root.1 | F243DB43-9A84-AF44-9FBD-EF737502C18F | ad:000239f1 | 16.859 MB  |      899 |
| data15_13TeV:DAOD_SUSY2.10328208._000003.pool.root.1 | CD2BBFA4-3A32-F544-97AC-C4F9ADC08642 | ad:ed1d10d1 | 15.974 MB  |      849 |
| data15_13TeV:DAOD_SUSY2.10328208._000004.pool.root.1 | E684D328-88D6-1E4B-B53F-6B3505AECEB0 | ad:3c7d1db1 | 16.295 MB  |      845 |
| data15_13TeV:DAOD_SUSY2.10328208._000005.pool.root.1 | 122E0BCD-C91C-D744-B6F3-7C78F90CB378 | ad:9c8b3b51 | 16.662 MB  |      877 |
| data15_13TeV:DAOD_SUSY2.10328208._000006.pool.root.1 | D18BB5DC-1B35-FE4A-BE88-B4705615BFEC | ad:bb66201c | 16.033 MB  |      853 |
| data15_13TeV:DAOD_SUSY2.10328208._000007.pool.root.1 | 2A2CD635-240E-8548-A497-676D6D92C0C7 | ad:c9740739 | 7.910 MB   |      398 |
| data15_13TeV:DAOD_SUSY2.10328208._000008.pool.root.1 | C00F506E-1CC2-FA4D-ABD4-DC883D3FB463 | ad:7dd6e636 | 15.612 MB  |      836 |
| data15_13TeV:DAOD_SUSY2.10328208._000009.pool.root.1 | 26D40787-87BB-CC48-A35B-BE441C94F823 | ad:58d2a771 | 1.748 MB   |       63 |
| data15_13TeV:DAOD_SUSY2.10328208._000010.pool.root.1 | 4D762E0D-F828-0941-BE49-685866822A1F | ad:84a00478 | 15.818 MB  |      862 |
| data15_13TeV:DAOD_SUSY2.10328208._000011.pool.root.1 | 2A9A0876-86B4-BE46-A763-77051C5FB8D2 | ad:a8054955 | 60.936 MB  |     3385 |
| data15_13TeV:DAOD_SUSY2.10328208._000012.pool.root.1 | E88DBB27-C18A-4744-86BE-3ADC57BCEC6D | ad:04043217 | 60.811 MB  |     3344 |
| data15_13TeV:DAOD_SUSY2.10328208._000013.pool.root.1 | 50EED961-AE22-E44F-919D-EB968B019690 | ad:b333d92b | 59.815 MB  |     3306 |
| data15_13TeV:DAOD_SUSY2.10328208._000014.pool.root.1 | 7DFAFDA9-EC4A-D94B-BBD7-D2807A34B822 | ad:e0e46d76 | 60.234 MB  |     3319 |
| data15_13TeV:DAOD_SUSY2.10328208._000015.pool.root.1 | FA082B0E-DEE5-C54C-83F2-61A4DD508986 | ad:8a0b8ad6 | 67.921 MB  |     3766 |
| data15_13TeV:DAOD_SUSY2.10328208._000016.pool.root.1 | 805963D8-E611-5E48-B640-BF37DD62C5F8 | ad:bfbab61f | 57.000 MB  |     3123 |
| data15_13TeV:DAOD_SUSY2.10328208._000017.pool.root.1 | 3057A2CB-8786-AF47-9293-C65D37A2CD3B | ad:12350c1a | 61.755 MB  |     3363 |
| data15_13TeV:DAOD_SUSY2.10328208._000018.pool.root.1 | 166BE202-6DC3-1842-B533-0ACEE0A433C0 | ad:238cf468 | 69.572 MB  |     3829 |
| data15_13TeV:DAOD_SUSY2.10328208._000019.pool.root.1 | 9C791873-C1E2-4744-8023-5D63E12EBDC5 | ad:32c42606 | 61.193 MB  |     3334 |
| data15_13TeV:DAOD_SUSY2.10328208._000020.pool.root.1 | 83A15A53-9AD0-BE48-B197-7F2D1C2141DA | ad:214ea798 | 63.344 MB  |     3455 |
| data15_13TeV:DAOD_SUSY2.10328208._000021.pool.root.1 | B029BED9-2A3D-5540-AB38-6F61B2BC4F69 | ad:1cd4cea3 | 69.754 MB  |     3742 |
