+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data16_13TeV:DAOD_SUSY2.10314997._000001.pool.root.1 | DEB76D1D-9E39-B34D-A9EC-B0822BFEEBD9 | ad:3f61243b | 2.748 MB   |      101 |
| data16_13TeV:DAOD_SUSY2.10314997._000002.pool.root.1 | A88A194E-1482-404B-9329-F2DE0096B21A | ad:26080a31 | 1.401 MB   |       40 |
| data16_13TeV:DAOD_SUSY2.10314997._000003.pool.root.1 | D7CB5C98-36E4-2242-B07D-93780AD2E058 | ad:552d7d23 | 5.149 MB   |      206 |
| data16_13TeV:DAOD_SUSY2.10314997._000004.pool.root.1 | A5458BBF-9D5F-DF49-90CC-ACDEB8ADE8DA | ad:1678bbe6 | 7.315 MB   |      305 |
| data16_13TeV:DAOD_SUSY2.10314997._000005.pool.root.1 | 61B95494-1821-2742-941E-36D1B23A54D9 | ad:c1e7289c | 7.901 MB   |      325 |
| data16_13TeV:DAOD_SUSY2.10314997._000006.pool.root.1 | 890D235C-12C9-614B-8949-ED3A8151362A | ad:98d7b526 | 6.887 MB   |      293 |
| data16_13TeV:DAOD_SUSY2.10314997._000007.pool.root.1 | 403FF2DA-3368-5E4A-9EF5-4EDD20DA5F04 | ad:4bb71326 | 12.942 MB  |      572 |
| data16_13TeV:DAOD_SUSY2.10314997._000008.pool.root.1 | 893FC908-DBAB-F440-B6A5-832A39E70FFD | ad:9194bfe4 | 2.019 MB   |       64 |
| data16_13TeV:DAOD_SUSY2.10314997._000010.pool.root.1 | F32E8711-B8C0-BD4D-B087-6C40B4155638 | ad:d4483bdb | 6.383 MB   |      272 |
| data16_13TeV:DAOD_SUSY2.10314997._000013.pool.root.1 | EB8815A1-7A3C-0144-8BFB-D2568A9737D1 | ad:792afdbc | 53.374 MB  |     2469 |
| data16_13TeV:DAOD_SUSY2.10314997._000014.pool.root.1 | 48F4CBC0-39CF-E348-8A03-6D5F450616E9 | ad:765ca634 | 56.534 MB  |     2651 |
| data16_13TeV:DAOD_SUSY2.10314997._000016.pool.root.1 | BCC91F24-869E-6C4B-9832-E7227038265B | ad:bec908fa | 53.653 MB  |     2532 |
| data16_13TeV:DAOD_SUSY2.10314997._000018.pool.root.1 | 076886E3-BB3C-204B-ADEE-04FBB3DEB364 | ad:ae523c80 | 50.173 MB  |     2348 |
| data16_13TeV:DAOD_SUSY2.10314997._000019.pool.root.1 | D5E94E0E-AC51-D342-B2A7-9DB9A173F2C1 | ad:eb34f6d2 | 49.487 MB  |     2320 |
| data16_13TeV:DAOD_SUSY2.10314997._000020.pool.root.1 | C3612574-AA6B-DC45-926D-43B88445238F | ad:4b86f396 | 54.333 MB  |     2510 |
| data16_13TeV:DAOD_SUSY2.10314997._000022.pool.root.1 | 6F253621-E54F-8F48-81F1-401D706B8124 | ad:bc367a90 | 51.998 MB  |     2458 |
| data16_13TeV:DAOD_SUSY2.10314997._000023.pool.root.1 | D96DA3E5-845B-2749-99AD-B69EA8DF8470 | ad:d79e07ef | 51.828 MB  |     2470 |
| data16_13TeV:DAOD_SUSY2.10314997._000025.pool.root.1 | 01EBF4C0-97DC-054D-B127-96CDA60E90DC | ad:aea5fe35 | 54.707 MB  |     2606 |
| data16_13TeV:DAOD_SUSY2.10314997._000026.pool.root.1 | 4D5F696E-50AA-7547-A229-BC1CE2A97915 | ad:19ded7dd | 49.794 MB  |     2362 |
| data16_13TeV:DAOD_SUSY2.10314997._000027.pool.root.1 | DE24927E-A955-6E46-851C-8DBCB75FC3C3 | ad:fe4779d9 | 51.547 MB  |     2444 |
| data16_13TeV:DAOD_SUSY2.10314997._000028.pool.root.1 | D68788DA-A509-CF4D-B876-75A83172965B | ad:e972b8d7 | 52.820 MB  |     2480 |
| data16_13TeV:DAOD_SUSY2.10314997._000029.pool.root.1 | 5FEE8528-7656-F34B-85F4-FE7EEA1CF657 | ad:e3088b73 | 28.913 MB  |     1363 |
| data16_13TeV:DAOD_SUSY2.10314997._000031.pool.root.1 | AB8541E2-DE33-CC4A-AB70-8A2FFDA0F0F0 | ad:76e3a777 | 51.218 MB  |     2420 |
| data16_13TeV:DAOD_SUSY2.10314997._000033.pool.root.1 | EA929921-BE55-6747-8BB3-F1A274E604FF | ad:84432cc2 | 50.728 MB  |     2338 |
| data16_13TeV:DAOD_SUSY2.10314997._000034.pool.root.1 | 7A5D6B81-9478-8B4F-BECC-85946F4B7649 | ad:8c93ca39 | 49.763 MB  |     2378 |
| data16_13TeV:DAOD_SUSY2.10314997._000035.pool.root.1 | DBD35430-9181-4E44-A547-1261D9DA7BFA | ad:d83ad9aa | 52.225 MB  |     2466 |
| data16_13TeV:DAOD_SUSY2.10314997._000036.pool.root.1 | 0DB0A601-A7D3-1041-BD33-786C97AC6FD4 | ad:d306b8ae | 56.777 MB  |     2616 |
| data16_13TeV:DAOD_SUSY2.10314997._000037.pool.root.1 | 95ED2057-5E47-9C48-BD21-E66337393FBB | ad:5ac90d9a | 54.754 MB  |     2519 |
| data16_13TeV:DAOD_SUSY2.10314981._000001.pool.root.1 | 9ED91FAA-57C6-2E40-9CD4-168EE228CFF6 | ad:9fc0833f | 5.337 MB   |      227 |
| data16_13TeV:DAOD_SUSY2.10314981._000002.pool.root.1 | F8523A56-A9F9-8149-B2A4-34A123DECEE4 | ad:3c3283ae | 5.060 MB   |      213 |
| data16_13TeV:DAOD_SUSY2.10314981._000003.pool.root.1 | 6ABF505A-9E1C-B346-BC4B-248A484F5E45 | ad:7077dc6f | 5.483 MB   |      225 |
| data16_13TeV:DAOD_SUSY2.10314981._000004.pool.root.1 | 5894D536-2DC1-9343-ADB3-42002D6AC2A5 | ad:cdc55ded | 3.499 MB   |      133 |
| data16_13TeV:DAOD_SUSY2.10314981._000005.pool.root.1 | CBE6C9E8-6674-0A42-BBC2-D1F70A3EBDF8 | ad:7358fccb | 5.980 MB   |      262 |
| data16_13TeV:DAOD_SUSY2.10314981._000006.pool.root.1 | 2234E0C3-C333-604B-866E-5B66D1252B14 | ad:7abe7c4b | 5.653 MB   |      244 |
| data16_13TeV:DAOD_SUSY2.10314981._000007.pool.root.1 | 1317A41B-9801-7542-83D9-B30868C29F7B | ad:f75a9440 | 5.724 MB   |      246 |
| data16_13TeV:DAOD_SUSY2.10314981._000008.pool.root.1 | EC444416-C160-BA44-906D-C5AB5CB694F0 | ad:986b3890 | 5.448 MB   |      226 |
| data16_13TeV:DAOD_SUSY2.10314981._000009.pool.root.1 | FA2BA70B-6FB5-BE45-97B1-E9D35EEB96D6 | ad:7754a0f3 | 4.497 MB   |      185 |
| data16_13TeV:DAOD_SUSY2.10314981._000010.pool.root.1 | 7CFD4B8A-C1CC-2C4D-BA8D-256EB6A974DF | ad:35ca158e | 7.858 MB   |      347 |
| data16_13TeV:DAOD_SUSY2.10314981._000011.pool.root.1 | 7C3BB4F7-690F-2A45-8B9A-65613B796704 | ad:7835faff | 78.447 MB  |     3753 |
| data16_13TeV:DAOD_SUSY2.10314981._000012.pool.root.1 | D6824DB7-3EA0-3B49-824D-A897F194F541 | ad:319377b9 | 62.971 MB  |     3004 |
| data16_13TeV:DAOD_SUSY2.10314981._000013.pool.root.1 | 46F804E1-0D8C-C449-B167-490EA96795F9 | ad:ef80d913 | 56.889 MB  |     2751 |
| data16_13TeV:DAOD_SUSY2.10314981._000014.pool.root.1 | D58DC729-069C-8A49-A4A7-3323E595C083 | ad:0c024c4f | 57.124 MB  |     2783 |
| data16_13TeV:DAOD_SUSY2.10314981._000015.pool.root.1 | A005508A-2CBD-A544-9D9C-74C637ECB6FA | ad:5ed8e7e6 | 54.966 MB  |     2630 |
| data16_13TeV:DAOD_SUSY2.10314981._000016.pool.root.1 | 32CD181A-6B03-A543-9BF0-45C97C8660A6 | ad:311f3a58 | 58.566 MB  |     2838 |
| data16_13TeV:DAOD_SUSY2.10314981._000017.pool.root.1 | 1CAB628E-CDA3-F44B-B2E5-3ED0A4E28BE4 | ad:36d3d7f1 | 56.795 MB  |     2758 |
| data16_13TeV:DAOD_SUSY2.10314981._000018.pool.root.1 | C853AE24-D9B2-F641-9A7D-CBF88FEF82C7 | ad:a38396bb | 58.598 MB  |     2844 |
| data16_13TeV:DAOD_SUSY2.10314981._000019.pool.root.1 | 02653C57-3E3A-8542-BD91-E28377AAC8C1 | ad:b5e94bd9 | 57.246 MB  |     2760 |
| data16_13TeV:DAOD_SUSY2.10314981._000020.pool.root.1 | 3E4CF580-54C6-6743-A5F9-B9B1811EF452 | ad:c7f89b10 | 56.506 MB  |     2729 |
| data16_13TeV:DAOD_SUSY2.10314981._000021.pool.root.1 | 36997F15-A090-1446-91FE-D0A5B2B0332D | ad:32144203 | 57.116 MB  |     2772 |
| data16_13TeV:DAOD_SUSY2.10314981._000022.pool.root.1 | 07AC6F3A-28E9-1145-91A2-B26248479CA5 | ad:efb43c34 | 54.982 MB  |     2687 |
| data16_13TeV:DAOD_SUSY2.10314981._000023.pool.root.1 | D0CDF4E9-3784-A546-A03F-03DBAA0258C1 | ad:8cb8a7a8 | 53.815 MB  |     2624 |
| data16_13TeV:DAOD_SUSY2.10314981._000024.pool.root.1 | 147E8658-DAEC-9C49-9473-C720DE8314E2 | ad:b0f51892 | 54.275 MB  |     2670 |
| data16_13TeV:DAOD_SUSY2.10314981._000025.pool.root.1 | 0217CFD7-7E64-AD47-9734-EB58D088DEC9 | ad:e41d0361 | 57.962 MB  |     2832 |
| data16_13TeV:DAOD_SUSY2.10314981._000026.pool.root.1 | E2C6AFC9-7160-184D-8F16-1C356918467A | ad:ee421027 | 61.029 MB  |     2992 |
| data16_13TeV:DAOD_SUSY2.10314981._000027.pool.root.1 | 66804A31-DE75-D74F-8875-A71B0956DA21 | ad:e1477948 | 53.613 MB  |     2623 |
| data16_13TeV:DAOD_SUSY2.10314981._000028.pool.root.1 | B445F283-A4C4-E04C-9CC1-3DADD43B2348 | ad:5a13a274 | 56.731 MB  |     2746 |
| data16_13TeV:DAOD_SUSY2.10314981._000030.pool.root.1 | 171C3A90-16C2-5043-BCA3-B277519B9ADC | ad:4e56bc6d | 54.879 MB  |     2675 |
| data16_13TeV:DAOD_SUSY2.10314981._000031.pool.root.1 | 34D8845C-D814-BC4B-A44B-7E9AF4371DD6 | ad:c24fa9ac | 56.088 MB  |     2722 |
| data16_13TeV:DAOD_SUSY2.10314981._000032.pool.root.1 | 1868D8B8-8F17-F942-9EFC-7F25261032E6 | ad:fbd1dae5 | 61.239 MB  |     2986 |
| data16_13TeV:DAOD_SUSY2.10314981._000033.pool.root.1 | 3C883E38-B67A-D24F-B859-6B934C489CCF | ad:e22841cf | 63.022 MB  |     3077 |
| data16_13TeV:DAOD_SUSY2.10314981._000034.pool.root.1 | 66A60CA7-DBAF-9247-BFA2-08C0C5FB7A53 | ad:f3f2b4cb | 61.877 MB  |     3014 |
| data16_13TeV:DAOD_SUSY2.10314981._000035.pool.root.1 | D8B15CB5-3ED6-2D4B-91C9-FE10FB41BB5E | ad:9fd0f704 | 59.661 MB  |     2902 |
| data16_13TeV:DAOD_SUSY2.10314981._000037.pool.root.1 | F764B2E5-6A85-C042-A330-4EE6A386C65D | ad:dd6117de | 59.528 MB  |     2924 |
| data16_13TeV:DAOD_SUSY2.10314981._000038.pool.root.1 | C596E534-8EC9-A945-8C7B-339AAA3D0C55 | ad:1ef9a70a | 62.305 MB  |     3076 |
| data16_13TeV:DAOD_SUSY2.10314981._000039.pool.root.1 | 804F2E58-2363-3C47-88AF-A478342BFAD1 | ad:6243d1b4 | 64.966 MB  |     3195 |
| data16_13TeV:DAOD_SUSY2.10314981._000040.pool.root.1 | 6696562E-E973-3C45-9A0F-F79819BF664A | ad:536976f2 | 66.858 MB  |     3266 |
| data16_13TeV:DAOD_SUSY2.10314981._000041.pool.root.1 | 39F0A166-E030-4D41-BA90-AC7770B92D5C | ad:11906e9d | 66.550 MB  |     3250 |
| data16_13TeV:DAOD_SUSY2.10314981._000042.pool.root.1 | DADA0A6E-3516-AE42-908A-B297C4258FDD | ad:9aa4f95e | 66.094 MB  |     3207 |
| data16_13TeV:DAOD_SUSY2.10314981._000043.pool.root.1 | 3F480E93-8F36-C446-B7BF-A7CFAD8E9E5F | ad:46fdc4fa | 53.586 MB  |     2817 |
| data16_13TeV:DAOD_SUSY2.10314981._000044.pool.root.1 | FD9613A2-8A5C-7C43-8EC2-7365642F3E57 | ad:c173fd89 | 53.811 MB  |     2867 |
| data16_13TeV:DAOD_SUSY2.10314981._000045.pool.root.1 | 432C45AA-2057-6943-9E0B-3DECA1F0EA2E | ad:c720c86e | 58.947 MB  |     3160 |
| data16_13TeV:DAOD_SUSY2.10314981._000046.pool.root.1 | D60DB9B0-C9B0-A24B-B580-BD8C07D5C2BA | ad:25dd898c | 53.195 MB  |     2841 |
| data16_13TeV:DAOD_SUSY2.10314981._000047.pool.root.1 | 33AFD5A8-691E-5B4C-9760-EA4390BF816E | ad:f9be1072 | 55.582 MB  |     2999 |
| data16_13TeV:DAOD_SUSY2.10314981._000048.pool.root.1 | 1A58EEEA-E807-8B4F-BCA9-37C7FF2381A2 | ad:4a4ce2d6 | 57.195 MB  |     3099 |
| data16_13TeV:DAOD_SUSY2.10314981._000049.pool.root.1 | 79AD60D2-4EB2-9E4D-9F34-BC0B12B03B19 | ad:693e31cb | 63.259 MB  |     3408 |
| data16_13TeV:DAOD_SUSY2.10314981._000050.pool.root.1 | 3823BBC0-CCBB-5F4B-A6F8-D384ADD2D5AB | ad:ff3f6e55 | 64.852 MB  |     3529 |
| data16_13TeV:DAOD_SUSY2.10314981._000051.pool.root.1 | 6E53075D-CB1B-5141-A90B-9BBFA1D753ED | ad:10d743d0 | 72.228 MB  |     3924 |
| data16_13TeV:DAOD_SUSY2.10314981._000052.pool.root.1 | 59951234-EBC2-9647-9DCD-61A062FB9EB6 | ad:c2fd50e2 | 69.229 MB  |     3736 |
| data16_13TeV:DAOD_SUSY2.10314981._000053.pool.root.1 | 98E20DA3-7064-D041-9EEA-2EC47DF3E17F | ad:92fb6df5 | 72.289 MB  |     3849 |
| data16_13TeV:DAOD_SUSY2.10314981._000054.pool.root.1 | FF64A643-8B2E-A047-BAAF-04D58D25D6AF | ad:d022f7c9 | 66.958 MB  |     3590 |
| data16_13TeV:DAOD_SUSY2.10314981._000055.pool.root.1 | 579DAA6A-211A-9748-9F1A-82AEB7310E78 | ad:704ecc2e | 64.966 MB  |     3511 |
| data16_13TeV:DAOD_SUSY2.10314981._000056.pool.root.1 | 162A69E4-297A-AF40-A3AD-4DB85CF55CEA | ad:4743c4a4 | 65.611 MB  |     3532 |
| data16_13TeV:DAOD_SUSY2.10314981._000057.pool.root.1 | E6D2A14F-07DC-F444-8C33-461CD89AE396 | ad:c8861fdc | 66.186 MB  |     3589 |
| data16_13TeV:DAOD_SUSY2.10314981._000058.pool.root.1 | 4B54352F-9889-464F-96D3-DFD0830F4517 | ad:16343827 | 69.142 MB  |     3682 |
| data16_13TeV:DAOD_SUSY2.10314981._000059.pool.root.1 | 09A118A7-FE1C-2948-9C3F-EC4F6D2A5532 | ad:82b91d34 | 73.098 MB  |     3943 |
| data16_13TeV:DAOD_SUSY2.10314981._000060.pool.root.1 | 25F85451-1CBC-AF4D-B44F-3AB30CDC0A1A | ad:00919eb5 | 75.441 MB  |     4078 |
| data16_13TeV:DAOD_SUSY2.10314981._000061.pool.root.1 | 0DD1988D-F3DB-7C45-9D00-C77D87BB689D | ad:4d811480 | 67.452 MB  |     3645 |
| data16_13TeV:DAOD_SUSY2.10314981._000062.pool.root.1 | 0391CEC5-56DF-3F4D-B72A-46E987C90E52 | ad:a3e58997 | 64.341 MB  |     3519 |
| data16_13TeV:DAOD_SUSY2.10314981._000063.pool.root.1 | 06F495CF-0DCF-B54B-BC7C-AB7915368F97 | ad:a20443be | 64.781 MB  |     3547 |
| data16_13TeV:DAOD_SUSY2.10314981._000064.pool.root.1 | BF04D92A-9B8E-8D40-A415-2E9F628D050E | ad:74c9e9a1 | 64.521 MB  |     3525 |
| data16_13TeV:DAOD_SUSY2.10314981._000065.pool.root.1 | 7A54C625-954C-6044-9A67-1BDB84FA13CA | ad:cd912707 | 60.708 MB  |     3294 |
| data16_13TeV:DAOD_SUSY2.10314981._000066.pool.root.1 | 0AB688FA-D68F-6A4B-B89B-60A994B8B100 | ad:391794ea | 64.654 MB  |     3486 |
| data16_13TeV:DAOD_SUSY2.10314981._000067.pool.root.1 | E9A71E4D-0C1D-E446-AAC0-3ED654323B51 | ad:b8fdf36f | 63.562 MB  |     3438 |
| data16_13TeV:DAOD_SUSY2.10314981._000068.pool.root.1 | ED903C70-9DFD-5A40-8A91-4AA3852ECB61 | ad:d6b5185a | 70.047 MB  |     3803 |
| data16_13TeV:DAOD_SUSY2.10314981._000069.pool.root.1 | 032CD6B2-9DDE-314D-B80C-9B06A9FBB132 | ad:17249e85 | 69.850 MB  |     3824 |
| data16_13TeV:DAOD_SUSY2.10314981._000070.pool.root.1 | E7133F83-8ED9-D24A-A0A1-90E564F08014 | ad:8685b06c | 69.246 MB  |     3762 |
| data16_13TeV:DAOD_SUSY2.10314981._000071.pool.root.1 | 21485E61-6D3D-4947-B85B-B60E5AD14341 | ad:1e522ab5 | 70.024 MB  |     3817 |
| data16_13TeV:DAOD_SUSY2.10314981._000072.pool.root.1 | 225AE56D-46A6-354B-8455-F7109EC203F8 | ad:cd4466bd | 68.574 MB  |     3768 |
| data16_13TeV:DAOD_SUSY2.10314981._000073.pool.root.1 | 6A535FB9-D2A9-234F-9116-284D4A4B87F5 | ad:bd884bda | 67.640 MB  |     3712 |
| data16_13TeV:DAOD_SUSY2.10314981._000074.pool.root.1 | EA43BC79-8360-4645-AF01-6E77CA8EE16A | ad:fcda610a | 67.314 MB  |     3698 |
| data16_13TeV:DAOD_SUSY2.10314981._000075.pool.root.1 | BB1D75C0-A9E2-344A-9C2F-0A7443E84B08 | ad:6b3777b3 | 69.358 MB  |     3798 |
| data16_13TeV:DAOD_SUSY2.10314981._000076.pool.root.1 | BE48C08E-4091-5645-A6DD-BD779ABF5AFA | ad:912ad745 | 68.090 MB  |     3722 |
| data16_13TeV:DAOD_SUSY2.10314981._000077.pool.root.1 | C29EEE09-1B33-4E42-ABBC-BEB514FF268D | ad:9e1f27e1 | 67.703 MB  |     3736 |
