+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data16_13TeV:DAOD_SUSY2.10315459._000001.pool.root.1 | 4EECDE56-28FB-A446-BF56-D35AACEAC440 | ad:ec639bfd | 6.453 MB   |      257 |
| data16_13TeV:DAOD_SUSY2.10315459._000002.pool.root.1 | 75B2706E-2520-314D-B334-F281AF8895C0 | ad:2a7101a1 | 5.463 MB   |      209 |
| data16_13TeV:DAOD_SUSY2.10315459._000003.pool.root.1 | 2C4B250B-6067-214F-908E-7F191D5B7D51 | ad:3703ac70 | 5.541 MB   |      211 |
| data16_13TeV:DAOD_SUSY2.10315459._000004.pool.root.1 | 80C895E2-47D2-A443-B7FD-9709D26122F2 | ad:47141317 | 5.680 MB   |      220 |
| data16_13TeV:DAOD_SUSY2.10315459._000005.pool.root.1 | 3DE6ADEF-5458-2143-B6AE-D1740690B8EE | ad:dcc59a04 | 5.604 MB   |      211 |
| data16_13TeV:DAOD_SUSY2.10315459._000006.pool.root.1 | 04C34DA6-FD89-504C-902C-48EB790C7025 | ad:629fae66 | 6.007 MB   |      240 |
| data16_13TeV:DAOD_SUSY2.10315459._000007.pool.root.1 | 783D18A5-8E8E-D448-97E5-7E442E3219CB | ad:e92adab5 | 5.518 MB   |      210 |
| data16_13TeV:DAOD_SUSY2.10315459._000008.pool.root.1 | 0D816ED8-84BB-6A4B-9F88-CB724B63FF72 | ad:d2e250ee | 7.000 MB   |      273 |
| data16_13TeV:DAOD_SUSY2.10315459._000009.pool.root.1 | 512E8F70-D329-7B40-959A-08E4BFEEC277 | ad:8adaefc0 | 6.120 MB   |      236 |
| data16_13TeV:DAOD_SUSY2.10315459._000010.pool.root.1 | 9F2D85C8-6798-7146-906E-79000F0856C2 | ad:417e4123 | 6.159 MB   |      231 |
| data16_13TeV:DAOD_SUSY2.10315459._000011.pool.root.1 | 5518F391-A3B2-BD41-A016-C86E7575919D | ad:d65ee1b7 | 60.654 MB  |     2625 |
| data16_13TeV:DAOD_SUSY2.10315459._000012.pool.root.1 | AA51927B-8412-AE43-9568-AABF4FE8F6C4 | ad:efb3eddf | 59.102 MB  |     2577 |
| data16_13TeV:DAOD_SUSY2.10315459._000013.pool.root.1 | 3F71ABF4-C473-7D48-80D9-ADB8933F5865 | ad:2f080cc0 | 60.492 MB  |     2642 |
| data16_13TeV:DAOD_SUSY2.10315459._000014.pool.root.1 | 35B36D47-D5E0-8947-9FB1-D76017CFD7A9 | ad:8ac2e2f2 | 58.914 MB  |     2578 |
| data16_13TeV:DAOD_SUSY2.10315459._000015.pool.root.1 | 91CA8192-5556-D641-9EC5-8E8E1DEDD617 | ad:ef42e8a3 | 58.185 MB  |     2552 |
| data16_13TeV:DAOD_SUSY2.10315459._000016.pool.root.1 | 8382B1C9-C2E3-294D-992C-02DF9E44B87C | ad:326aa19a | 55.865 MB  |     2475 |
| data16_13TeV:DAOD_SUSY2.10315459._000017.pool.root.1 | 0C5F4795-AD76-664C-ACD1-3C6525F0D08B | ad:ef77184b | 56.845 MB  |     2543 |
| data16_13TeV:DAOD_SUSY2.10315459._000018.pool.root.1 | 22FC38AD-52C7-334C-B605-13AC802A69C6 | ad:7dc07bfd | 59.118 MB  |     2577 |
| data16_13TeV:DAOD_SUSY2.10315459._000019.pool.root.1 | 475778CB-3EE3-164C-B8C4-7D15823C5FCC | ad:563e16f1 | 58.143 MB  |     2553 |
| data16_13TeV:DAOD_SUSY2.10315459._000020.pool.root.1 | 89784E52-75CA-C145-AD53-F5F23A138E19 | ad:e2c035eb | 57.696 MB  |     2568 |
| data16_13TeV:DAOD_SUSY2.10315459._000021.pool.root.1 | DE7B6CCE-A3C7-514B-8E31-0A366FA212C6 | ad:f9c85b74 | 57.471 MB  |     2560 |
| data16_13TeV:DAOD_SUSY2.10315459._000022.pool.root.1 | 3039796D-DBC9-B348-A3B7-C24F93F7F3AD | ad:d93ee653 | 57.453 MB  |     2547 |
| data16_13TeV:DAOD_SUSY2.10315459._000023.pool.root.1 | 044FEE09-D02F-D341-ACF2-6DC77423F0CD | ad:4d264936 | 56.207 MB  |     2514 |
| data16_13TeV:DAOD_SUSY2.10315459._000024.pool.root.1 | AEB65D02-56B9-7A4B-9E1C-313871C37D53 | ad:e582a21c | 59.797 MB  |     2642 |
| data16_13TeV:DAOD_SUSY2.10315459._000025.pool.root.1 | 0F260A6F-E753-F640-A775-6B66B0D65C00 | ad:d0f1fe27 | 61.803 MB  |     2731 |
| data16_13TeV:DAOD_SUSY2.10315459._000026.pool.root.1 | 23077901-5655-D24A-908F-52E6D3D22254 | ad:12a53aa7 | 59.849 MB  |     2644 |
| data16_13TeV:DAOD_SUSY2.10315459._000027.pool.root.1 | 891F1D44-F335-1F42-85B7-34351199102B | ad:82006999 | 60.162 MB  |     2680 |
| data16_13TeV:DAOD_SUSY2.10315459._000028.pool.root.1 | BA16C131-2BFC-FF44-AD27-EF9667EA1AA6 | ad:16a22849 | 61.319 MB  |     2717 |
| data16_13TeV:DAOD_SUSY2.10315459._000029.pool.root.1 | E6B4A8FC-1B5F-174C-BEFD-257F54E5FD63 | ad:4dfaa3bc | 57.608 MB  |     2602 |
| data16_13TeV:DAOD_SUSY2.10315459._000030.pool.root.1 | D2B28ECE-8F5B-524C-A15C-271F148C780A | ad:1aea3a83 | 60.884 MB  |     2718 |
| data16_13TeV:DAOD_SUSY2.10315459._000031.pool.root.1 | F9AA72F6-7B2D-9D43-91A3-A0812F6BBCDF | ad:1022b716 | 60.652 MB  |     2698 |
| data16_13TeV:DAOD_SUSY2.10315459._000032.pool.root.1 | 41E53F21-58C6-A945-B3B3-05FF061881ED | ad:88c87925 | 60.450 MB  |     2694 |
| data16_13TeV:DAOD_SUSY2.10315459._000033.pool.root.1 | 9D180E30-F9F1-8449-9DD2-6D8AAB5E54FB | ad:2f56c46a | 59.394 MB  |     2642 |
| data16_13TeV:DAOD_SUSY2.10315459._000034.pool.root.1 | 534FCC9D-6C18-9A4B-9E0F-89E49A5D986E | ad:902efede | 60.111 MB  |     2715 |
| data16_13TeV:DAOD_SUSY2.10315459._000035.pool.root.1 | 7B37976E-786A-2446-9B39-907771844202 | ad:1cdf1ad5 | 57.886 MB  |     2596 |
| data16_13TeV:DAOD_SUSY2.10315459._000036.pool.root.1 | D92EA20D-6546-2947-BDBA-EC53DBD1D790 | ad:c7fd1406 | 60.569 MB  |     2737 |
| data16_13TeV:DAOD_SUSY2.10315459._000037.pool.root.1 | 7241EE3B-B4EA-0B4B-8327-2E6268211E96 | ad:39917573 | 60.235 MB  |     2693 |
| data16_13TeV:DAOD_SUSY2.10315459._000038.pool.root.1 | F235C89C-1E0C-3B47-8172-FA6A179B6893 | ad:717c0a5e | 58.334 MB  |     2620 |
| data16_13TeV:DAOD_SUSY2.10315459._000039.pool.root.1 | 0F08DD93-0C1B-0245-848C-FD650B3D8244 | ad:b62d1c37 | 60.911 MB  |     2711 |
| data16_13TeV:DAOD_SUSY2.10315459._000040.pool.root.1 | D41E08F4-19BE-F547-ACFC-4E603461A4DA | ad:9e4652cd | 59.514 MB  |     2642 |
| data16_13TeV:DAOD_SUSY2.10315459._000041.pool.root.1 | 846C1254-6B27-E741-9F69-0156E3EDBC25 | ad:cd55c327 | 57.851 MB  |     2586 |
| data16_13TeV:DAOD_SUSY2.10315459._000042.pool.root.1 | 216B9F34-A85F-334F-9C56-41428DC2A60C | ad:bd7ffaa5 | 58.748 MB  |     2626 |
| data16_13TeV:DAOD_SUSY2.10315459._000043.pool.root.1 | 53D296E1-FF3F-9A47-8A9F-6916964AFD87 | ad:e264259c | 57.575 MB  |     2553 |
| data16_13TeV:DAOD_SUSY2.10315459._000044.pool.root.1 | BE5C80BF-1953-A94C-81B4-1FF7039CC94E | ad:40ae759a | 57.066 MB  |     2566 |
| data16_13TeV:DAOD_SUSY2.10315459._000045.pool.root.1 | F420C8A1-25CA-B148-993A-5DB43ECB0DA3 | ad:856239af | 55.953 MB  |     2502 |
