+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data16_13TeV:DAOD_SUSY2.10315652._000001.pool.root.1 | 13D0D8A8-D08B-2C47-82BD-25F4C2EE119F | ad:e2cab4a6 | 4.142 MB   |      148 |
| data16_13TeV:DAOD_SUSY2.10315652._000002.pool.root.1 | B82B137F-8762-EE47-97F5-024E9CBBE7FA | ad:8d6507cc | 6.093 MB   |      219 |
| data16_13TeV:DAOD_SUSY2.10315652._000003.pool.root.1 | 6FD6C31E-117F-9246-AC93-3F4E6FC8D3C1 | ad:24a4d7ab | 4.994 MB   |      183 |
| data16_13TeV:DAOD_SUSY2.10315652._000004.pool.root.1 | 3ABA6FF3-04EF-CD4D-A6CF-2CB60BDD05B7 | ad:79c3c60d | 5.703 MB   |      199 |
| data16_13TeV:DAOD_SUSY2.10315652._000005.pool.root.1 | 6377CFE6-E0F1-7842-B978-543D625F3AB0 | ad:f485e6ea | 6.206 MB   |      214 |
| data16_13TeV:DAOD_SUSY2.10315652._000006.pool.root.1 | CB0DC453-4E16-C54D-BC7F-09BFC0F40A8B | ad:c4437591 | 5.453 MB   |      196 |
| data16_13TeV:DAOD_SUSY2.10315652._000007.pool.root.1 | 6AE1C3FA-975B-5D4D-9C6E-DF7CEEA04290 | ad:bfb2920f | 5.157 MB   |      184 |
| data16_13TeV:DAOD_SUSY2.10315652._000008.pool.root.1 | D1CEC7C6-7FB2-874B-BE9D-3FA0BE9BF08E | ad:ecfba6ba | 4.938 MB   |      178 |
| data16_13TeV:DAOD_SUSY2.10315652._000009.pool.root.1 | 815E7955-829B-0F4B-984E-3FEDF5A02F96 | ad:0f347d04 | 5.917 MB   |      214 |
| data16_13TeV:DAOD_SUSY2.10315652._000010.pool.root.1 | B84F0662-C992-D54E-86D6-1B3C8BED31D3 | ad:9d593922 | 6.138 MB   |      217 |
| data16_13TeV:DAOD_SUSY2.10315652._000011.pool.root.1 | D66B9253-8644-794E-BB2D-75D40A9E9D71 | ad:ddeba808 | 46.508 MB  |     1890 |
| data16_13TeV:DAOD_SUSY2.10315652._000012.pool.root.1 | 7261616A-63C8-1C40-B7E7-154964D5E223 | ad:6d926d85 | 52.303 MB  |     2090 |
| data16_13TeV:DAOD_SUSY2.10315652._000013.pool.root.1 | ED7C703E-BFFF-C64D-AE6A-FCDE35A67C26 | ad:c1815627 | 48.805 MB  |     2010 |
| data16_13TeV:DAOD_SUSY2.10315652._000014.pool.root.1 | 3D8073BB-DA92-274F-A277-E99C9988230E | ad:2ac1f6ff | 48.710 MB  |     1988 |
| data16_13TeV:DAOD_SUSY2.10315652._000015.pool.root.1 | 263CFAD3-3271-634B-994A-F0B824E325AE | ad:a1594a1c | 45.692 MB  |     1865 |
| data16_13TeV:DAOD_SUSY2.10315652._000016.pool.root.1 | 7BA39B03-12B8-A748-BA17-8EF82B0E84E8 | ad:bb5273d5 | 46.462 MB  |     1890 |
| data16_13TeV:DAOD_SUSY2.10315652._000017.pool.root.1 | 45BFA86A-3E32-104D-B8F1-EF6DB4E0AA33 | ad:b73d929d | 50.654 MB  |     2039 |
| data16_13TeV:DAOD_SUSY2.10315652._000018.pool.root.1 | 64337C5B-1F9B-A142-94E9-E26887E98971 | ad:b916db27 | 48.140 MB  |     1969 |
| data16_13TeV:DAOD_SUSY2.10315652._000019.pool.root.1 | 8EF41DA8-1EC4-4E4F-88B5-1DEDFE8CE2E5 | ad:bec243dc | 49.194 MB  |     2015 |
