+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data16_13TeV:DAOD_SUSY2.10315897._000001.pool.root.1 | 84BD575D-9155-7242-8548-705264238496 | ad:ff964114 | 9.021 MB   |      297 |
| data16_13TeV:DAOD_SUSY2.10315897._000002.pool.root.1 | AB727E7A-7BB8-B048-9390-132E159C94F9 | ad:57ec14eb | 7.474 MB   |      232 |
| data16_13TeV:DAOD_SUSY2.10315897._000003.pool.root.1 | E99C6DC1-8772-674F-8CEF-91A6D235F14C | ad:6c296aaf | 6.673 MB   |      221 |
| data16_13TeV:DAOD_SUSY2.10315897._000004.pool.root.1 | 3BC3DBF3-C559-3941-8EB4-8019EAAD060F | ad:95db9ffb | 6.762 MB   |      223 |
| data16_13TeV:DAOD_SUSY2.10315897._000005.pool.root.1 | 91B99408-CE47-0345-BAEA-B7B33A9BEECB | ad:047abb0f | 5.807 MB   |      191 |
| data16_13TeV:DAOD_SUSY2.10315897._000006.pool.root.1 | E70443F9-A037-4F4A-9438-A23492BACC2F | ad:18b67d80 | 6.481 MB   |      217 |
| data16_13TeV:DAOD_SUSY2.10315897._000007.pool.root.1 | CFD20A95-2063-8B43-9812-16F6DA204A07 | ad:43147c6b | 6.338 MB   |      213 |
| data16_13TeV:DAOD_SUSY2.10315897._000008.pool.root.1 | AF319FED-C59E-2C42-B43B-30AD764AA3DD | ad:5897da84 | 6.389 MB   |      206 |
| data16_13TeV:DAOD_SUSY2.10315897._000009.pool.root.1 | 0036F006-414F-EB43-8CD2-3CBA22C8B28C | ad:3233f40c | 5.437 MB   |      183 |
| data16_13TeV:DAOD_SUSY2.10315897._000010.pool.root.1 | 219BAC2A-7879-0F41-9785-9B9FC521A3D9 | ad:565476bb | 6.453 MB   |      210 |
| data16_13TeV:DAOD_SUSY2.10315897._000011.pool.root.1 | 082067E7-FE57-284C-AA5B-F82DA0111372 | ad:43900354 | 58.152 MB  |     2198 |
| data16_13TeV:DAOD_SUSY2.10315897._000012.pool.root.1 | 55C0F852-FE76-654E-B78F-8C58F1B6BEBC | ad:7d62024f | 53.344 MB  |     2039 |
| data16_13TeV:DAOD_SUSY2.10315897._000013.pool.root.1 | CB89C00D-56BE-9646-9778-F85A3286AF45 | ad:a37b4e37 | 59.639 MB  |     2253 |
| data16_13TeV:DAOD_SUSY2.10315897._000014.pool.root.1 | DA0DDD38-1785-614D-8335-37D475F24E7F | ad:b4e419b8 | 58.400 MB  |     2197 |
| data16_13TeV:DAOD_SUSY2.10315897._000015.pool.root.1 | 926DCFD8-E137-414F-A231-5D3EBE22FD9F | ad:a934ef27 | 58.276 MB  |     2202 |
| data16_13TeV:DAOD_SUSY2.10315897._000016.pool.root.1 | 78EE4101-4111-7C4F-A73D-DB684499C652 | ad:c9ad873a | 57.908 MB  |     2195 |
| data16_13TeV:DAOD_SUSY2.10315897._000017.pool.root.1 | 094D2C5A-F087-8744-9F46-1E596203E210 | ad:4cb88870 | 55.904 MB  |     2113 |
| data16_13TeV:DAOD_SUSY2.10315897._000018.pool.root.1 | 4A3FCCC9-E2C4-BC48-9CD3-85F7BEFAEC4B | ad:cc29b5e0 | 58.213 MB  |     2230 |
| data16_13TeV:DAOD_SUSY2.10315897._000019.pool.root.1 | 5060974A-3893-E642-AEC1-8B8687D1D167 | ad:0ccc2e35 | 56.566 MB  |     2150 |
| data16_13TeV:DAOD_SUSY2.10315897._000020.pool.root.1 | D1E0ED75-7499-2443-84F6-6624B64B662A | ad:da124846 | 58.750 MB  |     2224 |
| data16_13TeV:DAOD_SUSY2.10315897._000021.pool.root.1 | ACF5FB9C-CB03-454F-84E2-06154C13ED58 | ad:17483243 | 53.888 MB  |     2084 |
| data16_13TeV:DAOD_SUSY2.10315897._000022.pool.root.1 | BDAAAAD9-2E97-8445-85A9-B79DBA069E3B | ad:4078479f | 59.834 MB  |     2266 |
| data16_13TeV:DAOD_SUSY2.10315897._000023.pool.root.1 | 743A49E9-2268-DB46-9A1D-70C57620DC46 | ad:cdd46e9c | 60.168 MB  |     2280 |
| data16_13TeV:DAOD_SUSY2.10315897._000024.pool.root.1 | 54E81E8D-9C0C-964F-B2FB-EA053FEE24C0 | ad:b496bac1 | 56.244 MB  |     2139 |
| data16_13TeV:DAOD_SUSY2.10315897._000025.pool.root.1 | C485E2B3-A2C6-F544-8746-FB28A380BECA | ad:eb76d0ba | 54.539 MB  |     2142 |
| data16_13TeV:DAOD_SUSY2.10315897._000026.pool.root.1 | 22D71F63-941E-8A45-98FE-B87222616ADF | ad:dbd76ed6 | 58.794 MB  |     2223 |
| data16_13TeV:DAOD_SUSY2.10315897._000027.pool.root.1 | 2BA7B7B8-EAB1-6340-ACB3-7C55294B3F4E | ad:cd8b7ede | 56.369 MB  |     2141 |
| data16_13TeV:DAOD_SUSY2.10315897._000028.pool.root.1 | 2AE56B21-75EE-4C45-80A5-6C962AC8455D | ad:0a7f3bbe | 57.199 MB  |     2195 |
| data16_13TeV:DAOD_SUSY2.10315897._000029.pool.root.1 | 350460A9-FCFB-6A48-9345-9C3AA7862ACE | ad:e8e2dc18 | 59.419 MB  |     2246 |
| data16_13TeV:DAOD_SUSY2.10315897._000030.pool.root.1 | 43F64327-F6AB-624E-B35C-50554E2EFAB0 | ad:f7fafe7e | 53.154 MB  |     2063 |
