+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data16_13TeV:DAOD_SUSY2.10316809._000001.pool.root.1 | 478BDE9D-D379-E547-B1C1-1AD5AAF76480 | ad:571e1f32 | 14.396 MB  |      458 |
| data16_13TeV:DAOD_SUSY2.10316809._000002.pool.root.1 | 101036B9-20B9-FC43-B4B8-6B0C6FFD5EE8 | ad:e25785b0 | 10.151 MB  |      324 |
| data16_13TeV:DAOD_SUSY2.10316809._000003.pool.root.1 | 60870A61-0399-6847-A51E-F47C25FBBED2 | ad:87baa002 | 10.261 MB  |      329 |
| data16_13TeV:DAOD_SUSY2.10316809._000004.pool.root.1 | 9DC812E6-27ED-EF4F-AF7A-80417626A6C3 | ad:cb7ca5d0 | 10.343 MB  |      336 |
| data16_13TeV:DAOD_SUSY2.10316809._000005.pool.root.1 | 7CBF0463-5BC4-EA4E-A8A7-C8A6EB087F0E | ad:e0e7efaa | 9.686 MB   |      314 |
| data16_13TeV:DAOD_SUSY2.10316809._000006.pool.root.1 | 07D4E1DB-6FDF-384C-B12D-F1AA8ADBD482 | ad:90a37f39 | 8.497 MB   |      270 |
| data16_13TeV:DAOD_SUSY2.10316809._000007.pool.root.1 | DCE0C121-C7A3-DF4D-8522-C46955DD10C5 | ad:81278c77 | 7.522 MB   |      249 |
| data16_13TeV:DAOD_SUSY2.10316809._000008.pool.root.1 | FC7E35E2-AE90-F249-ADF8-6E8C08A42ADD | ad:1b2ae266 | 2.469 MB   |       65 |
| data16_13TeV:DAOD_SUSY2.10316809._000009.pool.root.1 | F8A4BA85-FFF9-0344-A4B3-713E3FADBB89 | ad:68ce9527 | 13.205 MB  |      410 |
| data16_13TeV:DAOD_SUSY2.10316809._000010.pool.root.1 | 2118B6F4-48F7-6E4E-B134-D759BB5575EA | ad:e6a2d719 | 12.651 MB  |      419 |
| data16_13TeV:DAOD_SUSY2.10316809._000011.pool.root.1 | BF7AD97F-42AD-9D4D-859C-024BABD13BD7 | ad:728d9cd2 | 53.341 MB  |     1924 |
| data16_13TeV:DAOD_SUSY2.10316809._000012.pool.root.1 | 24A23C24-299B-1E42-94AC-259DEA52002E | ad:2bc7cfaf | 59.962 MB  |     2109 |
| data16_13TeV:DAOD_SUSY2.10316809._000013.pool.root.1 | 03686E46-4175-2B46-8527-6A6295A667E1 | ad:e5fb222c | 54.497 MB  |     1950 |
| data16_13TeV:DAOD_SUSY2.10316809._000014.pool.root.1 | EAF72B42-8514-D34A-8DCB-A1071D8D5D2B | ad:490443c0 | 65.862 MB  |     2309 |
| data16_13TeV:DAOD_SUSY2.10316809._000015.pool.root.1 | BD7735FF-6A8B-7B48-ADC4-2092C798AC42 | ad:67ebcdb3 | 60.612 MB  |     2157 |
| data16_13TeV:DAOD_SUSY2.10316809._000016.pool.root.1 | CACC326B-3C8C-844F-B4DE-317C594D494B | ad:90cb8907 | 55.240 MB  |     1976 |
| data16_13TeV:DAOD_SUSY2.10316809._000017.pool.root.1 | C9CB212A-D440-1842-9647-37E29B915B36 | ad:896b31cb | 52.662 MB  |     1882 |
| data16_13TeV:DAOD_SUSY2.10316809._000018.pool.root.1 | 81F1D978-C8FE-1042-A298-010B830021FD | ad:3de8fe5d | 57.225 MB  |     2012 |
| data16_13TeV:DAOD_SUSY2.10316809._000019.pool.root.1 | 67BEEF9B-D8A4-CC44-8BC6-AF7E236EA11B | ad:99469477 | 62.089 MB  |     2202 |
| data16_13TeV:DAOD_SUSY2.10316809._000020.pool.root.1 | 079A5D11-28F2-5544-90A3-2504BF8BF7C8 | ad:020f442e | 62.724 MB  |     2229 |
| data16_13TeV:DAOD_SUSY2.10316809._000021.pool.root.1 | 559B719D-50C7-DA49-8FDE-544B0277AA18 | ad:21fb280a | 65.783 MB  |     2333 |
| data16_13TeV:DAOD_SUSY2.10316809._000022.pool.root.1 | 1A317B4F-7135-C448-ADF9-7A43DF72BBC3 | ad:d387223f | 66.170 MB  |     2369 |
| data16_13TeV:DAOD_SUSY2.10316809._000023.pool.root.1 | 4364D259-5597-FC44-9E73-2F23622FD744 | ad:86c5806c | 63.125 MB  |     2274 |
| data16_13TeV:DAOD_SUSY2.10316809._000024.pool.root.1 | FC6979FF-68CB-CA49-B06C-A395C5DC0CCE | ad:588d58c0 | 61.439 MB  |     2248 |
| data16_13TeV:DAOD_SUSY2.10316809._000025.pool.root.1 | 21454393-5DF2-7D44-86C1-F739BC894B71 | ad:75e18ecd | 62.366 MB  |     2234 |
| data16_13TeV:DAOD_SUSY2.10316809._000026.pool.root.1 | 4999195B-25A3-714E-B433-355D50829ACA | ad:979c9795 | 63.135 MB  |     2271 |
| data16_13TeV:DAOD_SUSY2.10316809._000027.pool.root.1 | FF5A2861-FC2B-CB4E-8571-2DAB495C79A4 | ad:38a24ed4 | 61.245 MB  |     2208 |
