+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data16_13TeV:DAOD_SUSY2.10316911._000001.pool.root.1 | 69E5916A-3FDF-064E-8462-3C3F68AC4CDD | ad:5ed9c527 | 13.886 MB  |      370 |
| data16_13TeV:DAOD_SUSY2.10316911._000002.pool.root.1 | 881B3D74-8687-F74A-9A51-3D5F76A4F95D | ad:5594af75 | 9.629 MB   |      273 |
| data16_13TeV:DAOD_SUSY2.10316911._000003.pool.root.1 | 53957058-E23B-E64F-A330-FFDE8E0CF1C6 | ad:65cb7f40 | 8.929 MB   |      242 |
| data16_13TeV:DAOD_SUSY2.10316911._000004.pool.root.1 | EFFF21D0-EC04-9F41-B406-E5D77960748B | ad:e3bcaa63 | 8.971 MB   |      253 |
| data16_13TeV:DAOD_SUSY2.10316911._000005.pool.root.1 | EF135457-A410-EB40-98B8-0E02BB9B8137 | ad:ab3dda12 | 9.086 MB   |      256 |
| data16_13TeV:DAOD_SUSY2.10316911._000006.pool.root.1 | AE357EBD-D6CE-2D43-87B3-331C0932AA8D | ad:cdce0b4b | 7.342 MB   |      201 |
| data16_13TeV:DAOD_SUSY2.10316911._000007.pool.root.1 | 0BF0A46E-93F8-2C49-8000-5721899D2BA7 | ad:5ac4a7b1 | 5.936 MB   |      177 |
| data16_13TeV:DAOD_SUSY2.10316911._000008.pool.root.1 | B7C8A43F-B8C7-1A49-93A4-BB2C8300CA87 | ad:dbf4c0a2 | 8.877 MB   |      255 |
| data16_13TeV:DAOD_SUSY2.10316911._000009.pool.root.1 | D3762145-4CFB-164D-9696-6C2D141F1000 | ad:f8ff0c70 | 8.709 MB   |      247 |
| data16_13TeV:DAOD_SUSY2.10316911._000010.pool.root.1 | 1C589FA6-5489-7B43-8434-7CA0EDDD7C72 | ad:8f782022 | 8.889 MB   |      247 |
| data16_13TeV:DAOD_SUSY2.10316911._000011.pool.root.1 | DCE6C2AE-D33B-9540-8956-27DE5C4DC578 | ad:6a0a9ddc | 66.582 MB  |     2449 |
| data16_13TeV:DAOD_SUSY2.10316911._000012.pool.root.1 | F11DE455-B4F9-0C4E-821E-91FB481BB6F7 | ad:49d9e048 | 67.838 MB  |     2524 |
| data16_13TeV:DAOD_SUSY2.10316911._000013.pool.root.1 | 919D6CD3-1AF4-FF4C-90AC-E79A0AAB9E97 | ad:e61066aa | 72.126 MB  |     2654 |
| data16_13TeV:DAOD_SUSY2.10316911._000014.pool.root.1 | 69BF7625-FBFF-1442-8FC9-AE5A8592A7BA | ad:adda9c0d | 69.050 MB  |     2526 |
| data16_13TeV:DAOD_SUSY2.10316911._000015.pool.root.1 | 00D16588-6FDA-554E-8AB5-704D4AE94A3D | ad:26e052af | 65.785 MB  |     2441 |
| data16_13TeV:DAOD_SUSY2.10316911._000016.pool.root.1 | 2085063D-347B-2643-875F-1404212C408A | ad:23959305 | 68.926 MB  |     2576 |
| data16_13TeV:DAOD_SUSY2.10316911._000017.pool.root.1 | 950CE3F7-FE99-D243-A53A-86D97B99EEAD | ad:51cf896d | 69.992 MB  |     2590 |
| data16_13TeV:DAOD_SUSY2.10316911._000018.pool.root.1 | 0B2E595F-33FD-674D-9E11-A834D03DA674 | ad:26e8e716 | 69.351 MB  |     2561 |
| data16_13TeV:DAOD_SUSY2.10316911._000019.pool.root.1 | C82166D4-2155-514C-B123-091ADEC235B9 | ad:59a2730b | 69.723 MB  |     2579 |
