+------------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                           | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|------------------------------------------------------+--------------------------------------+-------------+------------+----------|
| data16_13TeV:DAOD_SUSY2.10317256._000001.pool.root.1 | 91734167-69F2-804E-8403-1AEFE4799171 | ad:0df945e9 | 13.353 MB  |      394 |
| data16_13TeV:DAOD_SUSY2.10317256._000002.pool.root.1 | AB4E39D5-C240-9E4B-B5D6-9E2365FFA14C | ad:3200752d | 10.034 MB  |      304 |
| data16_13TeV:DAOD_SUSY2.10317256._000003.pool.root.1 | 2C53639A-75C7-D543-9DDC-9D35EE3A6BCD | ad:4db3f394 | 9.675 MB   |      293 |
| data16_13TeV:DAOD_SUSY2.10317256._000004.pool.root.1 | 5A3EC428-66C8-8E4C-9DE7-67A14CEE97A7 | ad:45affd0c | 9.079 MB   |      287 |
| data16_13TeV:DAOD_SUSY2.10317256._000005.pool.root.1 | 4C79A185-ED21-1542-A61E-EF7C36DF0897 | ad:70e7bb04 | 9.285 MB   |      287 |
| data16_13TeV:DAOD_SUSY2.10317256._000006.pool.root.1 | 05AF92EA-2D5D-B347-ADAC-3ACF433099F5 | ad:bc614cb3 | 10.030 MB  |      325 |
| data16_13TeV:DAOD_SUSY2.10317256._000007.pool.root.1 | BC44B24F-7606-FF42-9049-4067076DD477 | ad:6f570b5f | 11.100 MB  |      367 |
| data16_13TeV:DAOD_SUSY2.10317256._000008.pool.root.1 | 3C2BBD65-6E69-B64C-8A38-DE79E52A26DF | ad:071b779c | 13.387 MB  |      369 |
| data16_13TeV:DAOD_SUSY2.10317256._000009.pool.root.1 | 00062E51-3F1A-184C-B3AD-4417DC7368DF | ad:ee46c02f | 11.754 MB  |      333 |
| data16_13TeV:DAOD_SUSY2.10317256._000010.pool.root.1 | 55720FB9-4F22-E640-A113-D3601681A83A | ad:ef71f433 | 9.957 MB   |      284 |
| data16_13TeV:DAOD_SUSY2.10317256._000011.pool.root.1 | BF7952AB-4A12-0D4D-A05A-ACE74EF785DC | ad:c17ec3de | 54.386 MB  |     1634 |
| data16_13TeV:DAOD_SUSY2.10317256._000012.pool.root.1 | 01F898C3-8950-094A-A33A-DEEFF8C231CE | ad:5769677d | 56.929 MB  |     1705 |
| data16_13TeV:DAOD_SUSY2.10317256._000013.pool.root.1 | 1FD25003-D8D1-7740-9DFC-FD19A4EECF98 | ad:897531e0 | 60.186 MB  |     1816 |
| data16_13TeV:DAOD_SUSY2.10317256._000014.pool.root.1 | 666356A9-8F3B-F54B-975B-286443E9DF6B | ad:49d61ae4 | 60.605 MB  |     1828 |
| data16_13TeV:DAOD_SUSY2.10317256._000015.pool.root.1 | AF4BB35D-3C23-E84C-8426-F5755A065AC4 | ad:2129f4f3 | 62.644 MB  |     1882 |
| data16_13TeV:DAOD_SUSY2.10317256._000016.pool.root.1 | 938D34BC-A17C-EA4F-9C4D-2A49C77B8D80 | ad:0e7f2a44 | 54.493 MB  |     1647 |
| data16_13TeV:DAOD_SUSY2.10317256._000017.pool.root.1 | 882C0AC4-43F6-1E46-A14E-784AB4A935F8 | ad:77debc6e | 55.698 MB  |     1703 |
| data16_13TeV:DAOD_SUSY2.10317256._000018.pool.root.1 | 94D76787-AD14-FF46-892B-3167B744FE4E | ad:1cc371fe | 55.222 MB  |     1675 |
| data16_13TeV:DAOD_SUSY2.10317256._000019.pool.root.1 | FF600FEC-FC60-B049-A65C-BF4922B1BF1E | ad:503eb5cc | 56.284 MB  |     1723 |
| data16_13TeV:DAOD_SUSY2.10317256._000020.pool.root.1 | AEFF0B1F-5EB1-CD47-BA20-83FB5CFE6D61 | ad:dee55756 | 63.646 MB  |     1937 |
| data16_13TeV:DAOD_SUSY2.10317256._000022.pool.root.1 | 3C9BD655-8991-744B-B077-EE5B20027590 | ad:edb00b81 | 63.166 MB  |     1920 |
| data16_13TeV:DAOD_SUSY2.10317256._000023.pool.root.1 | 03A23232-DD36-5B4E-A6DB-6EE0CA3FCB82 | ad:5a4b7596 | 54.839 MB  |     1678 |
| data16_13TeV:DAOD_SUSY2.10317256._000024.pool.root.1 | 2660D9ED-5E81-5A45-9A92-FCA840BDD6AE | ad:e5de57ce | 61.247 MB  |     1851 |
| data16_13TeV:DAOD_SUSY2.10317256._000026.pool.root.1 | 81EFB161-9CEE-A442-8EFD-0F03EF0A1C14 | ad:70418e16 | 55.728 MB  |     1735 |
| data16_13TeV:DAOD_SUSY2.10317256._000027.pool.root.1 | 507F1A80-9B55-BE4B-900E-D9395DB0155E | ad:cfaa8b4a | 58.533 MB  |     1783 |
| data16_13TeV:DAOD_SUSY2.10317256._000028.pool.root.1 | 764C427B-C5ED-A645-BF43-D383E87FCC40 | ad:613440f0 | 58.082 MB  |     1787 |
| data16_13TeV:DAOD_SUSY2.10317256._000029.pool.root.1 | E3E80AD1-C0F9-C54D-99D7-130FCB0AD6D9 | ad:874cf17f | 60.312 MB  |     1853 |
| data16_13TeV:DAOD_SUSY2.10317256._000030.pool.root.1 | 9ACAD18E-6268-034B-AEF7-C33E80912EAA | ad:9aa598bc | 54.142 MB  |     1695 |
| data16_13TeV:DAOD_SUSY2.10317256._000031.pool.root.1 | 5B8C7D56-9ED3-A34B-956C-401F3820C9A2 | ad:af426b91 | 59.189 MB  |     1821 |
| data16_13TeV:DAOD_SUSY2.10317256._000032.pool.root.1 | 9BED9527-B466-B34E-97F7-E7E0DBF0C69F | ad:e142f6c6 | 53.661 MB  |     1685 |
| data16_13TeV:DAOD_SUSY2.10317256._000033.pool.root.1 | 8325D2B1-307D-E841-A7CB-5FCCB660BD3F | ad:8ef29bea | 61.869 MB  |     1897 |
| data16_13TeV:DAOD_SUSY2.10317256._000034.pool.root.1 | CE230948-A512-C343-A83F-CDB6392AF924 | ad:c627cd3c | 62.422 MB  |     1935 |
| data16_13TeV:DAOD_SUSY2.10317256._000035.pool.root.1 | 7A07D224-3000-6D40-868D-0716ADC8C7B1 | ad:f76aa26b | 53.594 MB  |     1671 |
| data16_13TeV:DAOD_SUSY2.10317256._000036.pool.root.1 | 95F21705-CFB6-E64D-9E39-6BAC4B664817 | ad:9be9fd83 | 59.027 MB  |     1815 |
| data16_13TeV:DAOD_SUSY2.10317256._000037.pool.root.1 | 71916C5D-0650-FD41-B57C-F5B39F59140A | ad:97f44aea | 51.242 MB  |     1612 |
| data16_13TeV:DAOD_SUSY2.10317256._000038.pool.root.1 | FAB4FF73-195B-694D-A886-8FA84C8AF2DE | ad:3a93f4f5 | 61.023 MB  |     1918 |
| data16_13TeV:DAOD_SUSY2.10317256._000039.pool.root.1 | 74C84861-A971-B443-83D3-7DECF2A0248C | ad:080c13b7 | 56.155 MB  |     1748 |
| data16_13TeV:DAOD_SUSY2.10317256._000040.pool.root.1 | 0B92BB28-4B4B-884D-8CC2-FB4214557956 | ad:48ef75d1 | 56.643 MB  |     1760 |
| data16_13TeV:DAOD_SUSY2.10317256._000041.pool.root.1 | 3B1A1862-A2BE-0747-A467-B65A9CBACC63 | ad:0fa5d0e2 | 63.092 MB  |     1965 |
| data16_13TeV:DAOD_SUSY2.10317256._000042.pool.root.1 | AF6E9D85-8C10-D94B-A778-8B01FFB7194F | ad:c856015f | 52.644 MB  |     1681 |
| data16_13TeV:DAOD_SUSY2.10317256._000043.pool.root.1 | DAB9151F-E903-7342-AC2F-91AA2395F233 | ad:8c906421 | 55.458 MB  |     1743 |
| data16_13TeV:DAOD_SUSY2.10317256._000044.pool.root.1 | 716B1D3A-4465-614C-A2D9-424D8EBB8A20 | ad:339eeff9 | 60.325 MB  |     1910 |
| data16_13TeV:DAOD_SUSY2.10317256._000045.pool.root.1 | 89520017-957E-A54F-A0E0-3705542673C7 | ad:1213a83b | 60.487 MB  |     1956 |
| data16_13TeV:DAOD_SUSY2.10317256._000046.pool.root.1 | 9DD2D6C2-EE1F-C14E-846E-5EFD7C4B7DD7 | ad:078871b6 | 57.701 MB  |     1792 |
| data16_13TeV:DAOD_SUSY2.10317256._000047.pool.root.1 | 4FB4A8DA-EE4D-2846-A882-190E7D09445C | ad:826d5b94 | 56.107 MB  |     1739 |
| data16_13TeV:DAOD_SUSY2.10317256._000048.pool.root.1 | 5294995F-31C5-4349-A163-5DB160A34D24 | ad:ade29855 | 55.454 MB  |     1769 |
| data16_13TeV:DAOD_SUSY2.10317256._000049.pool.root.1 | 9699DC00-8F32-344C-8FF2-A3F48E122258 | ad:01258355 | 63.043 MB  |     1993 |
| data16_13TeV:DAOD_SUSY2.10317256._000050.pool.root.1 | 6F19EF91-5953-8D4F-99F3-90023C337367 | ad:4e0fb0fc | 49.153 MB  |     1562 |
| data16_13TeV:DAOD_SUSY2.10317256._000051.pool.root.1 | 5422FD99-1DF3-1441-9232-5879CCBDB31C | ad:c20aa04a | 57.574 MB  |     1806 |
| data16_13TeV:DAOD_SUSY2.10317256._000052.pool.root.1 | 0E1B837C-5FF9-074E-9C47-8B147E9D63F8 | ad:c84cd007 | 53.703 MB  |     1702 |
| data16_13TeV:DAOD_SUSY2.10317256._000053.pool.root.1 | D0130A73-5ACE-9643-B900-5EADEDA8B2C5 | ad:830a6231 | 53.683 MB  |     1685 |
| data16_13TeV:DAOD_SUSY2.10317256._000054.pool.root.1 | 55AC47CA-5A0D-B04B-AD66-1C36E2DEF692 | ad:50240411 | 56.854 MB  |     1765 |
| data16_13TeV:DAOD_SUSY2.10317256._000055.pool.root.1 | DFA68175-9A3F-D341-A9A5-D7681A7E7A2A | ad:0a2fa0a3 | 50.083 MB  |     1587 |
| data16_13TeV:DAOD_SUSY2.10317256._000056.pool.root.1 | 018E2082-7103-DC45-A848-A1E29E25DECF | ad:f5aa4414 | 56.487 MB  |     1776 |
| data16_13TeV:DAOD_SUSY2.10317256._000057.pool.root.1 | 050D78AB-4B54-2C40-B203-A4916E453866 | ad:b819215d | 48.586 MB  |     1557 |
| data16_13TeV:DAOD_SUSY2.10317256._000058.pool.root.1 | EF0ED4EB-6685-0A4E-8935-985B13E5D1C5 | ad:248cf1f3 | 55.618 MB  |     1735 |
| data16_13TeV:DAOD_SUSY2.10317256._000059.pool.root.1 | DB1C7787-A37F-F44F-8A9F-8ACEF8C014E3 | ad:7bd7523a | 48.813 MB  |     1560 |
| data16_13TeV:DAOD_SUSY2.10317256._000060.pool.root.1 | 2A51F7C2-5577-B54F-BB3E-B97990CD4943 | ad:611a6817 | 58.819 MB  |     1857 |
| data16_13TeV:DAOD_SUSY2.10317256._000062.pool.root.1 | CB2D2995-3723-E044-94F9-D2ADF9CF366A | ad:0d6d15f2 | 54.584 MB  |     1717 |
| data16_13TeV:DAOD_SUSY2.10317256._000063.pool.root.1 | E6D9FCEF-F62F-A646-A051-D7351CD98907 | ad:1d327a04 | 52.951 MB  |     1678 |
| data16_13TeV:DAOD_SUSY2.10317256._000064.pool.root.1 | C8C71581-B1A7-CD4D-8F27-885ACE63CF44 | ad:4ec30197 | 50.120 MB  |     1636 |
| data16_13TeV:DAOD_SUSY2.10317256._000065.pool.root.1 | 73D1090D-EDC3-C546-A2EA-289476F49892 | ad:53d2a5e5 | 56.233 MB  |     1792 |
| data16_13TeV:DAOD_SUSY2.10317256._000066.pool.root.1 | 67E4C287-3990-E241-8AB4-75D6FF70B364 | ad:d8b5972c | 51.114 MB  |     1646 |
| data16_13TeV:DAOD_SUSY2.10317256._000067.pool.root.1 | 935E9433-B58B-9C48-9C58-4FB47749C03A | ad:3419e2cf | 55.107 MB  |     1746 |
