+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11586919._000001.pool.root.1 | 05EC5CFF-53E1-774C-84DD-34D133DBEBA1 | ad:2a740c0a | 97.239 MB  |     3674 |
| mc15_13TeV:DAOD_SUSY2.11586919._000002.pool.root.1 | 95C92A03-43AD-204D-86A3-0235873D0731 | ad:75af4149 | 99.152 MB  |     3714 |
| mc15_13TeV:DAOD_SUSY2.11586919._000003.pool.root.1 | 56EF0B0C-3008-6549-97A9-A442F688EE90 | ad:c8b73fb4 | 97.792 MB  |     3646 |
| mc15_13TeV:DAOD_SUSY2.11586919._000004.pool.root.1 | 09A2C752-077B-9A43-A066-DD9FD6EA7672 | ad:7ff49a36 | 96.935 MB  |     3660 |
| mc15_13TeV:DAOD_SUSY2.11586919._000005.pool.root.1 | AF1661F7-DDFE-7A42-A246-9384EA2B9D2F | ad:7ce60301 | 97.025 MB  |     3614 |
| mc15_13TeV:DAOD_SUSY2.11586919._000006.pool.root.1 | A2FA8BE5-0226-204B-B0CD-B979605D9F99 | ad:05b8b0b4 | 100.922 MB |     3781 |
| mc15_13TeV:DAOD_SUSY2.11586919._000007.pool.root.1 | 9DB2D265-3FB3-7A4A-9F74-FD4787BD6A81 | ad:1ecf14c9 | 97.252 MB  |     3613 |
| mc15_13TeV:DAOD_SUSY2.11586919._000008.pool.root.1 | 0F63EF85-BF19-B548-9BA8-F783B1D2BFB3 | ad:615bb3e9 | 97.324 MB  |     3648 |
| mc15_13TeV:DAOD_SUSY2.11586919._000009.pool.root.1 | 6C49DC9C-E185-2643-A441-F72455E820F0 | ad:e4ca3f7b | 97.727 MB  |     3679 |
| mc15_13TeV:DAOD_SUSY2.11586919._000010.pool.root.1 | FEF38A6B-C59A-9D4F-A038-EF496A00F697 | ad:26931108 | 95.668 MB  |     3620 |
| mc15_13TeV:DAOD_SUSY2.11586919._000011.pool.root.1 | 238A3BE6-78ED-9442-87DD-8D29AC576997 | ad:467d913d | 577.122 MB |    21858 |
| mc15_13TeV:DAOD_SUSY2.11586919._000012.pool.root.1 | 1DB08F7E-A172-AC41-9471-FE84DE2AEF7A | ad:735f8643 | 582.705 MB |    22066 |
| mc15_13TeV:DAOD_SUSY2.11586919._000013.pool.root.1 | 71EDD311-B574-EA44-9919-4DAB5653AB12 | ad:76e3bbc3 | 583.275 MB |    22217 |
| mc15_13TeV:DAOD_SUSY2.11586919._000014.pool.root.1 | 7FE91110-7B08-C24D-8111-89ADA27C8202 | ad:0b1e528c | 576.899 MB |    21955 |
