+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11586963._000001.pool.root.1 | 863700D2-562B-E94E-93EF-90EA8C482EF6 | ad:4ade66a4 | 92.234 MB  |     4251 |
| mc15_13TeV:DAOD_SUSY2.11586963._000002.pool.root.1 | 3FF04CAC-F316-DF4F-97E3-6C1E05878CE7 | ad:b03cf0b0 | 91.897 MB  |     4216 |
| mc15_13TeV:DAOD_SUSY2.11586963._000003.pool.root.1 | 43A94640-2974-804C-80C4-24E919F524F1 | ad:cd17ade4 | 90.618 MB  |     4214 |
| mc15_13TeV:DAOD_SUSY2.11586963._000004.pool.root.1 | 15A89EA9-8AE2-F245-BEB1-5767E5CE5A95 | ad:6bf33b61 | 90.099 MB  |     4184 |
| mc15_13TeV:DAOD_SUSY2.11586963._000005.pool.root.1 | 2B2D2FE3-827D-7B40-A764-9AE1F3E8CB2A | ad:ad5111f5 | 90.445 MB  |     4126 |
| mc15_13TeV:DAOD_SUSY2.11586963._000006.pool.root.1 | 6E32B779-1706-B646-AD06-ADF734CBD8F9 | ad:cb3091db | 90.921 MB  |     4204 |
| mc15_13TeV:DAOD_SUSY2.11586963._000007.pool.root.1 | 231BFA37-BF8C-6648-8F00-FE269CEA7BCC | ad:a4f3f607 | 86.433 MB  |     4085 |
| mc15_13TeV:DAOD_SUSY2.11586963._000008.pool.root.1 | 8F6A65E0-3CF7-8344-816A-0C579E53E7DA | ad:4e1290d9 | 90.885 MB  |     4205 |
| mc15_13TeV:DAOD_SUSY2.11586963._000009.pool.root.1 | 51F432DF-A18B-CA43-8433-8E68BB9C969F | ad:c7c580b1 | 92.056 MB  |     4178 |
| mc15_13TeV:DAOD_SUSY2.11586963._000010.pool.root.1 | 2EAD6C09-2D7F-1E47-91E0-55FE3892DAA4 | ad:0e6c797e | 88.174 MB  |     4151 |
| mc15_13TeV:DAOD_SUSY2.11586963._000011.pool.root.1 | C7A25AC4-E54F-2E4E-9C25-F4C1A3FD89BA | ad:8811df5c | 711.316 MB |    33292 |
