+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11586895._000001.pool.root.1 | CE961223-4794-5848-9D14-F2156DE86A82 | ad:979f80a6 | 111.144 MB |     3260 |
| mc15_13TeV:DAOD_SUSY2.11586895._000002.pool.root.1 | 5DE75D2C-69B7-4F48-8122-574F9B3055A3 | ad:aa9fda65 | 112.047 MB |     3312 |
| mc15_13TeV:DAOD_SUSY2.11586895._000003.pool.root.1 | 1ECA6614-1A17-114A-903D-6322821C207E | ad:e9381da2 | 114.134 MB |     3343 |
| mc15_13TeV:DAOD_SUSY2.11586895._000004.pool.root.1 | 007E41CE-74EA-1F4D-97E2-51DCC8D07ECF | ad:4532aba2 | 115.380 MB |     3379 |
| mc15_13TeV:DAOD_SUSY2.11586895._000005.pool.root.1 | 858FFCC6-8A4F-6D4E-A798-490AC4A65143 | ad:350182ab | 113.220 MB |     3362 |
| mc15_13TeV:DAOD_SUSY2.11586895._000006.pool.root.1 | 406CFAF5-8A00-F941-ACE2-0AC6826F7A5D | ad:194e9776 | 109.651 MB |     3221 |
| mc15_13TeV:DAOD_SUSY2.11586895._000007.pool.root.1 | 50982FD8-78B1-974F-93C8-1EEAC016E77E | ad:092d03bf | 112.687 MB |     3314 |
| mc15_13TeV:DAOD_SUSY2.11586895._000008.pool.root.1 | C0B65655-3B77-C444-B70D-C051804BC391 | ad:b12cb8d2 | 111.445 MB |     3318 |
| mc15_13TeV:DAOD_SUSY2.11586895._000009.pool.root.1 | 9BB9FCC4-434B-2C4F-A3D8-96C8FF2B88AE | ad:520f6652 | 116.060 MB |     3435 |
| mc15_13TeV:DAOD_SUSY2.11586895._000010.pool.root.1 | ADCA2168-858E-D24C-9CFB-913B75762D59 | ad:6365c491 | 114.566 MB |     3338 |
| mc15_13TeV:DAOD_SUSY2.11586895._000011.pool.root.1 | 243A5A6E-BA1A-3B45-B589-090401936404 | ad:3cf7e3e4 | 672.901 MB |    19977 |
| mc15_13TeV:DAOD_SUSY2.11586895._000012.pool.root.1 | E9C740F9-3B7B-E341-89D9-7E8D5528680C | ad:cde8b131 | 664.407 MB |    19668 |
| mc15_13TeV:DAOD_SUSY2.11586895._000013.pool.root.1 | 9C74854A-544F-0B48-9CF4-800991CB53F7 | ad:d3089175 | 670.957 MB |    19831 |
| mc15_13TeV:DAOD_SUSY2.11586895._000014.pool.root.1 | 43DF3633-52F3-C943-9E53-33F4D875C60A | ad:808043fe | 674.538 MB |    19948 |
| mc15_13TeV:DAOD_SUSY2.11586895._000015.pool.root.1 | FA25DA47-362B-FF44-8AC1-E2150FE029D0 | ad:305a10c7 | 667.050 MB |    19788 |
| mc15_13TeV:DAOD_SUSY2.11586895._000016.pool.root.1 | C7571787-CCFE-254C-9ED8-891D799F1812 | ad:c7689aba | 669.300 MB |    19930 |
| mc15_13TeV:DAOD_SUSY2.11586895._000017.pool.root.1 | 870EB96C-32F1-5C44-B2A9-C415B796D9DA | ad:fac39960 | 657.653 MB |    19646 |
| mc15_13TeV:DAOD_SUSY2.11586895._000018.pool.root.1 | 53CA4DB9-3419-7749-8379-98E95BDC3CF7 | ad:afde787e | 668.352 MB |    19878 |
| mc15_13TeV:DAOD_SUSY2.11586895._000019.pool.root.1 | 3245A943-1F5B-7846-83FA-95B135907490 | ad:28227ba5 | 672.658 MB |    19982 |
| mc15_13TeV:DAOD_SUSY2.11586895._000020.pool.root.1 | 641E9EC1-CC82-A34D-8513-32AE45B891A5 | ad:88ca37f4 | 669.422 MB |    19864 |
| mc15_13TeV:DAOD_SUSY2.11586895._000021.pool.root.1 | 9D714FDB-DAD3-6B4C-9F46-DB89E1A8CA7C | ad:f167f70f | 674.145 MB |    20011 |
| mc15_13TeV:DAOD_SUSY2.11586895._000022.pool.root.1 | F9009900-69A7-B34A-AA3D-E33C41FD18DA | ad:146c8d85 | 669.041 MB |    19930 |
| mc15_13TeV:DAOD_SUSY2.11586895._000023.pool.root.1 | BA31EF95-C18F-8846-AD1B-063763EE3572 | ad:96f521e0 | 595.642 MB |    17705 |
