+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11658127._000001.pool.root.1 | 39951C22-ACB3-4546-8A65-2827D551D4D1 | ad:bc1dceca | 1.074 GB   |    24323 |
| mc15_13TeV:DAOD_SUSY2.11658127._000002.pool.root.1 | 7A715634-5471-334E-BC0C-EF5B3E46B4B3 | ad:586eb09a | 1.072 GB   |    24130 |
| mc15_13TeV:DAOD_SUSY2.11658127._000003.pool.root.1 | B129F471-66B4-CA47-A8CD-F99122A0353B | ad:d9096301 | 534.595 MB |    12070 |
| mc15_13TeV:DAOD_SUSY2.11658127._000004.pool.root.1 | 121C7BE3-A51E-6D4B-ACBA-DD992F4A4CE1 | ad:19c53c05 | 801.504 MB |    18115 |
| mc15_13TeV:DAOD_SUSY2.11658127._000005.pool.root.1 | 7DF14E1D-CA22-8E4E-95D3-ABA2388AC634 | ad:cbf1859b | 794.889 MB |    17906 |
| mc15_13TeV:DAOD_SUSY2.11658127._000006.pool.root.1 | 1479B647-6E7B-A24C-BBD3-39EE442D598C | ad:b61508d8 | 799.434 MB |    18091 |
| mc15_13TeV:DAOD_SUSY2.11658127._000007.pool.root.1 | 6540FA7C-F846-0C4B-99D6-B2517740B0F8 | ad:bb7c5832 | 805.442 MB |    18176 |
| mc15_13TeV:DAOD_SUSY2.11658127._000008.pool.root.1 | D550F381-38B4-714D-BAAC-6FA2D5E60728 | ad:8ba140d3 | 798.562 MB |    17982 |
| mc15_13TeV:DAOD_SUSY2.11658127._000009.pool.root.1 | 387E0A76-650E-1D45-8B5F-90D626990687 | ad:f4004d79 | 798.542 MB |    18032 |
| mc15_13TeV:DAOD_SUSY2.11658127._000010.pool.root.1 | C2D8C962-9962-6040-820E-8690AC23974B | ad:71e142fd | 798.103 MB |    18028 |
| mc15_13TeV:DAOD_SUSY2.11658127._000011.pool.root.1 | 7C852773-B20F-2843-888B-A7506759BA8A | ad:d02c7d46 | 802.139 MB |    18137 |
| mc15_13TeV:DAOD_SUSY2.11658127._000012.pool.root.1 | 8C1365B7-2511-1B4E-AC52-7D96D47E3332 | ad:3cd1dc39 | 797.461 MB |    18048 |
| mc15_13TeV:DAOD_SUSY2.11658127._000013.pool.root.1 | 502FE5C2-4C0A-864F-8D34-683373A3A271 | ad:69757675 | 802.816 MB |    18146 |
| mc15_13TeV:DAOD_SUSY2.11658127._000014.pool.root.1 | 14A6C3A7-B1FA-C948-994E-462D63A04772 | ad:f7d76366 | 807.885 MB |    18297 |
| mc15_13TeV:DAOD_SUSY2.11658127._000015.pool.root.1 | 8B8BCB13-987A-0444-B764-9833A8BF72B5 | ad:e2e4ca0f | 798.483 MB |    17985 |
| mc15_13TeV:DAOD_SUSY2.11658127._000016.pool.root.1 | 34BCEC4D-862D-D146-8B52-61677FB20D72 | ad:6ef9a326 | 800.850 MB |    18056 |
| mc15_13TeV:DAOD_SUSY2.11658127._000017.pool.root.1 | 15BB5958-E00F-6E48-9E4A-0A0E41D9E5ED | ad:bd849c09 | 800.552 MB |    18106 |
| mc15_13TeV:DAOD_SUSY2.11658127._000018.pool.root.1 | 3EB90122-11D2-CB42-B77D-C80FEBA69C5E | ad:f2cccaef | 798.137 MB |    18045 |
| mc15_13TeV:DAOD_SUSY2.11658127._000019.pool.root.1 | 560E3623-C227-104B-9CD1-BB83E77AF0F2 | ad:ac6edc8b | 803.032 MB |    18120 |
| mc15_13TeV:DAOD_SUSY2.11658127._000020.pool.root.1 | 63472D1B-33EB-9743-8868-BF516D3E79DE | ad:89a9a0d2 | 803.427 MB |    18160 |
| mc15_13TeV:DAOD_SUSY2.11658127._000021.pool.root.1 | 14CB2A42-36D9-0343-B60B-AB38AEC91941 | ad:0c4d7086 | 790.971 MB |    17904 |
| mc15_13TeV:DAOD_SUSY2.11658127._000022.pool.root.1 | 121F6536-59D3-9D44-946E-79F39F0F9A29 | ad:ac453403 | 798.223 MB |    17983 |
| mc15_13TeV:DAOD_SUSY2.11658127._000023.pool.root.1 | CC6A3DE4-79F3-824A-B4EA-780C4B07D1D3 | ad:b38ee9cf | 806.191 MB |    18111 |
| mc15_13TeV:DAOD_SUSY2.11658127._000024.pool.root.1 | 90E45C9E-AE9C-304F-9E40-CF057A90F310 | ad:160004a7 | 798.064 MB |    18040 |
| mc15_13TeV:DAOD_SUSY2.11658127._000025.pool.root.1 | A099702F-C9A0-A648-842C-653DA48651B9 | ad:7a5e71e3 | 801.352 MB |    18102 |
| mc15_13TeV:DAOD_SUSY2.11658127._000026.pool.root.1 | 2F5DAD22-DAD3-D746-B9F5-64DA0F506B5D | ad:78ef88e3 | 801.994 MB |    18073 |
| mc15_13TeV:DAOD_SUSY2.11658127._000027.pool.root.1 | 24D931E5-20E0-FA44-9F60-397D2D3FB7A4 | ad:8bc39158 | 797.750 MB |    17998 |
| mc15_13TeV:DAOD_SUSY2.11658127._000028.pool.root.1 | D61AB0AF-2395-9541-80B7-3E3B647338A1 | ad:58abc3b8 | 801.848 MB |    18118 |
| mc15_13TeV:DAOD_SUSY2.11658127._000029.pool.root.1 | 823A1701-F9E3-C54C-858A-D7AFEE5CB5B5 | ad:47c1962b | 799.768 MB |    18041 |
| mc15_13TeV:DAOD_SUSY2.11658127._000030.pool.root.1 | EEF860F1-655C-154D-BEBA-34C90B4F82B4 | ad:47aeb20d | 802.756 MB |    18201 |
| mc15_13TeV:DAOD_SUSY2.11658127._000031.pool.root.1 | A748BBBD-AF07-AC4C-9F34-C00DFCB701EF | ad:0633b35d | 808.175 MB |    18270 |
| mc15_13TeV:DAOD_SUSY2.11658127._000032.pool.root.1 | D45CF8C1-4AC0-D642-9A63-40022B3132F2 | ad:0fd1ba71 | 802.413 MB |    18122 |
| mc15_13TeV:DAOD_SUSY2.11658127._000033.pool.root.1 | F74AC8BF-9D9C-334F-8980-67DCB8508291 | ad:92c7b400 | 801.735 MB |    18102 |
| mc15_13TeV:DAOD_SUSY2.11658127._000034.pool.root.1 | 159F93F4-5FE6-6446-94E6-96674DE2F428 | ad:04a5e854 | 794.082 MB |    17999 |
| mc15_13TeV:DAOD_SUSY2.11658127._000035.pool.root.1 | 12E0F47A-BA50-294F-87E2-2FD4A7FC3861 | ad:339b8126 | 799.825 MB |    18077 |
| mc15_13TeV:DAOD_SUSY2.11658127._000036.pool.root.1 | E024FAE0-A4A0-D542-89BE-CA6EB0EB5CB2 | ad:ac80f4cb | 807.262 MB |    18250 |
| mc15_13TeV:DAOD_SUSY2.11658127._000037.pool.root.1 | 4CC922E4-71A4-A440-BB16-8328B00B403C | ad:edfdfe19 | 800.463 MB |    18110 |
| mc15_13TeV:DAOD_SUSY2.11658127._000038.pool.root.1 | 6A257F01-23AA-4841-A580-88F10201FFB4 | ad:8c0223e5 | 797.016 MB |    18021 |
| mc15_13TeV:DAOD_SUSY2.11658127._000039.pool.root.1 | D021851F-4C52-5F48-B01A-E3D00F7AD84C | ad:9c6d71eb | 799.724 MB |    18063 |
| mc15_13TeV:DAOD_SUSY2.11658127._000040.pool.root.1 | C82DA0F2-D030-9C46-ACD3-6351A5527620 | ad:537b5ae4 | 799.006 MB |    18039 |
| mc15_13TeV:DAOD_SUSY2.11658127._000041.pool.root.1 | BD9A31F7-9935-484E-96F8-C4A653301E1E | ad:89fb8710 | 808.955 MB |    18253 |
