+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11084860._000011.pool.root.1 | 6C5A040C-2E37-EB45-A83C-D7DF314BBFF1 | ad:54d63236 | 131.956 MB |     4211 |
| mc15_13TeV:DAOD_SUSY2.11084860._000012.pool.root.1 | E0E56317-B8A4-E14C-9F63-513A6CE9ACD5 | ad:759c1948 | 130.241 MB |     4176 |
| mc15_13TeV:DAOD_SUSY2.11084860._000013.pool.root.1 | 7FEA9312-DFC8-A340-881C-25524AD48150 | ad:801a30f5 | 135.169 MB |     4325 |
| mc15_13TeV:DAOD_SUSY2.11084860._000014.pool.root.1 | 2E55F373-3566-254C-B777-8D406BD6DF7B | ad:a7565d89 | 132.269 MB |     4258 |
| mc15_13TeV:DAOD_SUSY2.11084860._000015.pool.root.1 | 70F1D6C2-B666-BF4B-932B-EA9AA0517467 | ad:8b061e3b | 131.214 MB |     4198 |
| mc15_13TeV:DAOD_SUSY2.11084860._000016.pool.root.1 | 49300C73-7F93-9549-B40B-4A1F1C996E59 | ad:03a3e210 | 130.894 MB |     4200 |
| mc15_13TeV:DAOD_SUSY2.11084860._000017.pool.root.1 | 63F0FC21-804F-F744-8F3F-418A8A687144 | ad:7a6e2e6b | 131.945 MB |     4244 |
| mc15_13TeV:DAOD_SUSY2.11084860._000018.pool.root.1 | 0AAFBECD-F9A8-7048-8184-564E67796584 | ad:535940ce | 132.056 MB |     4202 |
| mc15_13TeV:DAOD_SUSY2.11084860._000019.pool.root.1 | 42494B18-9C1A-BD4A-B907-A6EDB99CD61B | ad:7a84e1f1 | 133.217 MB |     4276 |
| mc15_13TeV:DAOD_SUSY2.11084860._000020.pool.root.1 | AB17879D-E68A-5042-BC92-AE2233DA93D9 | ad:0f8b9509 | 133.960 MB |     4285 |
| mc15_13TeV:DAOD_SUSY2.11084860._000021.pool.root.1 | 128BDF78-FFC8-8643-990F-EE2369A3E569 | ad:fb755fc0 | 779.550 MB |    25121 |
| mc15_13TeV:DAOD_SUSY2.11084860._000022.pool.root.1 | AE1BDD25-95E6-2742-A5A8-1A4BBD9D8BC4 | ad:0ca7eba0 | 786.829 MB |    25142 |
| mc15_13TeV:DAOD_SUSY2.11084860._000023.pool.root.1 | E42D1971-6558-A445-A5AF-B62A5E9D570F | ad:b4923248 | 782.301 MB |    25105 |
| mc15_13TeV:DAOD_SUSY2.11084860._000024.pool.root.1 | 00FD615F-5CD2-2141-8067-2E7D91ABC25C | ad:0cbec7e9 | 786.499 MB |    25324 |
| mc15_13TeV:DAOD_SUSY2.11084860._000025.pool.root.1 | 945800B8-5154-4F47-8FD6-1C604F253775 | ad:45a8de67 | 783.916 MB |    25279 |
| mc15_13TeV:DAOD_SUSY2.11084860._000026.pool.root.1 | 159502E5-406F-5549-AF38-507ED1339B1D | ad:b1ec29db | 778.804 MB |    25259 |
| mc15_13TeV:DAOD_SUSY2.11084860._000027.pool.root.1 | D2DDF9E9-628C-2D45-9627-BBEF3AE26EC7 | ad:66520dd0 | 786.505 MB |    25268 |
| mc15_13TeV:DAOD_SUSY2.11084860._000028.pool.root.1 | 1C176A8C-C7C1-A648-BFE5-10198CBE44B8 | ad:d821496a | 771.476 MB |    24860 |
| mc15_13TeV:DAOD_SUSY2.11084860._000029.pool.root.1 | B272FB32-D512-FF46-8970-EB917C5A6019 | ad:ecb8aa2c | 787.303 MB |    25366 |
| mc15_13TeV:DAOD_SUSY2.11084860._000030.pool.root.1 | 997C48BC-4797-6E46-9E6B-38D4651DA7B1 | ad:d75b0e99 | 773.817 MB |    24989 |
| mc15_13TeV:DAOD_SUSY2.11084860._000031.pool.root.1 | 49453A2B-FB2E-6546-A7ED-DA7E61ADA855 | ad:49b0165d | 790.204 MB |    25328 |
| mc15_13TeV:DAOD_SUSY2.11084860._000032.pool.root.1 | B3CD142E-C2E3-A642-8619-13990DA1BB6A | ad:f1386647 | 787.550 MB |    25249 |
| mc15_13TeV:DAOD_SUSY2.11084860._000033.pool.root.1 | A877C1E1-B99A-6345-AAC8-7CF1EF4C8424 | ad:b2e50559 | 822.757 MB |    26466 |
| mc15_13TeV:DAOD_SUSY2.11084858._000011.pool.root.1 | FE40D374-4AED-EE47-A985-B620BF7EA7E3 | ad:def57260 | 130.819 MB |     4216 |
| mc15_13TeV:DAOD_SUSY2.11084858._000012.pool.root.1 | 7157A8B7-16E9-E243-B667-796CFADCDA98 | ad:2d29c569 | 130.244 MB |     4161 |
| mc15_13TeV:DAOD_SUSY2.11084858._000013.pool.root.1 | F0A98B46-91A6-924C-9FE6-9ADC37484BA3 | ad:bf08c582 | 133.869 MB |     4292 |
| mc15_13TeV:DAOD_SUSY2.11084858._000014.pool.root.1 | 690ED376-8736-EE49-9F2B-5343835982F5 | ad:9bd5d17e | 132.476 MB |     4209 |
| mc15_13TeV:DAOD_SUSY2.11084858._000015.pool.root.1 | E030E2E8-3C8A-1C41-8EB8-561D3F6AE33C | ad:ff92f154 | 133.064 MB |     4293 |
| mc15_13TeV:DAOD_SUSY2.11084858._000016.pool.root.1 | 567CB825-5912-F246-8546-D9721188A75B | ad:9f98fbe9 | 129.128 MB |     4142 |
| mc15_13TeV:DAOD_SUSY2.11084858._000017.pool.root.1 | AB4039CD-4C70-154A-980D-7CBF460FB48F | ad:c8ef568a | 130.276 MB |     4149 |
| mc15_13TeV:DAOD_SUSY2.11084858._000018.pool.root.1 | 12D1E235-40BB-9A48-9B72-233BAF58CD51 | ad:4745c529 | 131.042 MB |     4220 |
| mc15_13TeV:DAOD_SUSY2.11084858._000019.pool.root.1 | C2E6DF8C-31F9-6643-AA36-5A6ACB7EC398 | ad:a1c04ed1 | 130.393 MB |     4184 |
| mc15_13TeV:DAOD_SUSY2.11084858._000020.pool.root.1 | D0A09972-D2C1-4A47-94AD-2C367048A728 | ad:2f9913f2 | 132.047 MB |     4179 |
| mc15_13TeV:DAOD_SUSY2.11084858._000021.pool.root.1 | F8F6045F-B8B9-0A4B-9EF3-F2BA6818B978 | ad:2ea2fd83 | 782.619 MB |    25214 |
| mc15_13TeV:DAOD_SUSY2.11084858._000022.pool.root.1 | 0A8F32B5-4F78-DE4D-8E2E-47E362B5DAEF | ad:2fee72c8 | 786.684 MB |    25433 |
| mc15_13TeV:DAOD_SUSY2.11084858._000023.pool.root.1 | 55A4C97D-BBC0-DE4D-A8F3-096AA2399841 | ad:51880acd | 783.150 MB |    25289 |
| mc15_13TeV:DAOD_SUSY2.11084858._000024.pool.root.1 | B2A52AFE-DEC9-8740-B96A-1D85CE9DD031 | ad:212964bb | 780.393 MB |    25114 |
| mc15_13TeV:DAOD_SUSY2.11084858._000025.pool.root.1 | E0021294-4467-D84C-AB82-9FF17C663C29 | ad:99280f10 | 784.385 MB |    25271 |
| mc15_13TeV:DAOD_SUSY2.11084858._000026.pool.root.1 | 414FA717-CDC5-4D41-B934-B2A93B240027 | ad:5694a490 | 775.334 MB |    25114 |
| mc15_13TeV:DAOD_SUSY2.11084858._000027.pool.root.1 | 8F99D485-3A49-BE4E-AF35-CBDC3D4417A4 | ad:99319b21 | 786.553 MB |    25265 |
| mc15_13TeV:DAOD_SUSY2.11084858._000028.pool.root.1 | B7EBD3C7-349F-B64F-A381-662C9AE45F42 | ad:2547faff | 761.524 MB |    24680 |
| mc15_13TeV:DAOD_SUSY2.11084858._000029.pool.root.1 | 73A4CA51-675E-F643-BD8F-48774670EB5E | ad:e9fa4cc2 | 779.889 MB |    25157 |
| mc15_13TeV:DAOD_SUSY2.11084858._000030.pool.root.1 | 1FB5D916-40FA-274E-8897-16E764CCF056 | ad:c77c60b6 | 780.246 MB |    25279 |
| mc15_13TeV:DAOD_SUSY2.11084858._000031.pool.root.1 | DCD432DD-5061-EA45-89B1-2DF173F3EF4F | ad:120c92f5 | 780.377 MB |    25323 |
| mc15_13TeV:DAOD_SUSY2.11084858._000032.pool.root.1 | C7ACCF39-9BD4-9240-A033-9373F9F23E42 | ad:540850e7 | 777.928 MB |    25086 |
| mc15_13TeV:DAOD_SUSY2.11084858._000033.pool.root.1 | C8B2F1A0-CE85-D04B-B9A6-7D2235F36445 | ad:60f5747a | 783.693 MB |    25205 |
| mc15_13TeV:DAOD_SUSY2.11084858._000034.pool.root.1 | E82AF79B-BE0C-D944-87E6-6D412808BE36 | ad:63dba02a | 785.924 MB |    25335 |
| mc15_13TeV:DAOD_SUSY2.11084858._000035.pool.root.1 | E0F828CF-89EC-B646-A583-B6C0ADCF0BAA | ad:16069390 | 785.009 MB |    25322 |
| mc15_13TeV:DAOD_SUSY2.11084858._000036.pool.root.1 | D203D7C2-2C84-BF48-A80E-C1DB602473F4 | ad:029d7f28 | 789.217 MB |    25247 |
| mc15_13TeV:DAOD_SUSY2.11084858._000037.pool.root.1 | CA557430-D689-F14A-B630-5A6662F1F2A9 | ad:68cf100c | 787.878 MB |    25282 |
| mc15_13TeV:DAOD_SUSY2.11084858._000038.pool.root.1 | B730CF8B-7FF4-E042-B16F-BA95192E849D | ad:642b9b38 | 780.990 MB |    25204 |
| mc15_13TeV:DAOD_SUSY2.11084858._000039.pool.root.1 | 339FB569-CE60-3149-9D70-82186E1DD12A | ad:fd6390be | 785.966 MB |    25352 |
| mc15_13TeV:DAOD_SUSY2.11084858._000040.pool.root.1 | 54D2A9AD-214D-8A44-96CE-5F065B1C7EF8 | ad:27e75200 | 775.917 MB |    25007 |
| mc15_13TeV:DAOD_SUSY2.11084858._000042.pool.root.1 | 4AA10E38-FBED-9649-BE2C-5EAC719A88BF | ad:851721ba | 784.212 MB |    25310 |
| mc15_13TeV:DAOD_SUSY2.11084858._000043.pool.root.1 | B8B0D5B3-74C7-6F4F-8BE8-9B08BA919701 | ad:96db9ec6 | 785.652 MB |    25249 |
| mc15_13TeV:DAOD_SUSY2.11084858._000044.pool.root.1 | D0BC0ADF-8877-364B-83F9-E7F3F0EB34A8 | ad:57c1759f | 776.999 MB |    25081 |
| mc15_13TeV:DAOD_SUSY2.11084858._000045.pool.root.1 | CDC4AD70-5723-0B43-A852-DCBAEB727DCE | ad:8df8bb81 | 787.599 MB |    25303 |
| mc15_13TeV:DAOD_SUSY2.11084858._000046.pool.root.1 | 2146747F-2AAE-F14F-A783-12F835839FC9 | ad:8f73f39a | 790.884 MB |    25248 |
