+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11460147._000001.pool.root.1 | 5602E253-032C-604B-91F0-68E2F6A14372 | ad:595d7409 | 13.902 MB  |      393 |
| mc15_13TeV:DAOD_SUSY2.11460147._000002.pool.root.1 | 537B58C4-F5C8-8C4F-B7BA-198266289164 | ad:eb0ae6ec | 12.454 MB  |      352 |
| mc15_13TeV:DAOD_SUSY2.11460147._000003.pool.root.1 | 7F5F5E20-50CF-C141-9053-867E2C5CF09D | ad:7abcc0d1 | 12.981 MB  |      367 |
| mc15_13TeV:DAOD_SUSY2.11460147._000004.pool.root.1 | 533B6A3B-5038-C540-BC51-FDF35C7CC49E | ad:f5a4cf50 | 13.198 MB  |      376 |
| mc15_13TeV:DAOD_SUSY2.11460147._000005.pool.root.1 | C784A82C-E4E9-2A48-A5F6-4A78AA280C81 | ad:02612d31 | 14.510 MB  |      402 |
| mc15_13TeV:DAOD_SUSY2.11460147._000006.pool.root.1 | FC7BF78B-19C7-0D45-A762-CB86BF3A662A | ad:e6a6fda0 | 13.313 MB  |      383 |
| mc15_13TeV:DAOD_SUSY2.11460147._000007.pool.root.1 | C562EC49-B38B-2042-AB6E-DBCA6D9A353D | ad:eb15dd7f | 12.867 MB  |      366 |
| mc15_13TeV:DAOD_SUSY2.11460147._000008.pool.root.1 | DC007DED-2A23-4A42-8CE1-A166B7A05963 | ad:2e003436 | 12.926 MB  |      375 |
| mc15_13TeV:DAOD_SUSY2.11460147._000009.pool.root.1 | FD381B07-1267-024D-A88A-C301A88AFF69 | ad:d9dbc446 | 12.609 MB  |      355 |
| mc15_13TeV:DAOD_SUSY2.11460147._000010.pool.root.1 | A54EAAC7-58DC-1542-BA6A-2DE454BF430E | ad:162d725a | 12.814 MB  |      363 |
| mc15_13TeV:DAOD_SUSY2.11460147._000011.pool.root.1 | 68347FE5-3B07-BD42-B0C4-4C4F3019D044 | ad:80807cc8 | 88.379 MB  |     2640 |
| mc15_13TeV:DAOD_SUSY2.11460147._000012.pool.root.1 | 57EBDA38-603E-D346-A112-20A41FC14AC8 | ad:b48d275a | 90.459 MB  |     2731 |
| mc15_13TeV:DAOD_SUSY2.11460147._000013.pool.root.1 | 79E9703D-5976-574C-A988-8EB564159621 | ad:1c8f5af5 | 84.830 MB  |     2573 |
| mc15_13TeV:DAOD_SUSY2.11460147._000014.pool.root.1 | 228290EE-C531-7F43-84B2-9CBDAEB70312 | ad:a69c8eb5 | 85.096 MB  |     2542 |
| mc15_13TeV:DAOD_SUSY2.11460147._000015.pool.root.1 | 1E2A29DB-0197-CD40-8D40-100236FAD218 | ad:d995e367 | 84.525 MB  |     2568 |
| mc15_13TeV:DAOD_SUSY2.11460147._000016.pool.root.1 | FC73107F-D5CB-8E4C-8C53-64204F7DFF2B | ad:4006135b | 86.185 MB  |     2583 |
| mc15_13TeV:DAOD_SUSY2.11460147._000017.pool.root.1 | A9D9D196-16A8-4240-9A92-173D1491629E | ad:7e99e99e | 85.630 MB  |     2565 |
| mc15_13TeV:DAOD_SUSY2.11460147._000018.pool.root.1 | 8859A668-C5BC-A14B-AD89-D4709F4E5B0F | ad:0207ca7d | 84.678 MB  |     2564 |
| mc15_13TeV:DAOD_SUSY2.11460147._000019.pool.root.1 | 0F020307-296A-4743-8BA1-ABA9F6E5CCD0 | ad:4cfc0f91 | 85.958 MB  |     2596 |
| mc15_13TeV:DAOD_SUSY2.11460147._000020.pool.root.1 | 290FD85C-150B-7B45-B66D-DA7288814DCB | ad:d47d7733 | 88.042 MB  |     2655 |
