+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.10506327._000001.pool.root.1 | DBE0629C-D343-664E-89B6-5161D75ADC5E | ad:ec553679 | 124.812 MB |     4099 |
| mc15_13TeV:DAOD_SUSY2.10506327._000002.pool.root.1 | 54B8573F-535C-B848-94A4-FD729BAB6BD8 | ad:ca614ec0 | 126.375 MB |     4147 |
| mc15_13TeV:DAOD_SUSY2.10506327._000003.pool.root.1 | 6DD71B86-E1AB-9847-AF20-0ACA3E0F8749 | ad:10bfc2ca | 122.996 MB |     4033 |
| mc15_13TeV:DAOD_SUSY2.10506327._000004.pool.root.1 | 3805BCFD-7B6C-6944-B534-951D0992A688 | ad:46f768a7 | 125.134 MB |     4115 |
| mc15_13TeV:DAOD_SUSY2.10506327._000005.pool.root.1 | 7EB48AE9-4F58-6B4A-8EA9-7593B60D9449 | ad:b351c345 | 125.247 MB |     4094 |
| mc15_13TeV:DAOD_SUSY2.10506327._000006.pool.root.1 | F747A38F-43F7-0941-9978-C2A8122FCD25 | ad:23edca62 | 124.704 MB |     4122 |
| mc15_13TeV:DAOD_SUSY2.10506327._000007.pool.root.1 | 13E3DDF1-E8E3-5D4C-ABE4-41C281512B4B | ad:3db19b65 | 126.339 MB |     4132 |
| mc15_13TeV:DAOD_SUSY2.10506327._000008.pool.root.1 | 9F070A3F-1F1D-2C4F-BFB9-DFB93E19129A | ad:c0db404e | 127.780 MB |     4186 |
| mc15_13TeV:DAOD_SUSY2.10506327._000009.pool.root.1 | 1858DA21-AAED-8F44-8F69-A4AFE58378B8 | ad:cdc0a92d | 125.901 MB |     4131 |
| mc15_13TeV:DAOD_SUSY2.10506327._000010.pool.root.1 | B8A9D90F-FE17-E44E-B385-229E921468E6 | ad:54fafec8 | 129.236 MB |     4245 |
| mc15_13TeV:DAOD_SUSY2.10506327._000011.pool.root.1 | E6ACDAA9-1822-414E-A076-7ED5CFC00EBA | ad:bebcbebf | 870.577 MB |    28657 |
| mc15_13TeV:DAOD_SUSY2.10506327._000012.pool.root.1 | A8EDB381-0B9E-0C47-80C1-0A260F2E1DE2 | ad:4cc0a505 | 869.453 MB |    28776 |
| mc15_13TeV:DAOD_SUSY2.10506327._000013.pool.root.1 | 31194DAD-B694-804B-80A1-4DC53EC8235C | ad:5fb74b58 | 859.707 MB |    28586 |
| mc15_13TeV:DAOD_SUSY2.10506327._000014.pool.root.1 | 652BCA6C-FC71-934A-BCB5-D05CF19FF08F | ad:55d99765 | 864.216 MB |    28611 |
| mc15_13TeV:DAOD_SUSY2.10506327._000015.pool.root.1 | 5991FF3F-FA47-2C45-9F6A-8474648ACE25 | ad:cf0f12f2 | 873.577 MB |    28636 |
| mc15_13TeV:DAOD_SUSY2.10506327._000016.pool.root.1 | 7754EEB9-D90A-0249-A6AF-5DE7C3E56590 | ad:82078939 | 863.826 MB |    28612 |
| mc15_13TeV:DAOD_SUSY2.10506327._000017.pool.root.1 | D75F3024-E1CA-244C-8778-5A6A35AE6AA2 | ad:9f1dc2ae | 877.856 MB |    28779 |
| mc15_13TeV:DAOD_SUSY2.10506327._000018.pool.root.1 | 06DDC0A4-2732-2546-949C-54AF5452AE18 | ad:2b8a7d08 | 862.906 MB |    28686 |
| mc15_13TeV:DAOD_SUSY2.10506327._000019.pool.root.1 | 1EDFF63A-3323-C44B-8077-6BF9F73C67CA | ad:0defbc87 | 879.025 MB |    28853 |
| mc15_13TeV:DAOD_SUSY2.10506327._000020.pool.root.1 | 364BAF6A-C8D6-8540-AAB1-8FA88241C30C | ad:21fd527a | 859.741 MB |    28628 |
| mc15_13TeV:DAOD_SUSY2.10506327._000021.pool.root.1 | 1B77DC02-0455-0B4D-9430-44A7B163DC34 | ad:ff9ce18f | 876.790 MB |    28934 |
| mc15_13TeV:DAOD_SUSY2.10506327._000022.pool.root.1 | BA01E1D5-D863-104F-AAF2-4CC6D839019A | ad:7bf2ee32 | 863.226 MB |    28760 |
| mc15_13TeV:DAOD_SUSY2.10506327._000023.pool.root.1 | 5FFC48BA-9B8E-5149-A17E-93D7F5BA5E75 | ad:5827c431 | 863.771 MB |    28595 |
| mc15_13TeV:DAOD_SUSY2.10506327._000024.pool.root.1 | 15D05E4A-7C2A-264E-B4AA-603CBF4F7213 | ad:5e59f9bc | 860.099 MB |    28537 |
| mc15_13TeV:DAOD_SUSY2.10506327._000025.pool.root.1 | F52908A2-C798-EC41-9AD8-07F93B90A230 | ad:5fc7e4e5 | 876.427 MB |    28825 |
| mc15_13TeV:DAOD_SUSY2.10506327._000026.pool.root.1 | 51801489-473F-DA4E-9CED-BC17419C3472 | ad:4e681901 | 864.024 MB |    28627 |
| mc15_13TeV:DAOD_SUSY2.10506327._000027.pool.root.1 | 1FD11C13-FC08-774B-A42D-09451864D86A | ad:0a226f84 | 861.404 MB |    28536 |
| mc15_13TeV:DAOD_SUSY2.10506327._000028.pool.root.1 | 9F63CEF4-FF20-9348-8C03-4A3DD076BECA | ad:f47307af | 871.306 MB |    28994 |
| mc15_13TeV:DAOD_SUSY2.10506327._000029.pool.root.1 | D9B50274-AA7F-5546-A4CC-4AA766EA5DD5 | ad:a432fa2b | 867.840 MB |    28693 |
| mc15_13TeV:DAOD_SUSY2.10506327._000030.pool.root.1 | C1410D25-6182-6A41-9D31-C1AFE6D7B8BA | ad:62ed6083 | 860.957 MB |    28554 |
| mc15_13TeV:DAOD_SUSY2.10506327._000031.pool.root.1 | 08673096-9727-AC47-8E84-1E0E3E69DF33 | ad:ddb2e6ec | 864.624 MB |    28822 |
| mc15_13TeV:DAOD_SUSY2.10506327._000032.pool.root.1 | AF7DF052-58D1-384C-8875-DE4B7BA080A0 | ad:cdbc9a2c | 869.920 MB |    28670 |
| mc15_13TeV:DAOD_SUSY2.10506327._000033.pool.root.1 | 44AD7A1C-76C1-4949-86B5-46FD186966B1 | ad:5660d2ad | 860.885 MB |    28496 |
| mc15_13TeV:DAOD_SUSY2.10506327._000034.pool.root.1 | A488FE24-994C-054E-8849-4764A5416E28 | ad:a3974ca2 | 869.248 MB |    28896 |
| mc15_13TeV:DAOD_SUSY2.10506327._000035.pool.root.1 | D513CEE2-58E5-1249-99DE-D2DC290C3684 | ad:bfffef46 | 871.384 MB |    28793 |
| mc15_13TeV:DAOD_SUSY2.10506327._000036.pool.root.1 | 9E486AC8-24BD-114B-A803-7B11E4AA08A3 | ad:9332fb96 | 866.899 MB |    28561 |
| mc15_13TeV:DAOD_SUSY2.10506327._000037.pool.root.1 | E3ADE445-9169-5047-BDD8-D13F38236DA9 | ad:a77e710e | 862.930 MB |    28640 |
| mc15_13TeV:DAOD_SUSY2.10506327._000038.pool.root.1 | 32EC65E3-428B-A942-87F3-61AF891D90D2 | ad:3323e9aa | 855.689 MB |    28379 |
| mc15_13TeV:DAOD_SUSY2.10506327._000039.pool.root.1 | 33898AD8-776E-E64C-90F8-153AC973C0E9 | ad:246ccfc3 | 873.148 MB |    28770 |
| mc15_13TeV:DAOD_SUSY2.10506327._000040.pool.root.1 | 482ABDF7-0476-9545-A7B9-409EEC2B729F | ad:0d6aa49b | 863.592 MB |    28487 |
| mc15_13TeV:DAOD_SUSY2.10506327._000041.pool.root.1 | BC59B545-F126-FC41-A4CA-2AA84EA37F37 | ad:40f4a28f | 865.737 MB |    28594 |
| mc15_13TeV:DAOD_SUSY2.10506327._000042.pool.root.1 | 5987BB23-556F-5540-A401-438434CEF17A | ad:d2cabbea | 871.029 MB |    28727 |
| mc15_13TeV:DAOD_SUSY2.10506327._000043.pool.root.1 | CF238210-128E-9E48-8D5E-6225F642D231 | ad:9c7e2e9c | 868.051 MB |    28557 |
| mc15_13TeV:DAOD_SUSY2.10506327._000044.pool.root.1 | 288C7DF1-C95A-7F48-A00C-D8A2A4C49658 | ad:42e79651 | 864.679 MB |    28694 |
| mc15_13TeV:DAOD_SUSY2.10506327._000045.pool.root.1 | 4716D259-ED19-E140-B21C-E830938DB079 | ad:571169ef | 869.458 MB |    28786 |
| mc15_13TeV:DAOD_SUSY2.10506327._000046.pool.root.1 | 17A42D63-2BF7-6641-8B42-74090A139EF0 | ad:6d78b6b6 | 875.740 MB |    28811 |
| mc15_13TeV:DAOD_SUSY2.10506327._000047.pool.root.1 | 4746EBE7-7099-8741-ACCD-5D895187E4C4 | ad:284467a0 | 871.283 MB |    28851 |
| mc15_13TeV:DAOD_SUSY2.10506327._000048.pool.root.1 | C3DF43BB-39E8-4846-B501-FBB7AECA9952 | ad:221fecdb | 875.484 MB |    28836 |
| mc15_13TeV:DAOD_SUSY2.10506327._000049.pool.root.1 | 007864D6-0021-E347-8B85-2A4D619B09A6 | ad:816c267b | 866.235 MB |    28796 |
| mc15_13TeV:DAOD_SUSY2.10506327._000050.pool.root.1 | 85E71C63-EE8F-C74C-85B5-46D41C63AA52 | ad:9a3beb84 | 877.546 MB |    28735 |
| mc15_13TeV:DAOD_SUSY2.10506327._000051.pool.root.1 | 508533DD-9FCF-5047-A513-D2BD474ED4C9 | ad:0f3c60fd | 859.185 MB |    28524 |
| mc15_13TeV:DAOD_SUSY2.10506327._000052.pool.root.1 | 437626E6-5158-3C48-9434-1F0C5381194C | ad:d6118ecd | 870.002 MB |    28903 |
| mc15_13TeV:DAOD_SUSY2.10506327._000053.pool.root.1 | 0E753CDD-DA37-E24C-B648-04F92A3FD2B8 | ad:cfe3906b | 872.501 MB |    28792 |
| mc15_13TeV:DAOD_SUSY2.10506327._000054.pool.root.1 | E330DD98-17AA-0D45-B6EE-91DC8A0A6D6B | ad:c03561e3 | 868.384 MB |    28690 |
| mc15_13TeV:DAOD_SUSY2.10506327._000055.pool.root.1 | D30E28C1-8C90-7C46-B539-6FB8980E42BE | ad:2cac31f8 | 862.668 MB |    28703 |
| mc15_13TeV:DAOD_SUSY2.10506327._000056.pool.root.1 | 199B3779-F762-2C40-ACCC-325184B22FDB | ad:cec74796 | 869.736 MB |    28755 |
| mc15_13TeV:DAOD_SUSY2.10506327._000057.pool.root.1 | AC8ED3DD-D534-E642-AF0A-46AA90F072B1 | ad:809841db | 860.765 MB |    28603 |
| mc15_13TeV:DAOD_SUSY2.10506327._000058.pool.root.1 | 6D58D8ED-5990-F748-A345-802F40084267 | ad:6caa2b8d | 866.799 MB |    28617 |
| mc15_13TeV:DAOD_SUSY2.10506327._000059.pool.root.1 | F2F4D132-ED91-4045-AF4D-8355D2F8D6B1 | ad:ba0ee431 | 862.225 MB |    28670 |
| mc15_13TeV:DAOD_SUSY2.10506327._000060.pool.root.1 | 8CB7784B-A55A-E54B-A68B-66754FE7A4B8 | ad:96cca3a8 | 867.473 MB |    28762 |
| mc15_13TeV:DAOD_SUSY2.10506327._000061.pool.root.1 | 5DEBDB9F-C741-C945-AA10-63C85F97DAB4 | ad:47de3f0d | 859.787 MB |    28565 |
| mc15_13TeV:DAOD_SUSY2.10506327._000062.pool.root.1 | F190A5BB-C57C-BC44-B3D5-96914B07CAB9 | ad:d44d6bd5 | 876.855 MB |    28802 |
