+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.10506282._000001.pool.root.1 | D1E495F6-8636-4246-B5C6-D4978C4EE396 | ad:dc9b1909 | 122.324 MB |     3829 |
| mc15_13TeV:DAOD_SUSY2.10506282._000002.pool.root.1 | F67A5570-000B-F745-B30E-AD1024FA2C4E | ad:bb2c2466 | 116.731 MB |     3716 |
| mc15_13TeV:DAOD_SUSY2.10506282._000003.pool.root.1 | 5F724040-6D58-9B4D-AD59-170850E5A486 | ad:4b793909 | 121.840 MB |     3827 |
| mc15_13TeV:DAOD_SUSY2.10506282._000004.pool.root.1 | 2FBEDD72-77A2-6A4D-B3E8-875EF1A830E6 | ad:4817d955 | 122.207 MB |     3801 |
| mc15_13TeV:DAOD_SUSY2.10506282._000005.pool.root.1 | 9379B209-44B3-9C48-9ECC-FB91C960AE70 | ad:2d7a8751 | 119.163 MB |     3751 |
| mc15_13TeV:DAOD_SUSY2.10506282._000006.pool.root.1 | EB35E03C-391E-1D48-BF05-5187D400517B | ad:b531bca7 | 124.498 MB |     3918 |
| mc15_13TeV:DAOD_SUSY2.10506282._000007.pool.root.1 | 693F7947-4D2B-E14F-A3FA-8921CD38994E | ad:09b7741c | 121.012 MB |     3799 |
| mc15_13TeV:DAOD_SUSY2.10506282._000008.pool.root.1 | F6977826-8A78-4A46-B636-A4D6F313DC98 | ad:c39e9b37 | 119.308 MB |     3795 |
| mc15_13TeV:DAOD_SUSY2.10506282._000009.pool.root.1 | D60A4444-6BB4-5541-9312-97973E84750D | ad:84831393 | 120.653 MB |     3822 |
| mc15_13TeV:DAOD_SUSY2.10506282._000010.pool.root.1 | 25E27221-F1A2-5545-9420-F0010BDC0A19 | ad:fbea146e | 122.162 MB |     3830 |
| mc15_13TeV:DAOD_SUSY2.10506282._000011.pool.root.1 | 8918B426-746C-1A4B-853B-1CACC5AF18D4 | ad:3ca5448e | 836.133 MB |    26553 |
| mc15_13TeV:DAOD_SUSY2.10506282._000012.pool.root.1 | E5F4250C-AC69-2646-81A6-BA7696F6BFD7 | ad:c0cee779 | 846.870 MB |    26741 |
| mc15_13TeV:DAOD_SUSY2.10506282._000013.pool.root.1 | 5608EF2F-1B41-E14C-AA0C-8905F97175AF | ad:666c5d30 | 847.692 MB |    26767 |
| mc15_13TeV:DAOD_SUSY2.10506282._000014.pool.root.1 | 5AD135A6-B139-B748-A43E-AFA2C66E707F | ad:81504297 | 837.162 MB |    26517 |
| mc15_13TeV:DAOD_SUSY2.10506282._000015.pool.root.1 | 05959B0B-AD04-1442-8D77-320EC12DD0B0 | ad:bf9921ef | 830.753 MB |    26529 |
| mc15_13TeV:DAOD_SUSY2.10506282._000016.pool.root.1 | A65B903A-6EEA-2D4E-9E9B-BA157ADC06FF | ad:44fd0056 | 843.029 MB |    26664 |
