+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11084091._000011.pool.root.1 | E5A4FC26-D32C-1744-8AA5-C0C2A4C79328 | ad:508b6963 | 105.861 MB |     3578 |
| mc15_13TeV:DAOD_SUSY2.11084091._000012.pool.root.1 | 07E48444-CE0D-A649-A423-5548D798AC42 | ad:42444be6 | 104.386 MB |     3529 |
| mc15_13TeV:DAOD_SUSY2.11084091._000013.pool.root.1 | 85C2E1B2-49F6-AD47-A252-4C7A3B11806F | ad:1403842c | 105.123 MB |     3537 |
| mc15_13TeV:DAOD_SUSY2.11084091._000014.pool.root.1 | 6A908B78-9F04-874B-A427-17496AC7AA16 | ad:6b50e4fa | 106.051 MB |     3571 |
| mc15_13TeV:DAOD_SUSY2.11084091._000015.pool.root.1 | 460FB143-F503-6043-A191-A94E7633B47C | ad:68e2a7df | 105.887 MB |     3569 |
| mc15_13TeV:DAOD_SUSY2.11084091._000016.pool.root.1 | D2081337-147E-3745-81E7-5C5DA95BBF50 | ad:38d1f90e | 105.889 MB |     3593 |
| mc15_13TeV:DAOD_SUSY2.11084091._000017.pool.root.1 | 5698B9B1-4721-5E46-B005-4DF8E66B5214 | ad:5bd12907 | 106.543 MB |     3558 |
| mc15_13TeV:DAOD_SUSY2.11084091._000018.pool.root.1 | A9834A85-8BD6-FE48-90A4-F48DA8033491 | ad:d4d0344d | 105.580 MB |     3559 |
| mc15_13TeV:DAOD_SUSY2.11084091._000019.pool.root.1 | 583C845F-842A-5C42-A559-4E3210A1BBE6 | ad:a856e5ce | 103.318 MB |     3502 |
| mc15_13TeV:DAOD_SUSY2.11084091._000020.pool.root.1 | 1F57ED60-7762-C74A-9052-816D812A6121 | ad:1e641b74 | 103.909 MB |     3502 |
| mc15_13TeV:DAOD_SUSY2.11084091._000021.pool.root.1 | 7523BD5A-05CD-9846-B217-8D2DE86C4636 | ad:dbf3ac15 | 725.166 MB |    24584 |
| mc15_13TeV:DAOD_SUSY2.11084091._000022.pool.root.1 | C03A715C-E7AB-6242-AA09-08D541D7DC88 | ad:a2853772 | 725.165 MB |    24646 |
| mc15_13TeV:DAOD_SUSY2.11084091._000023.pool.root.1 | 55C21A3A-81FC-1D46-93C4-D34D26481764 | ad:42970364 | 723.945 MB |    24677 |
| mc15_13TeV:DAOD_SUSY2.11084091._000024.pool.root.1 | 748D6F54-ADD8-CE42-801C-38BACA42AA57 | ad:efd54544 | 730.556 MB |    24874 |
| mc15_13TeV:DAOD_SUSY2.11084091._000025.pool.root.1 | 7966A226-5D32-4841-B616-E38665E15AC9 | ad:4e968cf6 | 733.427 MB |    24878 |
| mc15_13TeV:DAOD_SUSY2.11084091._000026.pool.root.1 | E12E2B4B-D58E-CD46-80E8-C0507BFBCB9C | ad:05923ecf | 733.944 MB |    24766 |
| mc15_13TeV:DAOD_SUSY2.11084091._000027.pool.root.1 | 83C3C10F-C5E2-2043-B091-AD5091CF10B8 | ad:b6c874a6 | 723.788 MB |    24476 |
| mc15_13TeV:DAOD_SUSY2.11084091._000028.pool.root.1 | A42CEDA2-74FB-3841-8A63-DE9C755CE0A0 | ad:4376b16e | 728.604 MB |    24784 |
| mc15_13TeV:DAOD_SUSY2.11084091._000029.pool.root.1 | D95A163F-BFBB-624A-B8EC-39EBBD11E9F0 | ad:2789f5f2 | 732.268 MB |    24786 |
| mc15_13TeV:DAOD_SUSY2.11084091._000030.pool.root.1 | CC4F572D-C9D8-8B41-9883-EC319FC705A8 | ad:ffc1e0b5 | 722.448 MB |    24729 |
| mc15_13TeV:DAOD_SUSY2.11084091._000031.pool.root.1 | B7214B5D-6457-414E-826C-A55E28B759BC | ad:ab5434dc | 720.231 MB |    24615 |
| mc15_13TeV:DAOD_SUSY2.11084091._000032.pool.root.1 | 4965652F-4F90-0D4A-8337-46081C660D8E | ad:85233cc4 | 729.091 MB |    24715 |
| mc15_13TeV:DAOD_SUSY2.11084091._000033.pool.root.1 | 7C603B55-9918-2D46-8355-5C2CCBAF01B9 | ad:f8d192de | 723.749 MB |    24639 |
| mc15_13TeV:DAOD_SUSY2.11084091._000034.pool.root.1 | 1A1F7692-4B67-BD4B-9FA8-6B7C0D0BFADD | ad:1a1947c0 | 723.373 MB |    24656 |
| mc15_13TeV:DAOD_SUSY2.11084091._000035.pool.root.1 | DCC8E3E4-8DAB-5546-B57B-DA4780A585DB | ad:398b3b55 | 721.410 MB |    24620 |
| mc15_13TeV:DAOD_SUSY2.11084091._000036.pool.root.1 | E6BE167B-7E58-3C45-B5B1-66E327700BCE | ad:a65410a1 | 718.499 MB |    24398 |
| mc15_13TeV:DAOD_SUSY2.11084091._000037.pool.root.1 | 7EA56A74-2A97-784D-83D2-51DCEC64C71B | ad:db7fa754 | 725.476 MB |    24774 |
| mc15_13TeV:DAOD_SUSY2.11084091._000038.pool.root.1 | 2DB91CCB-8961-E84E-B5CF-267880F8D968 | ad:a65989ea | 723.200 MB |    24584 |
| mc15_13TeV:DAOD_SUSY2.11084091._000039.pool.root.1 | 6B3AAE30-AFA2-9543-A921-8CBC2082EDE5 | ad:d2f74104 | 719.316 MB |    24594 |
| mc15_13TeV:DAOD_SUSY2.11084091._000040.pool.root.1 | 5FA216B0-A486-1747-BACA-0F19974E7D86 | ad:f13a9448 | 716.921 MB |    24545 |
| mc15_13TeV:DAOD_SUSY2.11084091._000041.pool.root.1 | 1973A167-417F-1B49-970A-757CAFD89A41 | ad:3d741d03 | 718.390 MB |    24410 |
| mc15_13TeV:DAOD_SUSY2.11084091._000042.pool.root.1 | 01D08D9A-BE54-0940-9332-C64E7629D966 | ad:a3f1ce07 | 724.351 MB |    24565 |
| mc15_13TeV:DAOD_SUSY2.11084091._000043.pool.root.1 | C9A5DFDA-33AA-A04F-A395-58F3CB297BEA | ad:8918ffa8 | 724.651 MB |    24591 |
| mc15_13TeV:DAOD_SUSY2.11084091._000044.pool.root.1 | 14CE2648-4854-D241-A4B4-CAFE43A30DA8 | ad:3d70420e | 734.127 MB |    24851 |
| mc15_13TeV:DAOD_SUSY2.11084091._000045.pool.root.1 | ADF7424D-7DA3-844B-B193-4FEDDEBD3216 | ad:11ab60f2 | 720.591 MB |    24681 |
| mc15_13TeV:DAOD_SUSY2.11084091._000046.pool.root.1 | FD0B2900-4CDE-B748-8F00-A6F7C18C106B | ad:51c61d37 | 721.151 MB |    24632 |
| mc15_13TeV:DAOD_SUSY2.11084091._000047.pool.root.1 | C7B8612C-C8F0-A248-831C-D3E9132A4E67 | ad:dd1d0915 | 723.106 MB |    24639 |
| mc15_13TeV:DAOD_SUSY2.11084091._000048.pool.root.1 | 43872ABE-844C-8949-B0E8-37E109B666D4 | ad:cebf3482 | 731.664 MB |    24631 |
| mc15_13TeV:DAOD_SUSY2.11084091._000049.pool.root.1 | 2FC9BD5F-D3D9-3C42-B493-D6EEAF0A8264 | ad:26b875bb | 728.792 MB |    24622 |
| mc15_13TeV:DAOD_SUSY2.11084091._000050.pool.root.1 | 996AD78E-3BA1-0244-AD15-9B4FE76ADEDB | ad:cb595ca8 | 734.914 MB |    24727 |
| mc15_13TeV:DAOD_SUSY2.11084091._000051.pool.root.1 | 02649498-B873-BA42-B1D4-1D30C14E3EE7 | ad:a121448d | 721.255 MB |    24409 |
| mc15_13TeV:DAOD_SUSY2.11084091._000052.pool.root.1 | 24538A41-893A-6D40-8244-5B04DFB169CE | ad:d4ecb3ad | 734.114 MB |    24619 |
| mc15_13TeV:DAOD_SUSY2.11084091._000053.pool.root.1 | E0E3A8EC-3D9B-954A-B50B-2DA2EBB77E30 | ad:a6c49e85 | 723.721 MB |    24608 |
| mc15_13TeV:DAOD_SUSY2.11084091._000054.pool.root.1 | 564CB7C5-3D63-8143-9602-C429C8421E61 | ad:97161324 | 726.970 MB |    24757 |
| mc15_13TeV:DAOD_SUSY2.11084091._000055.pool.root.1 | 137E48A8-0A44-134E-AA5A-48FA2A97799D | ad:e798abc7 | 729.388 MB |    24641 |
| mc15_13TeV:DAOD_SUSY2.11084091._000056.pool.root.1 | C7B471AE-16DB-0F48-8DB1-0066ADE2D6A2 | ad:eb263026 | 716.405 MB |    24519 |
| mc15_13TeV:DAOD_SUSY2.11084091._000057.pool.root.1 | 7083E1C6-A9C3-D943-B5BA-AAFA503EA380 | ad:3e31c976 | 719.507 MB |    24555 |
| mc15_13TeV:DAOD_SUSY2.11084091._000058.pool.root.1 | 5901A900-FA62-7241-A640-3BD49CACDE95 | ad:93428049 | 727.958 MB |    24723 |
| mc15_13TeV:DAOD_SUSY2.11084091._000059.pool.root.1 | BC0224AD-8651-4C46-BED9-C9B756B55F51 | ad:c67c53c0 | 725.332 MB |    24685 |
| mc15_13TeV:DAOD_SUSY2.11084091._000060.pool.root.1 | 162D7B11-013F-A84B-9F33-26D363791204 | ad:ba6a4f25 | 724.531 MB |    24733 |
| mc15_13TeV:DAOD_SUSY2.11084091._000061.pool.root.1 | EF3E9F89-0101-8F4B-B7B7-90538C62434E | ad:69c8df1b | 729.521 MB |    24613 |
| mc15_13TeV:DAOD_SUSY2.11084091._000062.pool.root.1 | 0C0793BC-23F0-9D42-8B9C-D8F6A96459CA | ad:336d5f44 | 718.756 MB |    24379 |
| mc15_13TeV:DAOD_SUSY2.11084091._000063.pool.root.1 | 3E59875D-1E03-404D-ACDB-154F31DB02C5 | ad:7afc9a1c | 725.843 MB |    24455 |
| mc15_13TeV:DAOD_SUSY2.11084091._000064.pool.root.1 | 9B2B04C8-8A37-C744-8E18-048F2840DABC | ad:6f4477f8 | 733.532 MB |    24926 |
| mc15_13TeV:DAOD_SUSY2.11084091._000065.pool.root.1 | 71E680F8-BDB1-994C-92CB-C362EC6011EF | ad:6dbe293e | 718.295 MB |    24597 |
| mc15_13TeV:DAOD_SUSY2.11084091._000066.pool.root.1 | 904A29EA-BDF6-BC42-8924-FDB66B822FC7 | ad:f4e004e3 | 726.985 MB |    24736 |
| mc15_13TeV:DAOD_SUSY2.11084091._000067.pool.root.1 | AFBFC5B5-CBF4-BB42-8C32-B0D7173045E2 | ad:44f0fd34 | 721.948 MB |    24666 |
| mc15_13TeV:DAOD_SUSY2.11084091._000068.pool.root.1 | 02952A05-98FB-9148-81BC-6E224E750EC3 | ad:bd5ed02e | 719.254 MB |    24689 |
| mc15_13TeV:DAOD_SUSY2.11084091._000069.pool.root.1 | 428F768B-350B-AE48-9E50-7A0B3C432B44 | ad:6bebd456 | 716.367 MB |    24538 |
| mc15_13TeV:DAOD_SUSY2.11084091._000070.pool.root.1 | C458EC8D-31C9-5745-B7B6-4141F1A7964E | ad:adc00886 | 724.253 MB |    24756 |
| mc15_13TeV:DAOD_SUSY2.11084091._000071.pool.root.1 | EFC71D5A-BC7B-8D46-B875-C307CD07089F | ad:926d1a35 | 719.933 MB |    24607 |
| mc15_13TeV:DAOD_SUSY2.11084091._000072.pool.root.1 | B83F9B49-4307-DE41-9A62-D05C6EC45EF2 | ad:c811e538 | 729.538 MB |    24632 |
| mc15_13TeV:DAOD_SUSY2.11084091._000073.pool.root.1 | 3A45EA8F-F68D-7246-84B6-72EA7C55E325 | ad:c1a5105f | 733.157 MB |    24722 |
| mc15_13TeV:DAOD_SUSY2.11084091._000074.pool.root.1 | 981338D5-C17D-404D-B30C-757A21CB813A | ad:c1755304 | 729.545 MB |    24576 |
| mc15_13TeV:DAOD_SUSY2.11084091._000075.pool.root.1 | B64A61AC-F6FE-6747-810D-EA241D89AE25 | ad:622f440a | 725.037 MB |    24676 |
| mc15_13TeV:DAOD_SUSY2.11084091._000076.pool.root.1 | 6F670C48-AF4A-694A-AAEF-2B0D84BF654A | ad:211796fa | 730.510 MB |    24806 |
| mc15_13TeV:DAOD_SUSY2.11084091._000077.pool.root.1 | 44D1E0E2-2D04-1648-89E4-6513CBF1112A | ad:624fdfa8 | 741.461 MB |    24922 |
| mc15_13TeV:DAOD_SUSY2.11084091._000078.pool.root.1 | F2B6AB69-6CDF-E848-935E-51283AEF2B36 | ad:db10ffa1 | 729.104 MB |    24729 |
| mc15_13TeV:DAOD_SUSY2.11084091._000079.pool.root.1 | 7F7E7724-1516-5C41-AE87-B938AD5C2E26 | ad:32d982e7 | 729.225 MB |    24817 |
