+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11083991._000011.pool.root.1 | 381F20CB-C930-4A40-8CCD-ACA0360DEFE0 | ad:7a589e61 | 195.940 MB |     6471 |
| mc15_13TeV:DAOD_SUSY2.11083991._000012.pool.root.1 | 79911471-3DED-E049-A3E4-2A85BFF4F1C6 | ad:da29b2c1 | 197.491 MB |     6483 |
| mc15_13TeV:DAOD_SUSY2.11083991._000013.pool.root.1 | AC80E420-92C5-7D4F-9CF7-F90AF2D499AF | ad:148413c1 | 198.873 MB |     6537 |
| mc15_13TeV:DAOD_SUSY2.11083991._000014.pool.root.1 | 63E71C5E-255A-254A-8535-ACC84D8DF7F0 | ad:da973da2 | 199.794 MB |     6566 |
| mc15_13TeV:DAOD_SUSY2.11083991._000015.pool.root.1 | B51862D2-374C-3945-A338-2FF769B682CC | ad:09809ea0 | 199.210 MB |     6587 |
| mc15_13TeV:DAOD_SUSY2.11083991._000016.pool.root.1 | 9AB22EEF-787C-AA40-A855-8C4074DFE07B | ad:b72c6726 | 201.470 MB |     6655 |
| mc15_13TeV:DAOD_SUSY2.11083991._000017.pool.root.1 | 68ED5E8E-F2B0-BE48-B7EB-4A14C9D1F848 | ad:33cac744 | 200.002 MB |     6537 |
| mc15_13TeV:DAOD_SUSY2.11083991._000018.pool.root.1 | 1AFD7DE3-3443-1242-8661-C354AAA3769F | ad:48bcc6f0 | 199.162 MB |     6557 |
| mc15_13TeV:DAOD_SUSY2.11083991._000019.pool.root.1 | FB0F5995-53DB-454A-9A4A-0CCEEE0BD735 | ad:41fc1483 | 200.846 MB |     6588 |
| mc15_13TeV:DAOD_SUSY2.11083991._000020.pool.root.1 | 79DCACED-BDD9-3E49-BD58-D9077F36050A | ad:b06c240c | 198.515 MB |     6548 |
| mc15_13TeV:DAOD_SUSY2.11083991._000021.pool.root.1 | 6C679686-E4BF-3741-B74D-F6F7A1A5B628 | ad:eafda6a2 | 1.192 GB   |    39385 |
| mc15_13TeV:DAOD_SUSY2.11083991._000022.pool.root.1 | 8426F7C5-309A-6C4F-AE25-8D85060D5254 | ad:9c2dc71a | 1.189 GB   |    39397 |
| mc15_13TeV:DAOD_SUSY2.11083991._000023.pool.root.1 | B0F6B369-5AA8-7A4B-8DC5-2ADDF268639B | ad:616317be | 1.190 GB   |    39387 |
| mc15_13TeV:DAOD_SUSY2.11083991._000024.pool.root.1 | 539C5801-34F3-154E-A157-A518075E54A1 | ad:7b756404 | 1.191 GB   |    39302 |
| mc15_13TeV:DAOD_SUSY2.11083991._000025.pool.root.1 | 64BE9687-9DD5-3743-8986-180B1059B9D5 | ad:4ba1188c | 1.189 GB   |    39243 |
| mc15_13TeV:DAOD_SUSY2.11083991._000026.pool.root.1 | 1A5D4305-75FE-4B4C-A89B-98C6758F920C | ad:6df19517 | 1.184 GB   |    39092 |
| mc15_13TeV:DAOD_SUSY2.11083991._000027.pool.root.1 | 54B6270C-08B9-1A42-BF24-6CC5FD7EC135 | ad:8c98634c | 1.189 GB   |    39292 |
| mc15_13TeV:DAOD_SUSY2.11083991._000028.pool.root.1 | 99FE2BED-7FA4-2B45-9487-4C8FBEA21CAF | ad:d745d14a | 1.196 GB   |    39267 |
| mc15_13TeV:DAOD_SUSY2.11083991._000029.pool.root.1 | A66C3BE2-1E12-0C4E-B24F-5D343EFFF724 | ad:1fdffa56 | 1.186 GB   |    39375 |
| mc15_13TeV:DAOD_SUSY2.11083991._000030.pool.root.1 | 64A53004-EC7E-D24E-9DFC-A0FBFAF20412 | ad:7bb4fe63 | 1.185 GB   |    39277 |
| mc15_13TeV:DAOD_SUSY2.11083991._000031.pool.root.1 | 5A9E4B31-2153-7D49-9A34-FC5BC1B43E5A | ad:29ca91e4 | 1.192 GB   |    39439 |
| mc15_13TeV:DAOD_SUSY2.11083991._000032.pool.root.1 | 381AD2F2-2121-2140-B753-F989F63B7E2C | ad:ad920db7 | 1.186 GB   |    39331 |
