+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11084106._000011.pool.root.1 | 7FAC69B4-401F-7640-BA7B-F69688490017 | ad:2203396b | 153.470 MB |     5360 |
| mc15_13TeV:DAOD_SUSY2.11084106._000012.pool.root.1 | F867895D-10C9-DB47-A469-66F4267CB034 | ad:7f547276 | 150.206 MB |     5231 |
| mc15_13TeV:DAOD_SUSY2.11084106._000013.pool.root.1 | 2B42282D-7342-A84C-85B8-86DFEE7FD8D2 | ad:a7f32078 | 150.032 MB |     5236 |
| mc15_13TeV:DAOD_SUSY2.11084106._000014.pool.root.1 | A4A1C41D-9B55-D448-BAD9-E0DF309E2B57 | ad:e5fe32a2 | 152.303 MB |     5278 |
| mc15_13TeV:DAOD_SUSY2.11084106._000015.pool.root.1 | 2276C193-25FC-DE42-B2E2-80ED6164E17E | ad:1aa44369 | 151.916 MB |     5246 |
| mc15_13TeV:DAOD_SUSY2.11084106._000016.pool.root.1 | D0A77D9C-CA98-C24E-B384-2BA40D303486 | ad:1e8e8ace | 150.444 MB |     5231 |
| mc15_13TeV:DAOD_SUSY2.11084106._000017.pool.root.1 | 4C38636F-9D62-E64D-AF93-E3525790B293 | ad:cc664755 | 153.619 MB |     5334 |
| mc15_13TeV:DAOD_SUSY2.11084106._000018.pool.root.1 | 1D4D6B19-4472-344E-BB7F-9C0F74639565 | ad:a346cd42 | 150.381 MB |     5273 |
| mc15_13TeV:DAOD_SUSY2.11084106._000019.pool.root.1 | AA8CDA67-F3D2-F74D-BB21-9A8AF0468CDA | ad:8d746c67 | 150.220 MB |     5252 |
| mc15_13TeV:DAOD_SUSY2.11084106._000020.pool.root.1 | E2D24AB8-4C04-5E4A-B1EE-64CC6B5FAC28 | ad:d685fd1e | 151.723 MB |     5260 |
| mc15_13TeV:DAOD_SUSY2.11084106._000021.pool.root.1 | C35837BC-F759-814D-A608-35465D450125 | ad:7b037d66 | 1.049 GB   |    37084 |
| mc15_13TeV:DAOD_SUSY2.11084106._000022.pool.root.1 | A8415D8A-2678-5A49-AFBE-C88462BD7775 | ad:3f3d380a | 1.056 GB   |    36949 |
| mc15_13TeV:DAOD_SUSY2.11084106._000023.pool.root.1 | 889AC64E-A4E9-FF4B-B2EC-3224304BF80F | ad:9c5b8c95 | 900.802 MB |    31574 |
| mc15_13TeV:DAOD_SUSY2.11084106._000024.pool.root.1 | 8B5E7A1C-79B2-AF4B-B6D6-2AC3449E0BC7 | ad:044e6ff5 | 1.061 GB   |    36935 |
| mc15_13TeV:DAOD_SUSY2.11084106._000025.pool.root.1 | 917DA2A4-EABF-8A4B-B1A1-3C6BFD3B47BE | ad:26856131 | 1.061 GB   |    37001 |
| mc15_13TeV:DAOD_SUSY2.11084106._000026.pool.root.1 | 56BD881A-EBB8-5449-97A8-B91DAE0A52A9 | ad:9a765902 | 1.047 GB   |    36886 |
| mc15_13TeV:DAOD_SUSY2.11084106._000027.pool.root.1 | 6A300AA9-3352-1745-97EE-81D56CA7A0DF | ad:56513933 | 1.051 GB   |    36928 |
| mc15_13TeV:DAOD_SUSY2.11084106._000028.pool.root.1 | 2B738087-EEB5-2546-9244-4581FB075FCB | ad:e9cef101 | 1.058 GB   |    36830 |
| mc15_13TeV:DAOD_SUSY2.11084106._000029.pool.root.1 | 3AF21CD3-188B-524E-9BFB-0E3715073EB2 | ad:23c721e6 | 1.050 GB   |    36838 |
| mc15_13TeV:DAOD_SUSY2.11084106._000030.pool.root.1 | CEEFCF45-A1E1-6846-943F-C2056031E4A9 | ad:479853c0 | 911.232 MB |    31763 |
| mc15_13TeV:DAOD_SUSY2.11084106._000031.pool.root.1 | C74CDF3B-E3FA-A44D-8E1C-239A44D115C1 | ad:6a1b1946 | 1.045 GB   |    36888 |
| mc15_13TeV:DAOD_SUSY2.11084106._000032.pool.root.1 | 4C2CBE12-FBF3-A74B-904C-718F776D95DF | ad:fdb2ba49 | 896.803 MB |    31440 |
| mc15_13TeV:DAOD_SUSY2.11084106._000033.pool.root.1 | D6E43062-4CD2-8F46-9D42-677FCB1E4E1F | ad:480abb47 | 908.831 MB |    31683 |
| mc15_13TeV:DAOD_SUSY2.11084106._000034.pool.root.1 | E3BC06B6-FF20-8147-9DDD-B3A77042727E | ad:c672916a | 1.048 GB   |    36843 |
| mc15_13TeV:DAOD_SUSY2.11084106._000035.pool.root.1 | 88510902-4717-004D-89B5-C654BB351B83 | ad:29631bef | 1.055 GB   |    37206 |
| mc15_13TeV:DAOD_SUSY2.11084106._000036.pool.root.1 | 4639CB57-E1EE-B94E-8852-04AC587CA6D5 | ad:bb2625ae | 1.055 GB   |    36765 |
| mc15_13TeV:DAOD_SUSY2.11084106._000037.pool.root.1 | 75F2A1B3-D78A-5B43-822C-75B4E082598C | ad:59042088 | 900.796 MB |    31643 |
| mc15_13TeV:DAOD_SUSY2.11084106._000038.pool.root.1 | 922EA49B-C2EC-AA4E-A9D7-E6508234D795 | ad:a50f34bf | 906.353 MB |    31686 |
| mc15_13TeV:DAOD_SUSY2.11084106._000039.pool.root.1 | BC4E8EB1-3A14-0C4A-A482-97C384F34BD5 | ad:ca192103 | 1.059 GB   |    36992 |
| mc15_13TeV:DAOD_SUSY2.11084106._000040.pool.root.1 | 26108ADC-A7E8-D748-B770-ED1A9CFEB1F9 | ad:1802c1a6 | 1.056 GB   |    36895 |
| mc15_13TeV:DAOD_SUSY2.11084106._000041.pool.root.1 | 4A8CD78C-07CA-EA42-9B89-CE4D2B8E7AE9 | ad:20fbd9ba | 1.047 GB   |    36670 |
| mc15_13TeV:DAOD_SUSY2.11084106._000042.pool.root.1 | 34FD5546-F4D9-544E-9E27-89E6CC129635 | ad:039a2e49 | 1.052 GB   |    37112 |
| mc15_13TeV:DAOD_SUSY2.11084106._000043.pool.root.1 | 3A52AA9D-A49F-1C49-BBAF-D00CCCE944EF | ad:c6af4e63 | 1.049 GB   |    36850 |
