+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11084046._000011.pool.root.1 | 249C8916-D85A-C043-8E60-A70274A3170A | ad:3f878394 | 184.581 MB |     6069 |
| mc15_13TeV:DAOD_SUSY2.11084046._000012.pool.root.1 | 1B04C5B8-EB37-0445-9F26-BC5377CF5BE4 | ad:d11de57d | 185.486 MB |     6063 |
| mc15_13TeV:DAOD_SUSY2.11084046._000013.pool.root.1 | 25EB06CF-B289-9141-8914-7F761619976A | ad:8ecf85e7 | 183.399 MB |     6056 |
| mc15_13TeV:DAOD_SUSY2.11084046._000014.pool.root.1 | 814D3FE5-8689-1843-997D-D5423CBA919B | ad:bddf54a6 | 188.818 MB |     6147 |
| mc15_13TeV:DAOD_SUSY2.11084046._000015.pool.root.1 | D6781F59-6954-7346-BE20-287CF6E7482B | ad:9b9ecabc | 180.662 MB |     5985 |
| mc15_13TeV:DAOD_SUSY2.11084046._000016.pool.root.1 | 719F90B5-7266-8D49-8F82-26A072BCF679 | ad:631504eb | 179.418 MB |     5924 |
| mc15_13TeV:DAOD_SUSY2.11084046._000017.pool.root.1 | C5677950-B879-FE45-BEEC-5C865E1704A3 | ad:402ac299 | 185.853 MB |     6056 |
| mc15_13TeV:DAOD_SUSY2.11084046._000018.pool.root.1 | BBD9DDCD-BEDA-5F4B-85E2-DE40605E5F12 | ad:f0652775 | 184.093 MB |     6056 |
| mc15_13TeV:DAOD_SUSY2.11084046._000019.pool.root.1 | 8BD97DC7-4847-9642-A5DE-92602D060259 | ad:1dc21a4e | 183.404 MB |     5999 |
| mc15_13TeV:DAOD_SUSY2.11084046._000020.pool.root.1 | 74F805E8-4A31-4A46-9392-3AF8DF13A2AD | ad:f8dfa225 | 183.947 MB |     6037 |
| mc15_13TeV:DAOD_SUSY2.11084046._000021.pool.root.1 | FCCBCDAD-487B-E146-BA04-356ECAE8026D | ad:d3777a90 | 1.094 GB   |    36182 |
| mc15_13TeV:DAOD_SUSY2.11084046._000022.pool.root.1 | 24ED8BD8-D9EE-6745-AF4E-9F530728DA5F | ad:03d153cd | 1.095 GB   |    36036 |
| mc15_13TeV:DAOD_SUSY2.11084046._000024.pool.root.1 | 365C8CF9-961B-4D4C-80B0-AA01297D5CBE | ad:89664bc3 | 1.109 GB   |    36248 |
| mc15_13TeV:DAOD_SUSY2.11084046._000025.pool.root.1 | 83EF98B0-D9AF-D34A-9341-0F4DFA315D1A | ad:8102f74e | 1.099 GB   |    36140 |
| mc15_13TeV:DAOD_SUSY2.11084046._000026.pool.root.1 | 4D4B73A4-DC1D-E544-8B7F-B341F105FEC6 | ad:36eef659 | 1.101 GB   |    36146 |
| mc15_13TeV:DAOD_SUSY2.11084046._000027.pool.root.1 | C147111C-DA75-1443-A7CC-19A71EA68854 | ad:4bed9aab | 1.102 GB   |    36209 |
| mc15_13TeV:DAOD_SUSY2.11084046._000028.pool.root.1 | A1118A91-9C27-C94A-85AB-5962E3144E62 | ad:197ee57d | 1.101 GB   |    36497 |
| mc15_13TeV:DAOD_SUSY2.11084046._000029.pool.root.1 | 2A4F2E6B-5168-324B-9437-E40037328489 | ad:cc572df3 | 1.104 GB   |    36377 |
| mc15_13TeV:DAOD_SUSY2.11084046._000030.pool.root.1 | C3495E0A-78BC-B548-846E-24B43F317152 | ad:a6fd925c | 1.095 GB   |    36280 |
| mc15_13TeV:DAOD_SUSY2.11084046._000031.pool.root.1 | 1B3B923B-2E4B-CE42-B993-D3E2A4E77F06 | ad:05d80783 | 1.101 GB   |    36244 |
| mc15_13TeV:DAOD_SUSY2.11084046._000032.pool.root.1 | B4BDEE8B-41E8-D44B-9D07-BCDEE3E453A4 | ad:dc189bbf | 1.096 GB   |    36403 |
| mc15_13TeV:DAOD_SUSY2.11084046._000037.pool.root.1 | 582C1D67-28A0-2B4E-8035-AFA3D18E377F | ad:ef621804 | 1.098 GB   |    36187 |
| mc15_13TeV:DAOD_SUSY2.11084046._000038.pool.root.1 | 6D70546A-7E67-7E49-AEA6-171E104E1F01 | ad:2acea510 | 1.108 GB   |    36273 |
