+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11084972._000011.pool.root.1 | 28A34661-D381-A74A-9DCE-618122BEAB70 | ad:9b22f067 | 196.526 MB |     5926 |
| mc15_13TeV:DAOD_SUSY2.11084972._000012.pool.root.1 | 685F76D4-2910-F048-A78E-5B5B3C4BBB1B | ad:55bd4efd | 192.853 MB |     5904 |
| mc15_13TeV:DAOD_SUSY2.11084972._000013.pool.root.1 | C579EE15-9597-354A-AA64-95F66A732D4A | ad:353d976c | 196.759 MB |     5994 |
| mc15_13TeV:DAOD_SUSY2.11084972._000014.pool.root.1 | A21A7A57-86D2-C94E-8145-160974DB8B5A | ad:37ca661c | 191.117 MB |     5900 |
| mc15_13TeV:DAOD_SUSY2.11084972._000015.pool.root.1 | 8743A91B-0F05-CF47-9791-2BCADF934B14 | ad:3013dea7 | 196.620 MB |     5970 |
| mc15_13TeV:DAOD_SUSY2.11084972._000016.pool.root.1 | 13D0BC5C-4EC3-424C-A096-8BA3C55FAD82 | ad:490870cf | 197.078 MB |     6014 |
| mc15_13TeV:DAOD_SUSY2.11084972._000017.pool.root.1 | 631984F9-48D0-FE4D-A359-3E0A9564856D | ad:e06314a0 | 197.427 MB |     6017 |
| mc15_13TeV:DAOD_SUSY2.11084972._000018.pool.root.1 | D2835DEF-0E64-DC43-B8A5-0C9190D8979D | ad:cfed4997 | 188.174 MB |     5676 |
| mc15_13TeV:DAOD_SUSY2.11084972._000019.pool.root.1 | 6EED8BBF-11A1-4444-86F8-3725D852C5C5 | ad:c54a078a | 196.573 MB |     5967 |
| mc15_13TeV:DAOD_SUSY2.11084972._000020.pool.root.1 | 51B3AE45-7250-3D46-8FA9-2044824982DF | ad:803da4fe | 197.301 MB |     5981 |
| mc15_13TeV:DAOD_SUSY2.11084972._000021.pool.root.1 | 0F8992BD-68CE-744B-B8AE-CD2F72548DB6 | ad:a1342408 | 972.493 MB |    29820 |
| mc15_13TeV:DAOD_SUSY2.11084972._000022.pool.root.1 | CCE673D8-D8E3-A14D-BF22-F3271787C956 | ad:30ed076a | 978.720 MB |    29956 |
| mc15_13TeV:DAOD_SUSY2.11084972._000023.pool.root.1 | 37646066-53EF-A741-A761-761B81778AFB | ad:cb1d1e3b | 978.405 MB |    29939 |
| mc15_13TeV:DAOD_SUSY2.11084972._000024.pool.root.1 | A38693A6-3903-3D47-9A86-1E5ECB4DCB17 | ad:d4d78045 | 986.663 MB |    30019 |
| mc15_13TeV:DAOD_SUSY2.11084972._000025.pool.root.1 | 3E28BE08-A0F2-834B-BA17-C68617F20A53 | ad:6488d967 | 982.855 MB |    30021 |
| mc15_13TeV:DAOD_SUSY2.11084972._000026.pool.root.1 | B5B4AFDC-E7DF-234A-9A5B-B4B19460D5EF | ad:ba61e2a0 | 990.242 MB |    30188 |
