+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11084637._000011.pool.root.1 | A97A15A6-81E8-9F45-97A5-327CFB48A9C7 | ad:98c76c09 | 272.223 MB |     6434 |
| mc15_13TeV:DAOD_SUSY2.11084637._000012.pool.root.1 | DC1AA3B3-8452-0A4D-9D50-C41D8D95E23E | ad:91bad438 | 275.344 MB |     6527 |
| mc15_13TeV:DAOD_SUSY2.11084637._000013.pool.root.1 | 17D263D3-38A5-3445-B7A0-726DE2B0D37F | ad:6be00d99 | 278.494 MB |     6620 |
| mc15_13TeV:DAOD_SUSY2.11084637._000014.pool.root.1 | 55F05928-9EF7-9244-821D-CE1814A19F96 | ad:a8b28cda | 278.220 MB |     6540 |
| mc15_13TeV:DAOD_SUSY2.11084637._000015.pool.root.1 | 172D98A1-FC13-8D41-AFA0-34FCCFB05606 | ad:da674d6a | 272.752 MB |     6461 |
| mc15_13TeV:DAOD_SUSY2.11084637._000016.pool.root.1 | 924AB9C9-E7C6-EC40-ACB8-5A935866A29C | ad:38229b8f | 278.893 MB |     6612 |
| mc15_13TeV:DAOD_SUSY2.11084637._000017.pool.root.1 | 12CCB05C-9489-7B4F-95FB-1F661FCC6483 | ad:f34510f3 | 271.527 MB |     6424 |
| mc15_13TeV:DAOD_SUSY2.11084637._000018.pool.root.1 | FB412DB6-825A-3D4C-A8F2-08DA6060C3BE | ad:fb6da48f | 277.729 MB |     6544 |
| mc15_13TeV:DAOD_SUSY2.11084637._000019.pool.root.1 | 8BCCFBA3-1B20-2444-A4EE-4966A748D8F9 | ad:5634acb2 | 275.370 MB |     6501 |
| mc15_13TeV:DAOD_SUSY2.11084637._000020.pool.root.1 | E7981A53-C98C-334D-BEF1-EF815C3C36D0 | ad:7bd667bb | 272.699 MB |     6477 |
| mc15_13TeV:DAOD_SUSY2.11084637._000021.pool.root.1 | C922C316-119E-774A-A445-658406B3D06C | ad:4d4baaeb | 1.095 GB   |    26122 |
| mc15_13TeV:DAOD_SUSY2.11084637._000022.pool.root.1 | 40F5FB58-79F2-B741-A1FF-1191B048100A | ad:179c8b31 | 1.102 GB   |    26156 |
| mc15_13TeV:DAOD_SUSY2.11084637._000023.pool.root.1 | 4BFB19C4-6C43-6A4A-90C3-9612CF1D445A | ad:7a613595 | 1.099 GB   |    26083 |
| mc15_13TeV:DAOD_SUSY2.11084637._000024.pool.root.1 | 90085A4C-16D1-7F4E-9470-5817F7514D8E | ad:f1657dac | 1.090 GB   |    26002 |
| mc15_13TeV:DAOD_SUSY2.11084637._000025.pool.root.1 | FD88C118-BC7A-874A-A3AE-D69BC8E50393 | ad:31622235 | 1.093 GB   |    25967 |
| mc15_13TeV:DAOD_SUSY2.11084637._000026.pool.root.1 | 9685BE85-A9C0-4447-8313-77954A9E0E2A | ad:9b3a5d1e | 1.099 GB   |    26006 |
