+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11084355._000011.pool.root.1 | D60FFAD1-5489-1A40-AFCE-A4E0888A0574 | ad:0228e7ed | 21.077 MB  |      566 |
| mc15_13TeV:DAOD_SUSY2.11084355._000012.pool.root.1 | 2B34FE5E-A578-3C44-8027-334B579C5E28 | ad:91b07093 | 23.347 MB  |      622 |
| mc15_13TeV:DAOD_SUSY2.11084355._000013.pool.root.1 | 2DBB2016-7036-2449-A0CD-DD5C802D53A6 | ad:0f1d51ca | 22.113 MB  |      589 |
| mc15_13TeV:DAOD_SUSY2.11084355._000014.pool.root.1 | 6DE210C5-12ED-CA4E-AD6E-4CB270081033 | ad:6c0097ba | 20.804 MB  |      554 |
| mc15_13TeV:DAOD_SUSY2.11084355._000015.pool.root.1 | B6693624-3449-3840-9DDE-33CDFFC2397F | ad:c78b1359 | 21.992 MB  |      594 |
| mc15_13TeV:DAOD_SUSY2.11084355._000016.pool.root.1 | EF92FF29-7008-D74C-9009-BD73D4EA5481 | ad:fe637129 | 23.117 MB  |      621 |
| mc15_13TeV:DAOD_SUSY2.11084355._000017.pool.root.1 | E90E014B-0E54-484D-9F41-C84F48BA18C5 | ad:4518f577 | 22.965 MB  |      619 |
| mc15_13TeV:DAOD_SUSY2.11084355._000018.pool.root.1 | DC3CD942-C5A6-084B-AD88-337F84EB287E | ad:2e671900 | 21.908 MB  |      590 |
| mc15_13TeV:DAOD_SUSY2.11084355._000019.pool.root.1 | C07E65CD-EC49-F147-88DE-4357A93D5E8B | ad:8b7dc812 | 20.949 MB  |      560 |
| mc15_13TeV:DAOD_SUSY2.11084355._000020.pool.root.1 | 954EC190-F354-1F4E-896B-D94723ABC5F1 | ad:569108a9 | 23.037 MB  |      613 |
| mc15_13TeV:DAOD_SUSY2.11084355._000021.pool.root.1 | E3C7A8CA-1D78-7147-891A-1AD7D00A1611 | ad:0d4c2df2 | 108.179 MB |     2976 |
| mc15_13TeV:DAOD_SUSY2.11084355._000022.pool.root.1 | 4896BD7F-80B9-5F4A-9136-F8FCAAC507B8 | ad:272e1280 | 105.951 MB |     2948 |
| mc15_13TeV:DAOD_SUSY2.11084355._000023.pool.root.1 | F0B7957C-127C-7044-A2E3-B5C43AF57177 | ad:2c07f7ae | 103.892 MB |     2911 |
| mc15_13TeV:DAOD_SUSY2.11084355._000024.pool.root.1 | A20BB3EC-C200-AC40-A18E-74663EA67129 | ad:f4d2c145 | 106.321 MB |     2967 |
| mc15_13TeV:DAOD_SUSY2.11084355._000025.pool.root.1 | 373CE743-4D2A-0645-A95F-60A736701735 | ad:c3699f1e | 105.303 MB |     2950 |
| mc15_13TeV:DAOD_SUSY2.11084355._000026.pool.root.1 | 3ACFD049-4665-9A4C-BA4F-2D5C0C133E03 | ad:c3499088 | 107.607 MB |     2979 |
| mc15_13TeV:DAOD_SUSY2.11084355._000027.pool.root.1 | 9919153C-E99A-914E-8DA1-BF723C061674 | ad:e819a3d2 | 105.623 MB |     2946 |
| mc15_13TeV:DAOD_SUSY2.11084355._000028.pool.root.1 | 1AE37A9C-AEE6-B149-B7D7-902A0FFB8A5B | ad:d7ec3ac8 | 106.031 MB |     2926 |
| mc15_13TeV:DAOD_SUSY2.11084355._000029.pool.root.1 | B7194892-B117-FA4D-846A-F0115386A574 | ad:f0d8ef00 | 105.479 MB |     2931 |
| mc15_13TeV:DAOD_SUSY2.11084355._000030.pool.root.1 | EAD313DC-215A-AB45-AA1A-5EF7375E7A13 | ad:a78a273f | 108.037 MB |     3009 |
