+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11084136._000011.pool.root.1 | 3AD0D8BD-18E6-BB44-AF35-172FC559AA91 | ad:844a99e5 | 34.383 MB  |      873 |
| mc15_13TeV:DAOD_SUSY2.11084136._000012.pool.root.1 | 07DBF9F3-80CA-2B43-A646-52D3C76C2B99 | ad:a028d000 | 36.617 MB  |      932 |
| mc15_13TeV:DAOD_SUSY2.11084136._000013.pool.root.1 | 22D72A24-6333-7143-8AD3-4FF1E9488B57 | ad:cf38f18a | 34.948 MB  |      897 |
| mc15_13TeV:DAOD_SUSY2.11084136._000014.pool.root.1 | 47977330-AFA9-2E41-9606-7D2BE417F3EF | ad:588612ff | 34.587 MB  |      876 |
| mc15_13TeV:DAOD_SUSY2.11084136._000015.pool.root.1 | 2240B0EE-21FC-8D4E-B489-DD5741E099B2 | ad:f57b6b88 | 34.792 MB  |      887 |
| mc15_13TeV:DAOD_SUSY2.11084136._000016.pool.root.1 | 72D60D9F-F338-4E40-B72D-7A97A0DE41B5 | ad:5dc1551d | 34.569 MB  |      869 |
| mc15_13TeV:DAOD_SUSY2.11084136._000017.pool.root.1 | 40963D9A-81E0-5F4A-A27B-E42969051B76 | ad:a3f6ba7e | 36.025 MB  |      906 |
| mc15_13TeV:DAOD_SUSY2.11084136._000018.pool.root.1 | 23C84540-70DB-0143-A407-6B982D793727 | ad:ec841959 | 35.458 MB  |      903 |
| mc15_13TeV:DAOD_SUSY2.11084136._000019.pool.root.1 | 60B96BD7-D564-C744-8482-1BDF59B9A5C2 | ad:06533a84 | 33.923 MB  |      859 |
| mc15_13TeV:DAOD_SUSY2.11084136._000020.pool.root.1 | 984DDB16-C8B3-0C4B-9C58-9FDCBC68C035 | ad:97e1ba56 | 34.290 MB  |      879 |
| mc15_13TeV:DAOD_SUSY2.11084136._000021.pool.root.1 | 012E7A01-AB5B-5044-8F46-DCB3A2412312 | ad:12a1cf8e | 137.895 MB |     3567 |
| mc15_13TeV:DAOD_SUSY2.11084136._000022.pool.root.1 | 037F5726-2EB1-9140-95B3-6C941699EBA0 | ad:b4095ef6 | 135.341 MB |     3519 |
| mc15_13TeV:DAOD_SUSY2.11084136._000023.pool.root.1 | 8B8528DB-49E1-8D46-A2DE-0ABBE3BAEE65 | ad:d9e81e9c | 136.952 MB |     3556 |
| mc15_13TeV:DAOD_SUSY2.11084136._000024.pool.root.1 | DA9569C8-6889-314D-94F0-788502FA2C73 | ad:fd30d0bd | 140.410 MB |     3653 |
| mc15_13TeV:DAOD_SUSY2.11084136._000025.pool.root.1 | 760B125A-44E1-4E44-B1BC-CB27675FA325 | ad:31c8c683 | 136.323 MB |     3547 |
| mc15_13TeV:DAOD_SUSY2.11084136._000026.pool.root.1 | 52BD3B4E-7EFD-2749-928B-3D25DA2AD8B9 | ad:00462187 | 134.937 MB |     3503 |
| mc15_13TeV:DAOD_SUSY2.11084136._000027.pool.root.1 | 6BDE22C0-C1D3-4A40-BC54-2361F1911EA3 | ad:d1e4836d | 136.078 MB |     3540 |
| mc15_13TeV:DAOD_SUSY2.11084136._000028.pool.root.1 | 45B45F22-1877-F14D-AE5A-BB56A038289E | ad:a3d71204 | 133.943 MB |     3489 |
| mc15_13TeV:DAOD_SUSY2.11084136._000029.pool.root.1 | 204F2B2C-CC74-D64A-A29E-9A60442FF434 | ad:84ea4a34 | 131.176 MB |     3416 |
| mc15_13TeV:DAOD_SUSY2.11084136._000030.pool.root.1 | 470174EA-9867-8F46-84DD-0792B7240B34 | ad:2253a388 | 137.838 MB |     3587 |
| mc15_13TeV:DAOD_SUSY2.11084136._000031.pool.root.1 | E296908D-BF38-0E48-ADD1-BBDC8C6BDF92 | ad:36ed01b0 | 136.348 MB |     3526 |
| mc15_13TeV:DAOD_SUSY2.11084136._000032.pool.root.1 | F979A1CC-E1C6-BC40-8B31-62070909ABC2 | ad:e20d9d54 | 132.892 MB |     3425 |
| mc15_13TeV:DAOD_SUSY2.11084136._000033.pool.root.1 | 3AB762EE-192D-124A-98AB-3F5C7F78DB3F | ad:eefeb141 | 134.815 MB |     3493 |
| mc15_13TeV:DAOD_SUSY2.11084136._000034.pool.root.1 | C98FEA88-7B53-C34E-AEFC-411AFBCE9D3A | ad:d5166741 | 134.871 MB |     3509 |
| mc15_13TeV:DAOD_SUSY2.11084136._000035.pool.root.1 | 76EAAE24-431F-7343-940A-B5A1C40A6DF0 | ad:517298ee | 133.527 MB |     3487 |
| mc15_13TeV:DAOD_SUSY2.11084136._000036.pool.root.1 | BA486D29-4523-AE40-8B0F-CD4E4F1EE925 | ad:b4bb972d | 135.899 MB |     3521 |
| mc15_13TeV:DAOD_SUSY2.11084136._000037.pool.root.1 | 5E2C46A0-49BC-A346-9B09-D1F17126B6B1 | ad:c6dff415 | 138.592 MB |     3599 |
