+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134283._000001.pool.root.1 | E3DA62F9-0BC5-B34F-84BD-BC9187B0CD92 | ad:55671a9b | 3.243 MB   |       94 |
| mc15_13TeV:DAOD_SUSY2.11134283._000002.pool.root.1 | 3ACB0CED-DE60-C94B-ADFF-332E127700F9 | ad:d4cc8bac | 3.078 MB   |       87 |
| mc15_13TeV:DAOD_SUSY2.11134283._000003.pool.root.1 | A47720E8-FD1B-164A-842C-1A57D4192BA8 | ad:45fb83dd | 2.337 MB   |       59 |
| mc15_13TeV:DAOD_SUSY2.11134283._000004.pool.root.1 | 26A6A3FE-EC1B-154F-A0E7-A2A5843EFF89 | ad:1e2d60ad | 3.402 MB   |       95 |
| mc15_13TeV:DAOD_SUSY2.11134283._000005.pool.root.1 | DDCBEBC7-B689-5841-8EE5-305593F54293 | ad:fdfa91db | 2.319 MB   |       60 |
| mc15_13TeV:DAOD_SUSY2.11134283._000006.pool.root.1 | BD95FD80-BAD6-764E-9FD4-D801B84C1BBE | ad:dc44aaf0 | 2.721 MB   |       76 |
| mc15_13TeV:DAOD_SUSY2.11134283._000007.pool.root.1 | BC247145-084E-A74C-8BA5-39EA47A6EA6B | ad:e0953ba4 | 2.790 MB   |       79 |
| mc15_13TeV:DAOD_SUSY2.11134283._000008.pool.root.1 | 979D768F-F18A-0341-8454-77101AC6DC51 | ad:39da3b8b | 2.940 MB   |       81 |
| mc15_13TeV:DAOD_SUSY2.11134283._000009.pool.root.1 | BB089809-9714-6A4B-8224-D9D37E06703E | ad:ed6c425c | 2.565 MB   |       74 |
| mc15_13TeV:DAOD_SUSY2.11134283._000010.pool.root.1 | A808DEC8-7175-3B47-BEB5-859348A2B3E5 | ad:b4c3e614 | 2.456 MB   |       67 |
| mc15_13TeV:DAOD_SUSY2.11134283._000011.pool.root.1 | E96AF912-6E0D-0C42-9641-803FBF81C8B9 | ad:e815c254 | 18.189 MB  |      662 |
| mc15_13TeV:DAOD_SUSY2.11134283._000012.pool.root.1 | D5616447-8113-C747-899B-0129709598C2 | ad:cbc4d45a | 10.641 MB  |      384 |
| mc15_13TeV:DAOD_SUSY2.11134283._000013.pool.root.1 | 060A6A58-5F99-D446-9166-47FCDDF49F9D | ad:d67cfdea | 17.807 MB  |      663 |
| mc15_13TeV:DAOD_SUSY2.11134283._000014.pool.root.1 | DC108B1D-1ECF-9945-9A90-567B36D22B5E | ad:cda1b324 | 17.756 MB  |      635 |
| mc15_13TeV:DAOD_SUSY2.11134283._000015.pool.root.1 | 2F281470-4807-6548-ADF6-F563BC55ABC7 | ad:bd9091ea | 16.980 MB  |      622 |
| mc15_13TeV:DAOD_SUSY2.11134283._000016.pool.root.1 | 0F163885-C599-5B45-A6A6-FA2CC143400E | ad:9433cd7f | 17.386 MB  |      644 |
| mc15_13TeV:DAOD_SUSY2.11134283._000017.pool.root.1 | DEAD1B0F-A75B-6940-A4EF-C409D9638D4F | ad:160f2377 | 18.220 MB  |      667 |
| mc15_13TeV:DAOD_SUSY2.11134283._000018.pool.root.1 | C788767A-A7D7-084F-A504-5175C19483D0 | ad:1b5f7e19 | 18.121 MB  |      681 |
| mc15_13TeV:DAOD_SUSY2.11134283._000019.pool.root.1 | 5145F763-A3FC-0744-989B-C4A8F3845AF7 | ad:2bd5753d | 18.594 MB  |      683 |
| mc15_13TeV:DAOD_SUSY2.11134283._000020.pool.root.1 | B78BA2B9-7308-8846-9B7A-DBE155AAAB78 | ad:f12f6573 | 17.333 MB  |      639 |
| mc15_13TeV:DAOD_SUSY2.11134283._000021.pool.root.1 | 1C6D6EB4-842F-7A4E-B763-AED483858AC3 | ad:b906e871 | 17.049 MB  |      627 |
| mc15_13TeV:DAOD_SUSY2.11134283._000022.pool.root.1 | 45EC84D4-BC67-4349-8C22-815C2FD26D24 | ad:7d6e468b | 16.060 MB  |      599 |
| mc15_13TeV:DAOD_SUSY2.11134283._000023.pool.root.1 | BC2B9408-4DD1-7B49-BBF8-C340C26B6BF1 | ad:ee707f80 | 18.420 MB  |      677 |
| mc15_13TeV:DAOD_SUSY2.11134283._000024.pool.root.1 | 0EA5E538-7840-C146-8391-E06A208C1545 | ad:59484584 | 18.264 MB  |      664 |
| mc15_13TeV:DAOD_SUSY2.11134283._000025.pool.root.1 | 5AD6C872-FD0E-F242-AE1D-1ECB7D307289 | ad:aaa1a2af | 18.493 MB  |      679 |
| mc15_13TeV:DAOD_SUSY2.11134283._000026.pool.root.1 | 36D2BE17-3405-C244-AD3B-CD66B94A9185 | ad:2b2226b4 | 18.567 MB  |      699 |
| mc15_13TeV:DAOD_SUSY2.11134283._000027.pool.root.1 | D924ED5E-6D41-B844-A40A-2DE13FABD20C | ad:a4b5e0ff | 17.697 MB  |      643 |
| mc15_13TeV:DAOD_SUSY2.11134283._000028.pool.root.1 | 9684323D-216D-5E4A-8D31-ECB4A294BDB8 | ad:ff94293f | 17.830 MB  |      668 |
| mc15_13TeV:DAOD_SUSY2.11134283._000029.pool.root.1 | 06755181-3E1F-C64B-AC7B-17977DC85E29 | ad:36b999a9 | 17.494 MB  |      642 |
| mc15_13TeV:DAOD_SUSY2.11134283._000030.pool.root.1 | EDF6CD13-B221-D84C-B867-CAC6985EBA3B | ad:997ba960 | 17.776 MB  |      652 |
| mc15_13TeV:DAOD_SUSY2.11134283._000031.pool.root.1 | 612A7A2E-B034-2B45-A2D1-9428429D6A45 | ad:f8b635dd | 17.873 MB  |      661 |
| mc15_13TeV:DAOD_SUSY2.11134283._000032.pool.root.1 | F2DE37F4-7174-F641-97BB-38CA1457308D | ad:2eefe950 | 17.787 MB  |      652 |
| mc15_13TeV:DAOD_SUSY2.11134283._000033.pool.root.1 | 6B86F372-E14D-3348-8EEF-EE8D59A02343 | ad:e703a1ce | 18.300 MB  |      672 |
| mc15_13TeV:DAOD_SUSY2.11134283._000034.pool.root.1 | D7D522C5-3829-8E41-8B09-1F8FD854CF62 | ad:c802fbad | 18.373 MB  |      669 |
| mc15_13TeV:DAOD_SUSY2.11134283._000035.pool.root.1 | 8E2690E5-F93F-5D49-93DB-C4512B3AF51C | ad:7ca7ec0a | 17.778 MB  |      643 |
| mc15_13TeV:DAOD_SUSY2.11134283._000036.pool.root.1 | F84DE107-9377-7D40-94E2-463118AEB083 | ad:9e8077db | 16.991 MB  |      609 |
| mc15_13TeV:DAOD_SUSY2.11134283._000037.pool.root.1 | 2680A69D-5E84-ED44-BBD3-696C701EFF94 | ad:ed652c1e | 17.807 MB  |      653 |
| mc15_13TeV:DAOD_SUSY2.11134283._000038.pool.root.1 | D5E4FDF3-7C2A-944A-B5CF-63E9B14EDCBC | ad:eb6b8a7a | 18.434 MB  |      678 |
| mc15_13TeV:DAOD_SUSY2.11134283._000039.pool.root.1 | 87AD466A-7ADE-1B4B-935D-362948683789 | ad:68aba3a6 | 18.954 MB  |      692 |
| mc15_13TeV:DAOD_SUSY2.11134283._000040.pool.root.1 | 4198A984-7A8C-FF47-8B88-01BADD7DC575 | ad:7e8ecf28 | 17.755 MB  |      641 |
| mc15_13TeV:DAOD_SUSY2.11134283._000041.pool.root.1 | 7D26F87F-C498-E343-B1C9-6F8BCEF68B62 | ad:eb720cd5 | 18.911 MB  |      689 |
| mc15_13TeV:DAOD_SUSY2.11134283._000042.pool.root.1 | E89E5CDE-2D4D-2D42-9842-E989D1F88226 | ad:9fa525f6 | 18.451 MB  |      689 |
