+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134314._000001.pool.root.1 | F61FC861-88A8-4647-8986-A1EB0F44AA31 | ad:4fb9230f | 4.256 MB   |      118 |
| mc15_13TeV:DAOD_SUSY2.11134314._000002.pool.root.1 | AD91AD8D-63B2-BA43-BF7B-9F6CB14F0174 | ad:c3162390 | 4.285 MB   |      117 |
| mc15_13TeV:DAOD_SUSY2.11134314._000003.pool.root.1 | DCDC06E8-644B-B24C-BDDE-04CAA72CC1C8 | ad:9b359504 | 4.417 MB   |      127 |
| mc15_13TeV:DAOD_SUSY2.11134314._000004.pool.root.1 | 0722BCB0-A0F1-9744-BF30-ADCA59FA3EE9 | ad:e6354df2 | 3.479 MB   |      100 |
| mc15_13TeV:DAOD_SUSY2.11134314._000005.pool.root.1 | CDAC5A26-C9E2-D140-B03D-5504CA1ABAA8 | ad:8c776903 | 4.703 MB   |      135 |
| mc15_13TeV:DAOD_SUSY2.11134314._000006.pool.root.1 | 4B65241A-BCFE-F645-8950-A6997600BF19 | ad:5c2573cf | 4.206 MB   |      118 |
| mc15_13TeV:DAOD_SUSY2.11134314._000007.pool.root.1 | A36BB620-47D3-1D46-9031-D21EFFE5EBB8 | ad:6f26741f | 4.268 MB   |      123 |
| mc15_13TeV:DAOD_SUSY2.11134314._000008.pool.root.1 | 199E8272-14FD-AD4B-820D-3B15221D1A04 | ad:02814dd0 | 4.253 MB   |      118 |
| mc15_13TeV:DAOD_SUSY2.11134314._000009.pool.root.1 | 181C9C19-846E-D446-8910-93A3E995358C | ad:91df3f49 | 4.180 MB   |      119 |
| mc15_13TeV:DAOD_SUSY2.11134314._000010.pool.root.1 | D74B598D-DE26-D24B-8BC4-4226D2A39C1C | ad:790eb107 | 3.907 MB   |      103 |
| mc15_13TeV:DAOD_SUSY2.11134314._000011.pool.root.1 | B865EC68-4FD7-4247-A6E4-474594605330 | ad:2f47b908 | 24.552 MB  |      883 |
| mc15_13TeV:DAOD_SUSY2.11134314._000012.pool.root.1 | 65577E20-F783-3041-84BC-E279AFF1EA07 | ad:3145370a | 24.354 MB  |      873 |
| mc15_13TeV:DAOD_SUSY2.11134314._000013.pool.root.1 | 3C8B4FCE-59AA-DF46-970C-C8AF0B2F85DB | ad:f68525f8 | 24.979 MB  |      886 |
| mc15_13TeV:DAOD_SUSY2.11134314._000014.pool.root.1 | 8397032B-EA24-4C4B-8F70-583FDCF52692 | ad:7dced907 | 24.180 MB  |      860 |
| mc15_13TeV:DAOD_SUSY2.11134314._000015.pool.root.1 | C65657A6-0F81-FC4A-A60C-B54D26C2EAF1 | ad:7739ec1d | 25.533 MB  |      901 |
| mc15_13TeV:DAOD_SUSY2.11134314._000016.pool.root.1 | 9DEFA949-84C6-4143-B317-C8B9C49D24DA | ad:b825e1db | 25.445 MB  |      902 |
| mc15_13TeV:DAOD_SUSY2.11134314._000017.pool.root.1 | 583F0153-86F3-B545-A3BB-EC7684A95489 | ad:adb91f2f | 24.723 MB  |      896 |
| mc15_13TeV:DAOD_SUSY2.11134314._000018.pool.root.1 | 4D3C37E0-0F50-2D41-AAFA-AF1A3366DC9A | ad:550dd6ed | 24.511 MB  |      864 |
| mc15_13TeV:DAOD_SUSY2.11134314._000019.pool.root.1 | 231DDFE0-61D0-844C-8F67-E64B36CE706C | ad:ee9e87ca | 26.113 MB  |      943 |
| mc15_13TeV:DAOD_SUSY2.11134314._000020.pool.root.1 | 793BA3F0-72F0-5645-9755-CEC9127D4B01 | ad:76c3c11d | 26.146 MB  |      941 |
| mc15_13TeV:DAOD_SUSY2.11134314._000021.pool.root.1 | 3F8FB4C7-2F8E-F248-B5F8-01C138FBDAA3 | ad:8a3611b8 | 25.513 MB  |      902 |
| mc15_13TeV:DAOD_SUSY2.11134314._000022.pool.root.1 | C8398134-15F9-5D49-A533-FFF5FC9CD2B7 | ad:af2e6a17 | 26.749 MB  |      946 |
| mc15_13TeV:DAOD_SUSY2.11134314._000023.pool.root.1 | 5E1DC57F-9E13-C64C-920C-F2C17A90D1E4 | ad:a2d20257 | 24.661 MB  |      886 |
| mc15_13TeV:DAOD_SUSY2.11134314._000024.pool.root.1 | A96A99C1-CE2D-7D4F-A545-CFBEB2DBA536 | ad:52125cd8 | 25.196 MB  |      897 |
| mc15_13TeV:DAOD_SUSY2.11134314._000025.pool.root.1 | 72361EAD-C893-1F40-A044-8199ED5CE001 | ad:d9b01211 | 26.112 MB  |      936 |
| mc15_13TeV:DAOD_SUSY2.11134314._000026.pool.root.1 | 7587273F-723F-D348-BAA9-32B44406551A | ad:79da49b2 | 24.734 MB  |      879 |
| mc15_13TeV:DAOD_SUSY2.11134314._000027.pool.root.1 | 31E1920D-FBAA-7C4C-8389-D36EB0B5BD0A | ad:5af27f96 | 23.800 MB  |      844 |
| mc15_13TeV:DAOD_SUSY2.11134314._000028.pool.root.1 | ABCEFD95-3C43-F745-8108-6A0515430CD5 | ad:cfa822b0 | 24.819 MB  |      886 |
