+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134100._000001.pool.root.1 | 0171C6B0-79FD-8144-A15A-2C581BDEFA90 | ad:53e2f9db | 4.003 MB   |      105 |
| mc15_13TeV:DAOD_SUSY2.11134100._000002.pool.root.1 | 1EAADDB2-0A81-2F4E-BC1F-8D6BED1D8697 | ad:f8e206b8 | 4.410 MB   |      125 |
| mc15_13TeV:DAOD_SUSY2.11134100._000003.pool.root.1 | 8DA1636B-97D0-1549-B97C-140C800D85F2 | ad:90708e3a | 4.149 MB   |      114 |
| mc15_13TeV:DAOD_SUSY2.11134100._000004.pool.root.1 | 4B0432C4-FA5B-8642-9563-63DD5DE8B6AE | ad:4915f23d | 4.588 MB   |      129 |
| mc15_13TeV:DAOD_SUSY2.11134100._000005.pool.root.1 | 780BD7A3-27D6-974E-B592-553CF83C98DD | ad:eac11aa4 | 4.173 MB   |      111 |
| mc15_13TeV:DAOD_SUSY2.11134100._000006.pool.root.1 | 19615A35-C2C6-9F45-BB53-753E813E9706 | ad:3d2673a3 | 4.236 MB   |      117 |
| mc15_13TeV:DAOD_SUSY2.11134100._000007.pool.root.1 | CDE78FD9-CB83-9845-A31D-C4A490F133FB | ad:64e96782 | 4.270 MB   |      120 |
| mc15_13TeV:DAOD_SUSY2.11134100._000008.pool.root.1 | 0AE1F8C2-59AB-324E-808B-3F74D9D3CDC0 | ad:eedddfdf | 4.828 MB   |      133 |
| mc15_13TeV:DAOD_SUSY2.11134100._000009.pool.root.1 | 54F6B75E-C9D6-9F4B-85D7-8B30EF8A0933 | ad:9e6e56f4 | 4.525 MB   |      126 |
| mc15_13TeV:DAOD_SUSY2.11134100._000010.pool.root.1 | B5E806BA-4AF3-5848-A55E-516BCC46DDB9 | ad:f206728a | 4.344 MB   |      121 |
| mc15_13TeV:DAOD_SUSY2.11134100._000011.pool.root.1 | 2EB8E9E0-CF82-2B49-9F3A-E4CF00E51732 | ad:1c65d238 | 29.903 MB  |     1015 |
| mc15_13TeV:DAOD_SUSY2.11134100._000012.pool.root.1 | F50FC7C4-0033-634D-BEF3-72BD4D19736B | ad:7bac1cf7 | 29.022 MB  |      997 |
| mc15_13TeV:DAOD_SUSY2.11134100._000013.pool.root.1 | CBAE1EFC-B549-FD41-BDDF-79ABBEA3D09C | ad:20710993 | 28.899 MB  |     1002 |
| mc15_13TeV:DAOD_SUSY2.11134100._000014.pool.root.1 | 8100E610-D47C-2C4E-925D-90031471DC3B | ad:13aa5ea6 | 28.013 MB  |      982 |
| mc15_13TeV:DAOD_SUSY2.11134100._000015.pool.root.1 | 1A3DCFC4-A6CB-A949-8289-433E5386359A | ad:5b886f81 | 27.176 MB  |      936 |
| mc15_13TeV:DAOD_SUSY2.11134100._000016.pool.root.1 | 16C0869B-0F9B-E647-8A61-D1082FF54D30 | ad:45b94fb3 | 26.431 MB  |      924 |
| mc15_13TeV:DAOD_SUSY2.11134100._000017.pool.root.1 | 2CC2BE5C-786F-A14A-9EFF-DD99C151100A | ad:0a7db3fa | 26.127 MB  |      915 |
| mc15_13TeV:DAOD_SUSY2.11134100._000018.pool.root.1 | 66B60651-901E-0D41-9ACD-90C98654E4EC | ad:3b40a9a3 | 27.055 MB  |      939 |
| mc15_13TeV:DAOD_SUSY2.11134100._000019.pool.root.1 | 7FF1B4FA-9ED2-E64E-8C49-AFC5F6FC1617 | ad:35bbe72c | 25.505 MB  |      882 |
| mc15_13TeV:DAOD_SUSY2.11134100._000020.pool.root.1 | 10BE7D76-C76D-6E4B-9FBF-257C98F2FF70 | ad:0faea4a5 | 27.133 MB  |      929 |
| mc15_13TeV:DAOD_SUSY2.11134100._000021.pool.root.1 | 58914446-D229-5141-B22C-5473404B61E5 | ad:db16d588 | 26.833 MB  |      929 |
| mc15_13TeV:DAOD_SUSY2.11134100._000022.pool.root.1 | 0B9C718F-2337-0F4D-8344-BA9B60B9D10B | ad:5ae4865d | 25.451 MB  |      898 |
