+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134095._000001.pool.root.1 | CD24E573-75FD-1943-85A3-A6C252EDFF9B | ad:c3b29cef | 39.497 MB  |      922 |
| mc15_13TeV:DAOD_SUSY2.11134095._000002.pool.root.1 | EC864863-FB66-944C-9B43-F898E97CE78A | ad:43a78b0e | 40.157 MB  |      927 |
| mc15_13TeV:DAOD_SUSY2.11134095._000003.pool.root.1 | 466A37EA-6D1E-DC4B-B439-3FCC8C46B4F6 | ad:ce84f980 | 39.180 MB  |      906 |
| mc15_13TeV:DAOD_SUSY2.11134095._000004.pool.root.1 | A6FD7E8C-C2C6-9A47-8972-57DDF3C57DA6 | ad:19872af4 | 40.382 MB  |      948 |
| mc15_13TeV:DAOD_SUSY2.11134095._000005.pool.root.1 | B2A1C858-A831-CF49-84A9-5C0F420799BD | ad:791f5767 | 42.587 MB  |      995 |
| mc15_13TeV:DAOD_SUSY2.11134095._000006.pool.root.1 | 8835A136-0C7F-604F-8613-2F4C182ACA50 | ad:6931c356 | 42.275 MB  |      981 |
| mc15_13TeV:DAOD_SUSY2.11134095._000007.pool.root.1 | CA13C6E1-DAA4-4340-A121-F85B467DF7A4 | ad:d0fe6a2c | 40.750 MB  |      966 |
| mc15_13TeV:DAOD_SUSY2.11134095._000008.pool.root.1 | 09478203-7C92-4043-BD78-96A9803D0576 | ad:0473740f | 40.263 MB  |      938 |
| mc15_13TeV:DAOD_SUSY2.11134095._000009.pool.root.1 | 3941D3BF-B796-F14B-8761-1DA80A94F022 | ad:73237c9a | 39.662 MB  |      933 |
| mc15_13TeV:DAOD_SUSY2.11134095._000010.pool.root.1 | DA9BC193-C2E6-EF49-8F29-8AE281604C04 | ad:29e37d62 | 39.774 MB  |      928 |
| mc15_13TeV:DAOD_SUSY2.11134095._000011.pool.root.1 | 52CDA6A7-1A87-6945-A2E0-6A7F24D81C39 | ad:2b30cc66 | 197.960 MB |     4754 |
| mc15_13TeV:DAOD_SUSY2.11134095._000012.pool.root.1 | 3EA34F44-BF56-9148-8B00-9F004720D348 | ad:1488ee73 | 198.436 MB |     4756 |
| mc15_13TeV:DAOD_SUSY2.11134095._000013.pool.root.1 | 46F83765-3882-734E-8F75-06B9CEAB9020 | ad:e51e2d35 | 196.886 MB |     4705 |
| mc15_13TeV:DAOD_SUSY2.11134095._000014.pool.root.1 | 370C5912-7AB3-E849-B533-953FD055CF9F | ad:99efefb6 | 198.524 MB |     4752 |
| mc15_13TeV:DAOD_SUSY2.11134095._000015.pool.root.1 | 6119317A-9678-4042-9004-2FAD917E0334 | ad:3f48c84e | 202.425 MB |     4824 |
| mc15_13TeV:DAOD_SUSY2.11134095._000016.pool.root.1 | 571AC902-67B6-8E41-B08A-D40DD671CF13 | ad:00858f86 | 199.479 MB |     4790 |
| mc15_13TeV:DAOD_SUSY2.11134095._000017.pool.root.1 | A3D97688-AC47-614D-A356-BD89B073237D | ad:1e4422b1 | 197.608 MB |     4736 |
| mc15_13TeV:DAOD_SUSY2.11134095._000018.pool.root.1 | D7125693-DEE1-B843-9C56-914FA1BE4E8C | ad:550b4519 | 190.893 MB |     4572 |
| mc15_13TeV:DAOD_SUSY2.11134095._000019.pool.root.1 | C4B0C5EA-4868-AC4D-A369-666AFA348FE3 | ad:13e4fd30 | 197.454 MB |     4740 |
| mc15_13TeV:DAOD_SUSY2.11134095._000020.pool.root.1 | 0325C999-0923-E74F-806B-230E0D7AAEE0 | ad:064fe22b | 197.783 MB |     4735 |
| mc15_13TeV:DAOD_SUSY2.11134095._000021.pool.root.1 | 958615BB-E469-FF48-81E3-184F84C4A5C4 | ad:5dcd2b82 | 199.082 MB |     4778 |
| mc15_13TeV:DAOD_SUSY2.11134095._000022.pool.root.1 | 9261AE34-4A87-904A-8262-9C25D6726389 | ad:21b15dbb | 194.928 MB |     4688 |
| mc15_13TeV:DAOD_SUSY2.11134095._000023.pool.root.1 | AFD99FAE-4E19-434B-9CBA-BDE8387EBB01 | ad:b8d9f1de | 198.271 MB |     4776 |
| mc15_13TeV:DAOD_SUSY2.11134095._000024.pool.root.1 | 07CB5BB1-B947-2F41-BF39-D6530FFD8C44 | ad:1b84101b | 194.713 MB |     4667 |
