+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134106._000001.pool.root.1 | 9CA2DA01-FABF-0F4C-8959-51B8E987691C | ad:30fee452 | 79.134 MB  |     1628 |
| mc15_13TeV:DAOD_SUSY2.11134106._000002.pool.root.1 | 47891858-E7AF-EE46-A0CA-FB65B9F600C7 | ad:d721d218 | 84.523 MB  |     1731 |
| mc15_13TeV:DAOD_SUSY2.11134106._000003.pool.root.1 | 76E01958-916A-A24D-906A-F0B61222FA92 | ad:8ef61716 | 83.919 MB  |     1714 |
| mc15_13TeV:DAOD_SUSY2.11134106._000004.pool.root.1 | F2F47EEB-7F47-D842-A1A2-2745D3962D32 | ad:5251faba | 83.827 MB  |     1726 |
| mc15_13TeV:DAOD_SUSY2.11134106._000005.pool.root.1 | E9067AC3-47C7-4347-A930-F5830643A467 | ad:76a5ee65 | 82.094 MB  |     1694 |
| mc15_13TeV:DAOD_SUSY2.11134106._000006.pool.root.1 | B66AD6E1-58F6-2C45-A04A-8DF3914D7718 | ad:4b4b643d | 82.082 MB  |     1695 |
| mc15_13TeV:DAOD_SUSY2.11134106._000007.pool.root.1 | 2FF22C06-6612-C54B-B163-AFE17E66369E | ad:4a2ab69f | 82.625 MB  |     1699 |
| mc15_13TeV:DAOD_SUSY2.11134106._000008.pool.root.1 | 40285CA3-922F-3041-BAEF-C5778DCFC165 | ad:886dc952 | 79.779 MB  |     1641 |
| mc15_13TeV:DAOD_SUSY2.11134106._000009.pool.root.1 | 207AD8EA-5F4D-C647-8FBB-58A81552F812 | ad:ea3786b0 | 81.179 MB  |     1673 |
| mc15_13TeV:DAOD_SUSY2.11134106._000010.pool.root.1 | CA587DBE-3B05-E849-9DF6-483F522FC909 | ad:352a255d | 79.790 MB  |     1630 |
| mc15_13TeV:DAOD_SUSY2.11134106._000011.pool.root.1 | C54EC0FA-1ECB-DB46-A43A-EB04F76D3A86 | ad:c86d11f8 | 318.006 MB |     6609 |
| mc15_13TeV:DAOD_SUSY2.11134106._000012.pool.root.1 | 67B2EC22-377E-FD49-8346-502171202211 | ad:e279df93 | 323.639 MB |     6662 |
| mc15_13TeV:DAOD_SUSY2.11134106._000013.pool.root.1 | 8BB99E52-BCA3-5E4E-982B-75418D67FDA2 | ad:3b0a46e2 | 325.553 MB |     6776 |
| mc15_13TeV:DAOD_SUSY2.11134106._000014.pool.root.1 | 0BF996E2-9B7C-6A47-8487-4E20F2116B69 | ad:5b2429da | 318.328 MB |     6640 |
| mc15_13TeV:DAOD_SUSY2.11134106._000015.pool.root.1 | F97DE969-E30A-C44A-AF49-52C57F651E87 | ad:b3d895a0 | 316.584 MB |     6539 |
| mc15_13TeV:DAOD_SUSY2.11134106._000016.pool.root.1 | 03A15739-E989-2D4F-B88C-D8EB0FA62976 | ad:7f2bafc2 | 321.685 MB |     6647 |
| mc15_13TeV:DAOD_SUSY2.11134106._000017.pool.root.1 | F0CECF5E-B1F1-D843-AB88-3C540989109F | ad:1686afc4 | 322.532 MB |     6688 |
| mc15_13TeV:DAOD_SUSY2.11134106._000018.pool.root.1 | 6F9BF6AA-0752-2147-938A-310B18184C3D | ad:279bf0ea | 319.830 MB |     6638 |
| mc15_13TeV:DAOD_SUSY2.11134106._000019.pool.root.1 | C6AE7749-1714-C248-BE96-0FAA18BB0D60 | ad:c15ff11e | 324.145 MB |     6746 |
| mc15_13TeV:DAOD_SUSY2.11134106._000020.pool.root.1 | 5B888839-5105-4C43-880B-8A208FDF4E37 | ad:8610494a | 323.123 MB |     6713 |
| mc15_13TeV:DAOD_SUSY2.11134106._000021.pool.root.1 | 795F664F-6D16-C841-9E9F-1566B9C33DF1 | ad:d968f4a8 | 318.009 MB |     6625 |
| mc15_13TeV:DAOD_SUSY2.11134106._000022.pool.root.1 | 1228CF88-5160-944B-901B-F45084C4D594 | ad:de0962a0 | 319.569 MB |     6625 |
