+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134287._000001.pool.root.1 | 6F042828-6512-7F4B-B54C-AB94724BAA05 | ad:137a76c5 | 4.177 MB   |      108 |
| mc15_13TeV:DAOD_SUSY2.11134287._000002.pool.root.1 | BBB8F73A-699D-6A42-97BE-3E377DAD233A | ad:4e894e91 | 3.717 MB   |       95 |
| mc15_13TeV:DAOD_SUSY2.11134287._000003.pool.root.1 | 579678FA-1372-B94C-B3CC-9B9F5D4A01BD | ad:4ea6a151 | 4.367 MB   |      112 |
| mc15_13TeV:DAOD_SUSY2.11134287._000004.pool.root.1 | DE9FA3F5-6F2D-5346-A13C-334867C55F9E | ad:63c4e8c1 | 4.281 MB   |      112 |
| mc15_13TeV:DAOD_SUSY2.11134287._000005.pool.root.1 | BF7847FE-570B-2D4E-9D06-24BFB9CC272C | ad:6392ea7e | 3.934 MB   |      101 |
| mc15_13TeV:DAOD_SUSY2.11134287._000006.pool.root.1 | BCFC8E1D-80E1-DF40-8FC8-15AC25C6F321 | ad:5530ff9c | 3.811 MB   |       97 |
| mc15_13TeV:DAOD_SUSY2.11134287._000007.pool.root.1 | 13B29317-A60E-D94D-9435-6E656918CDB3 | ad:f9687839 | 4.204 MB   |      110 |
| mc15_13TeV:DAOD_SUSY2.11134287._000008.pool.root.1 | 1E914F25-5E96-364A-A6CD-B6C6A2FD2A83 | ad:ac84ea73 | 3.550 MB   |       93 |
| mc15_13TeV:DAOD_SUSY2.11134287._000009.pool.root.1 | 2BEA80B8-1A26-E74D-A998-D2405F2CD54F | ad:ceb9b54c | 3.472 MB   |       90 |
| mc15_13TeV:DAOD_SUSY2.11134287._000010.pool.root.1 | F886BFC2-00C7-A84F-A731-5F8E5A949726 | ad:1a5e57ef | 4.390 MB   |      114 |
| mc15_13TeV:DAOD_SUSY2.11134287._000011.pool.root.1 | 87097D8A-8CF2-BF40-B553-BF78BA12FC39 | ad:9f19264f | 25.039 MB  |      843 |
| mc15_13TeV:DAOD_SUSY2.11134287._000012.pool.root.1 | 9D3A17B6-EF2F-C34F-BA3F-B7AFB20A8698 | ad:bc4ab3fc | 25.928 MB  |      862 |
| mc15_13TeV:DAOD_SUSY2.11134287._000013.pool.root.1 | 4BAD3295-1601-B441-8E99-38840B2630CB | ad:c8fc1c88 | 23.357 MB  |      776 |
| mc15_13TeV:DAOD_SUSY2.11134287._000014.pool.root.1 | 6C68CFA8-BA3B-7647-9DF1-DE18FC71300B | ad:cfab06e4 | 25.765 MB  |      852 |
| mc15_13TeV:DAOD_SUSY2.11134287._000015.pool.root.1 | B63F6B6F-3CC1-6D46-993F-464A133D3FF5 | ad:36429956 | 24.846 MB  |      830 |
| mc15_13TeV:DAOD_SUSY2.11134287._000016.pool.root.1 | C5DCFBD5-DDD1-4244-A79C-3B976CE1B0A4 | ad:abc4d8c3 | 24.834 MB  |      815 |
| mc15_13TeV:DAOD_SUSY2.11134287._000017.pool.root.1 | C32ED316-D7A7-FB4B-A2B0-8443FE9BBEE9 | ad:111f3962 | 23.351 MB  |      775 |
| mc15_13TeV:DAOD_SUSY2.11134287._000018.pool.root.1 | 659000F4-435A-D64B-A12D-DA3D1A657244 | ad:596306b2 | 24.079 MB  |      801 |
| mc15_13TeV:DAOD_SUSY2.11134287._000019.pool.root.1 | 7B389DAC-1B00-9E4C-A02A-F1745134A338 | ad:1594f5bc | 24.770 MB  |      825 |
| mc15_13TeV:DAOD_SUSY2.11134287._000020.pool.root.1 | 5E3FEF07-114B-2D4C-922B-095FB926676F | ad:5834caa5 | 24.609 MB  |      816 |
| mc15_13TeV:DAOD_SUSY2.11134287._000021.pool.root.1 | D8FCFFDA-A3EA-0F4C-8663-354376F3451A | ad:ee843465 | 23.177 MB  |      785 |
| mc15_13TeV:DAOD_SUSY2.11134287._000022.pool.root.1 | 48C29E20-D07B-014E-9777-8E447997336E | ad:2a55241b | 24.281 MB  |      811 |
| mc15_13TeV:DAOD_SUSY2.11134287._000023.pool.root.1 | 706F5791-8008-B348-8DC1-49A62F97C999 | ad:43e03783 | 22.944 MB  |      754 |
| mc15_13TeV:DAOD_SUSY2.11134287._000024.pool.root.1 | 1A84AC4D-7AF9-C644-B04C-19E437B2CB60 | ad:ab746ec5 | 22.203 MB  |      735 |
| mc15_13TeV:DAOD_SUSY2.11134287._000025.pool.root.1 | 240965F8-A17A-E642-90E6-F5390D7ABB3A | ad:84737dd1 | 23.067 MB  |      772 |
| mc15_13TeV:DAOD_SUSY2.11134287._000026.pool.root.1 | 164E5ACD-C803-9442-9A67-DD3C54B668E9 | ad:0122d9b4 | 24.231 MB  |      804 |
| mc15_13TeV:DAOD_SUSY2.11134287._000027.pool.root.1 | 31F604CE-4B1B-D64D-A10A-1411C63B0C90 | ad:78a0b7e0 | 22.819 MB  |      771 |
| mc15_13TeV:DAOD_SUSY2.11134287._000028.pool.root.1 | 1A7F391A-BC36-154B-AA16-D3430B2EC7C7 | ad:09b4c2a0 | 25.234 MB  |      845 |
| mc15_13TeV:DAOD_SUSY2.11134287._000029.pool.root.1 | 22E78A53-4B70-254B-B8A5-7BB4EDBE5F32 | ad:12842cec | 25.382 MB  |      840 |
| mc15_13TeV:DAOD_SUSY2.11134287._000030.pool.root.1 | CEF135AD-21CE-8741-B203-2E56B4880327 | ad:97273f80 | 25.166 MB  |      834 |
| mc15_13TeV:DAOD_SUSY2.11134287._000031.pool.root.1 | 98BE5915-EC51-7A44-A425-073EA1507537 | ad:f5d3c865 | 24.326 MB  |      820 |
| mc15_13TeV:DAOD_SUSY2.11134287._000032.pool.root.1 | 52DDED01-835B-2D49-9D1E-65880608FA42 | ad:99994eee | 25.156 MB  |      830 |
| mc15_13TeV:DAOD_SUSY2.11134287._000033.pool.root.1 | 1981A0C0-4B10-694B-A8FB-D415DE9105CE | ad:acf8ee14 | 24.116 MB  |      790 |
| mc15_13TeV:DAOD_SUSY2.11134287._000034.pool.root.1 | 297719B9-CD17-374E-8526-357E30BA14F6 | ad:98086947 | 23.408 MB  |      789 |
| mc15_13TeV:DAOD_SUSY2.11134287._000035.pool.root.1 | 5B14619B-0D08-144B-9C95-9D1C151D7994 | ad:e2b81ef3 | 23.639 MB  |      783 |
| mc15_13TeV:DAOD_SUSY2.11134287._000036.pool.root.1 | 3FCD4284-6C38-6D47-83E3-B13C4DA9AF39 | ad:cf2cbfd7 | 23.620 MB  |      789 |
| mc15_13TeV:DAOD_SUSY2.11134287._000037.pool.root.1 | 8BF10F4F-1C54-5D4E-AC02-229F2B1A2E67 | ad:4707d82e | 23.116 MB  |      770 |
