+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134118._000001.pool.root.1 | 79EDD1BA-9B4D-3646-B6FC-55F0A4D26D79 | ad:794ad97c | 25.091 MB  |      647 |
| mc15_13TeV:DAOD_SUSY2.11134118._000002.pool.root.1 | C40ED958-EB08-754E-9124-4F84882AF70C | ad:6067b2b9 | 25.529 MB  |      659 |
| mc15_13TeV:DAOD_SUSY2.11134118._000003.pool.root.1 | 141BB62E-4A07-7E4F-8AAA-09BFEC8F3BD3 | ad:7dc54310 | 25.348 MB  |      664 |
| mc15_13TeV:DAOD_SUSY2.11134118._000004.pool.root.1 | 4FE8F083-6C01-C247-ACCD-C0B75AF87801 | ad:56fe6e82 | 24.655 MB  |      634 |
| mc15_13TeV:DAOD_SUSY2.11134118._000005.pool.root.1 | E96DF0B0-A13C-0D46-8FC5-BFCA7AFA3888 | ad:aaf339b1 | 24.552 MB  |      639 |
| mc15_13TeV:DAOD_SUSY2.11134118._000006.pool.root.1 | D4FAB4E2-7F11-7C47-963A-600E017BBF35 | ad:bb2eaeaf | 24.619 MB  |      633 |
| mc15_13TeV:DAOD_SUSY2.11134118._000007.pool.root.1 | AF239238-5796-A046-8427-71398B63B69A | ad:cf9730ba | 26.505 MB  |      696 |
| mc15_13TeV:DAOD_SUSY2.11134118._000008.pool.root.1 | C41410A4-EF38-844E-868F-8900EFDF77CE | ad:439f79b0 | 25.457 MB  |      660 |
| mc15_13TeV:DAOD_SUSY2.11134118._000009.pool.root.1 | B697172E-0774-F24A-B630-980D823361E2 | ad:bd16ce5a | 24.396 MB  |      636 |
| mc15_13TeV:DAOD_SUSY2.11134118._000010.pool.root.1 | 7C20BBC8-4A75-264B-8D6A-DCE4269D882A | ad:4bc17165 | 24.771 MB  |      639 |
| mc15_13TeV:DAOD_SUSY2.11134118._000011.pool.root.1 | 0E16809C-E7B6-0F4F-84E0-2B31470AB324 | ad:6fe742d8 | 128.101 MB |     3445 |
| mc15_13TeV:DAOD_SUSY2.11134118._000012.pool.root.1 | 4997C7C2-200B-7B42-A1ED-9A4236D4AC50 | ad:c6cb7258 | 126.318 MB |     3372 |
| mc15_13TeV:DAOD_SUSY2.11134118._000013.pool.root.1 | 6C332471-A981-E541-9236-F6877C808A9C | ad:a53e5900 | 122.823 MB |     3289 |
| mc15_13TeV:DAOD_SUSY2.11134118._000014.pool.root.1 | B3062875-84F3-DF49-A37B-B5FBE51833E9 | ad:dfed98cc | 122.948 MB |     3301 |
| mc15_13TeV:DAOD_SUSY2.11134118._000015.pool.root.1 | D95A3F17-53AB-F047-87DF-42CFE0F2D465 | ad:82a66fdc | 120.060 MB |     3198 |
| mc15_13TeV:DAOD_SUSY2.11134118._000016.pool.root.1 | 3AB1CC01-977A-DF48-BEBA-2F7E6F77DA60 | ad:87150c19 | 118.933 MB |     3200 |
| mc15_13TeV:DAOD_SUSY2.11134118._000017.pool.root.1 | 954CFE4B-862A-FA40-8280-4EB840719FE5 | ad:2491cb3f | 118.787 MB |     3195 |
| mc15_13TeV:DAOD_SUSY2.11134118._000018.pool.root.1 | AD4C213B-0AE0-2841-BBD2-96746DE85FAF | ad:8082ec8d | 33.999 MB  |      893 |
| mc15_13TeV:DAOD_SUSY2.11134118._000019.pool.root.1 | EA14980B-3F03-2D46-A03E-93A06FEBA71B | ad:6df346bc | 121.664 MB |     3263 |
| mc15_13TeV:DAOD_SUSY2.11134118._000020.pool.root.1 | 8F73D9D4-DDAA-8E4C-B628-31DE228B4C0E | ad:e6d6030a | 121.026 MB |     3221 |
| mc15_13TeV:DAOD_SUSY2.11134118._000021.pool.root.1 | 1A99431C-6AB3-E443-98E3-2EE17E59C1F7 | ad:0bed8654 | 122.832 MB |     3314 |
| mc15_13TeV:DAOD_SUSY2.11134118._000022.pool.root.1 | CE9B3DB0-2D9E-7144-B81D-80F9864D211E | ad:ee3b1939 | 123.334 MB |     3313 |
| mc15_13TeV:DAOD_SUSY2.11134118._000023.pool.root.1 | 70A1DB37-6B7D-A444-956B-1041F2E90F66 | ad:62d21937 | 123.538 MB |     3315 |
| mc15_13TeV:DAOD_SUSY2.11134118._000024.pool.root.1 | 6CDC1C75-4817-E140-90A2-77E37F63CC4F | ad:bedb3064 | 121.471 MB |     3290 |
| mc15_13TeV:DAOD_SUSY2.11134118._000025.pool.root.1 | D00551EB-8F43-8847-89DF-D257A1854DF9 | ad:30493113 | 124.308 MB |     3342 |
| mc15_13TeV:DAOD_SUSY2.11134118._000026.pool.root.1 | 783D8E84-C2D0-7C42-93CF-42EC4960293F | ad:55ead3cf | 120.555 MB |     3238 |
