+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134058._000001.pool.root.1 | 96038613-997C-C544-A539-037606D6099F | ad:dce482d2 | 36.968 MB  |      849 |
| mc15_13TeV:DAOD_SUSY2.11134058._000002.pool.root.1 | F7EC7D71-D2AB-AB4D-A865-CBA1FD6A53A0 | ad:10ac9dd4 | 40.043 MB  |      901 |
| mc15_13TeV:DAOD_SUSY2.11134058._000003.pool.root.1 | 400EBFBA-F643-8647-B314-446E0CABDE44 | ad:b1d7de17 | 35.271 MB  |      802 |
| mc15_13TeV:DAOD_SUSY2.11134058._000004.pool.root.1 | AB6E2E43-A524-B141-BAB1-4B6998B17CDD | ad:1d25087c | 37.081 MB  |      841 |
| mc15_13TeV:DAOD_SUSY2.11134058._000005.pool.root.1 | 6CCE359C-BBCA-B046-81A4-637A998994BC | ad:93189136 | 38.211 MB  |      873 |
| mc15_13TeV:DAOD_SUSY2.11134058._000006.pool.root.1 | 2FF8520A-273D-6B4C-ACB0-330AE7258C9C | ad:a350c514 | 38.184 MB  |      854 |
| mc15_13TeV:DAOD_SUSY2.11134058._000007.pool.root.1 | 0474CE38-80AC-6C47-9D04-9E5C1E317B3E | ad:fbab66d4 | 36.399 MB  |      835 |
| mc15_13TeV:DAOD_SUSY2.11134058._000008.pool.root.1 | DC9DF8C9-424F-0C4C-AA04-8A5AF59AEF70 | ad:8f34bd57 | 39.941 MB  |      907 |
| mc15_13TeV:DAOD_SUSY2.11134058._000009.pool.root.1 | 5BC4296E-108D-7C40-8605-4027AC6A0F4C | ad:cdb909e1 | 33.773 MB  |      784 |
| mc15_13TeV:DAOD_SUSY2.11134058._000010.pool.root.1 | CD96E21F-34A7-934E-B4BA-2FCA3579F9EC | ad:05c53142 | 38.276 MB  |      882 |
| mc15_13TeV:DAOD_SUSY2.11134058._000011.pool.root.1 | 7297E00D-0DC7-9A4D-A474-CD220CC18689 | ad:de5e616c | 146.772 MB |     3449 |
| mc15_13TeV:DAOD_SUSY2.11134058._000012.pool.root.1 | F9746D95-BB5A-464C-872D-487438EB858B | ad:071021c5 | 146.665 MB |     3427 |
| mc15_13TeV:DAOD_SUSY2.11134058._000013.pool.root.1 | B41DBFCD-1350-F548-98EE-3F5362420B8A | ad:0d94ee77 | 149.643 MB |     3506 |
