+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134066._000001.pool.root.1 | 0714D90C-A0CA-7B40-B925-5110F4AFAEF5 | ad:c380c56a | 78.243 MB  |     1565 |
| mc15_13TeV:DAOD_SUSY2.11134066._000002.pool.root.1 | 260B64A2-FC57-C743-B5A0-2F1824FB4C7A | ad:1535a706 | 76.091 MB  |     1531 |
| mc15_13TeV:DAOD_SUSY2.11134066._000003.pool.root.1 | 7622EBB3-6C87-FA45-A849-6F380E07652D | ad:59377e79 | 75.133 MB  |     1511 |
| mc15_13TeV:DAOD_SUSY2.11134066._000004.pool.root.1 | 20CC06D9-52E2-4947-9474-9ADF107A0356 | ad:2a2d0e6d | 72.899 MB  |     1487 |
| mc15_13TeV:DAOD_SUSY2.11134066._000005.pool.root.1 | 5CA6F5C0-3EF5-F843-90EE-4129B32092CE | ad:2cee8891 | 77.159 MB  |     1564 |
| mc15_13TeV:DAOD_SUSY2.11134066._000006.pool.root.1 | 73B14479-EF63-F94F-B39B-5BEE887F5478 | ad:b82d3c69 | 76.645 MB  |     1536 |
| mc15_13TeV:DAOD_SUSY2.11134066._000007.pool.root.1 | 9A6D3732-9287-5A4E-B6B1-65CBC496FA6A | ad:fef1f935 | 73.616 MB  |     1501 |
| mc15_13TeV:DAOD_SUSY2.11134066._000008.pool.root.1 | CBA10E5F-BCE2-5E42-B11F-6F8878E7594A | ad:1a4e75cb | 79.359 MB  |     1595 |
| mc15_13TeV:DAOD_SUSY2.11134066._000009.pool.root.1 | 33A4813F-C712-5440-AD29-1D4799BB1E96 | ad:56dc97c8 | 76.474 MB  |     1534 |
| mc15_13TeV:DAOD_SUSY2.11134066._000010.pool.root.1 | 25B6668E-F86E-2545-8E18-CA4DCFD19BA4 | ad:0d3856a3 | 74.689 MB  |     1495 |
| mc15_13TeV:DAOD_SUSY2.11134066._000011.pool.root.1 | 0B3C7F1A-5796-694E-ABC6-C1C2DD743D83 | ad:dd28575a | 297.104 MB |     6064 |
