+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134091._000001.pool.root.1 | 95B090E9-32BF-7F4E-B9FD-7233ACC5F564 | ad:a258befb | 911.757 kB |       10 |
| mc15_13TeV:DAOD_SUSY2.11134091._000002.pool.root.1 | FEE51E02-8879-674A-A1DC-D01C89CAD7D1 | ad:129a417c | 1.104 MB   |       17 |
| mc15_13TeV:DAOD_SUSY2.11134091._000003.pool.root.1 | 93E856C5-CB74-2E4B-B8A4-789C0CB01DE7 | ad:95060a1a | 1.012 MB   |       12 |
| mc15_13TeV:DAOD_SUSY2.11134091._000004.pool.root.1 | 018058C3-A2B6-234D-8BE1-0F1F7AE26AB6 | ad:f1513867 | 908.236 kB |       11 |
| mc15_13TeV:DAOD_SUSY2.11134091._000005.pool.root.1 | E1B32715-C37E-C141-B6BB-65B9D2042F17 | ad:64dae0fb | 808.647 kB |        8 |
| mc15_13TeV:DAOD_SUSY2.11134091._000006.pool.root.1 | 0EC2496C-9421-5948-A21B-8702E22F1A23 | ad:66539014 | 1.068 MB   |       14 |
| mc15_13TeV:DAOD_SUSY2.11134091._000007.pool.root.1 | 40C2D36B-FA3C-D243-899D-8B9E98A6F625 | ad:8acf2296 | 897.589 kB |        9 |
| mc15_13TeV:DAOD_SUSY2.11134091._000008.pool.root.1 | 127A1AC6-B9C5-0C49-9015-4C1FDDDA8D6E | ad:87880b12 | 989.401 kB |       12 |
| mc15_13TeV:DAOD_SUSY2.11134091._000009.pool.root.1 | EBA71284-CBE6-204E-A398-567A64FDFC4D | ad:6bdf6616 | 741.802 kB |        5 |
| mc15_13TeV:DAOD_SUSY2.11134091._000010.pool.root.1 | 6757A6C9-E7D3-154D-92CA-D770BD03BA92 | ad:1e3be31c | 878.230 kB |        9 |
| mc15_13TeV:DAOD_SUSY2.11134091._000011.pool.root.1 | C8BC8D07-B13C-6F45-89CE-F7BD7C076BBB | ad:ea1ad04b | 4.004 MB   |      105 |
| mc15_13TeV:DAOD_SUSY2.11134091._000012.pool.root.1 | 5E2EA766-C7DC-4C4C-A22B-71F5ECF888BC | ad:f516f32b | 3.161 MB   |       84 |
| mc15_13TeV:DAOD_SUSY2.11134091._000013.pool.root.1 | 8D33CC7C-BB26-F241-A81E-E04BDA14C38A | ad:0e125aec | 2.883 MB   |       74 |
