+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134112._000001.pool.root.1 | E9C76D08-10A9-F549-8872-0BDD68EDBA9C | ad:62f9447a | 1.600 MB   |       33 |
| mc15_13TeV:DAOD_SUSY2.11134112._000002.pool.root.1 | 01171364-B0E6-2946-9B55-A562D5CB7AD0 | ad:cfd9b9d4 | 1.099 MB   |       16 |
| mc15_13TeV:DAOD_SUSY2.11134112._000003.pool.root.1 | BFEE0D42-38B7-AF48-BE02-F6C053B7180E | ad:a9fa9068 | 1.178 MB   |       17 |
| mc15_13TeV:DAOD_SUSY2.11134112._000004.pool.root.1 | 79FB3A7C-3540-534C-A2D2-4C4B1A2688A8 | ad:d9e1c62d | 1.615 MB   |       32 |
| mc15_13TeV:DAOD_SUSY2.11134112._000005.pool.root.1 | CADE3E06-1166-F945-BEF8-A3FC45227A63 | ad:9930fe06 | 1.436 MB   |       26 |
| mc15_13TeV:DAOD_SUSY2.11134112._000006.pool.root.1 | BD3BEE8F-0AF8-984C-81CA-7D98F06950FA | ad:0c524ce4 | 1.679 MB   |       32 |
| mc15_13TeV:DAOD_SUSY2.11134112._000007.pool.root.1 | 9C798D08-A102-8B4C-84A1-6B8C447DBB56 | ad:b340e591 | 1.410 MB   |       25 |
| mc15_13TeV:DAOD_SUSY2.11134112._000008.pool.root.1 | 575B48A2-4066-3E45-B4FC-3F8DFBC15CA2 | ad:5a69439d | 1.638 MB   |       31 |
| mc15_13TeV:DAOD_SUSY2.11134112._000009.pool.root.1 | 802C8AB5-8F8E-9743-BC01-CEEE8DAC76E6 | ad:a258c63d | 1.724 MB   |       38 |
| mc15_13TeV:DAOD_SUSY2.11134112._000010.pool.root.1 | AB22C045-2C22-0D45-9807-38341F34C33E | ad:5a1cafe1 | 1.605 MB   |       31 |
| mc15_13TeV:DAOD_SUSY2.11134112._000011.pool.root.1 | 0A25F905-FF81-CD43-9634-04CE5D866E80 | ad:7f5cca95 | 6.924 MB   |      207 |
| mc15_13TeV:DAOD_SUSY2.11134112._000012.pool.root.1 | 6FE1B4D7-222E-D544-8BF5-1FD50456CEE8 | ad:0f61862b | 6.925 MB   |      207 |
