+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134210._000001.pool.root.1 | 74442BE9-5F3B-BB4D-BD3B-2DE267BC7AB7 | ad:fcde7472 | 5.514 MB   |      134 |
| mc15_13TeV:DAOD_SUSY2.11134210._000002.pool.root.1 | 7C4A269F-DC49-184E-AB88-C595656E24FC | ad:5db72500 | 5.512 MB   |      130 |
| mc15_13TeV:DAOD_SUSY2.11134210._000003.pool.root.1 | A9883F1C-4C4E-8C42-AD48-85261041AF6C | ad:b1d051b1 | 4.944 MB   |      114 |
| mc15_13TeV:DAOD_SUSY2.11134210._000004.pool.root.1 | 50537356-A8B0-0848-905B-CD47D3F1CE1B | ad:fb99bf89 | 5.202 MB   |      122 |
| mc15_13TeV:DAOD_SUSY2.11134210._000005.pool.root.1 | 92213065-6AB2-0B4F-A866-A3551C339710 | ad:b3edfc60 | 5.474 MB   |      135 |
| mc15_13TeV:DAOD_SUSY2.11134210._000006.pool.root.1 | D3A64B5E-B89A-7449-9E46-75012D9383DE | ad:b2682200 | 5.536 MB   |      136 |
| mc15_13TeV:DAOD_SUSY2.11134210._000007.pool.root.1 | 2BA9509A-9848-464B-9725-15169272BAE4 | ad:ac7cfbe0 | 5.853 MB   |      143 |
| mc15_13TeV:DAOD_SUSY2.11134210._000008.pool.root.1 | 22C419B6-5EE6-3D48-9D69-48242EB86A1E | ad:2d035cd5 | 5.561 MB   |      136 |
| mc15_13TeV:DAOD_SUSY2.11134210._000009.pool.root.1 | D695609D-F838-CF4B-A2FD-645183148226 | ad:3ac350b9 | 5.418 MB   |      129 |
| mc15_13TeV:DAOD_SUSY2.11134210._000010.pool.root.1 | FEF3DD04-579B-D842-96BA-A4B4ED18A62E | ad:672610a9 | 5.264 MB   |      127 |
