+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134052._000001.pool.root.1 | 97984F98-5727-6844-B37A-C6FEDDE0C435 | ad:0af3703b | 11.816 MB  |      257 |
| mc15_13TeV:DAOD_SUSY2.11134052._000002.pool.root.1 | DD8DB3F8-4ACC-2C41-9C64-52601D0F4AC3 | ad:5fb25107 | 12.074 MB  |      261 |
| mc15_13TeV:DAOD_SUSY2.11134052._000003.pool.root.1 | A65D311F-592D-C840-89EB-7030D2B8B7EB | ad:308cb461 | 12.239 MB  |      262 |
| mc15_13TeV:DAOD_SUSY2.11134052._000004.pool.root.1 | B9D6111B-995D-414F-9B3A-FF857E3F5848 | ad:c0658f5f | 12.082 MB  |      253 |
| mc15_13TeV:DAOD_SUSY2.11134052._000005.pool.root.1 | AC6CC240-2D80-0C44-82F0-DE3B96E20683 | ad:56393760 | 12.074 MB  |      261 |
| mc15_13TeV:DAOD_SUSY2.11134052._000006.pool.root.1 | 56623B24-DB6B-374E-A1B1-9CD82D2D3034 | ad:81b07f83 | 11.972 MB  |      262 |
| mc15_13TeV:DAOD_SUSY2.11134052._000007.pool.root.1 | 912AE325-5E9F-1D4C-82AA-E7A799402997 | ad:d0a13a1e | 11.630 MB  |      249 |
| mc15_13TeV:DAOD_SUSY2.11134052._000008.pool.root.1 | 200D918D-508B-694E-B782-57BD8DA03A47 | ad:1fe505a9 | 12.383 MB  |      265 |
| mc15_13TeV:DAOD_SUSY2.11134052._000009.pool.root.1 | 847D9B0F-661E-D343-B245-5C6C45A66A0B | ad:01725966 | 11.883 MB  |      254 |
| mc15_13TeV:DAOD_SUSY2.11134052._000010.pool.root.1 | C810B36F-64DA-004C-BEF5-39C106B2BB3D | ad:d9ed46a9 | 12.656 MB  |      279 |
| mc15_13TeV:DAOD_SUSY2.11134052._000011.pool.root.1 | 9BF5B1F9-3DF7-D141-B2F0-57A451B36C94 | ad:3ce2e960 | 56.998 MB  |     1310 |
| mc15_13TeV:DAOD_SUSY2.11134052._000012.pool.root.1 | 80FDDFD2-E311-1A44-97EF-BCDB37D40307 | ad:019257a2 | 57.273 MB  |     1325 |
| mc15_13TeV:DAOD_SUSY2.11134052._000013.pool.root.1 | A1CDA332-6FD3-574D-BB12-6CD7782D4E3C | ad:e291244a | 57.785 MB  |     1344 |
| mc15_13TeV:DAOD_SUSY2.11134052._000014.pool.root.1 | F05023DA-4FF8-4C46-9124-5794373BF6FD | ad:ea52abe8 | 57.691 MB  |     1334 |
| mc15_13TeV:DAOD_SUSY2.11134052._000015.pool.root.1 | 344A9CA1-49BC-D14D-B0C1-DBBC88B54544 | ad:b71f0b24 | 55.676 MB  |     1309 |
| mc15_13TeV:DAOD_SUSY2.11134052._000016.pool.root.1 | 08A73E53-144C-D944-8B00-3F8C4631D839 | ad:9479b9b3 | 58.228 MB  |     1344 |
| mc15_13TeV:DAOD_SUSY2.11134052._000017.pool.root.1 | E3020E51-B333-1B4D-A9F8-EF2FCBF77C6F | ad:73a04b97 | 59.103 MB  |     1358 |
| mc15_13TeV:DAOD_SUSY2.11134052._000018.pool.root.1 | D912D43C-0D7E-BE42-8FD3-BA97C2761B75 | ad:26ae2e6f | 56.384 MB  |     1307 |
| mc15_13TeV:DAOD_SUSY2.11134052._000019.pool.root.1 | DD3F0CE4-35C4-524D-AAB9-9C272CFDCDF4 | ad:3596acc5 | 58.685 MB  |     1337 |
| mc15_13TeV:DAOD_SUSY2.11134052._000020.pool.root.1 | F934A8A5-084C-2741-B25A-A61ACC2BE1AC | ad:2caa6a75 | 58.287 MB  |     1340 |
| mc15_13TeV:DAOD_SUSY2.11134052._000021.pool.root.1 | 44D62806-28CB-5E49-AC7A-1DC5E5C00181 | ad:d762b517 | 57.951 MB  |     1334 |
| mc15_13TeV:DAOD_SUSY2.11134052._000022.pool.root.1 | 789EC88C-A998-D64C-8AF4-9DB14A11A5A1 | ad:43cdd802 | 57.313 MB  |     1315 |
| mc15_13TeV:DAOD_SUSY2.11134052._000023.pool.root.1 | 0CCAF467-AED6-5841-AF77-AA9FC5C90328 | ad:7ba67dfc | 58.201 MB  |     1350 |
| mc15_13TeV:DAOD_SUSY2.11134052._000024.pool.root.1 | D6ADB6FA-A3BD-2543-97EE-20C270A91610 | ad:37469f2c | 58.136 MB  |     1344 |
| mc15_13TeV:DAOD_SUSY2.11134052._000025.pool.root.1 | C5BEF469-92A0-F242-88EE-93474245211C | ad:be52d48c | 57.405 MB  |     1311 |
| mc15_13TeV:DAOD_SUSY2.11134052._000026.pool.root.1 | 1E7394F9-0993-B44F-AF76-3EAD58113BD8 | ad:89d79892 | 59.240 MB  |     1386 |
| mc15_13TeV:DAOD_SUSY2.11134052._000027.pool.root.1 | C3426381-1E0B-D341-8A1A-87910099E90C | ad:96e53227 | 58.155 MB  |     1347 |
| mc15_13TeV:DAOD_SUSY2.11134052._000028.pool.root.1 | DF762754-2485-2842-8040-1B5F0A31CA6B | ad:c7afb7f8 | 62.044 MB  |     1420 |
