+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11134304._000001.pool.root.1 | 46060738-350F-1E42-82B7-8A07FAE55C32 | ad:e2be17d7 | 30.780 MB  |      605 |
| mc15_13TeV:DAOD_SUSY2.11134304._000002.pool.root.1 | A3D14800-448D-CC42-AADB-DD2081A0BA55 | ad:8f71d1f8 | 30.003 MB  |      581 |
| mc15_13TeV:DAOD_SUSY2.11134304._000003.pool.root.1 | 0B09AB13-1546-D945-8E51-75D69E148326 | ad:07d55b0a | 29.273 MB  |      569 |
| mc15_13TeV:DAOD_SUSY2.11134304._000004.pool.root.1 | EA6D06C2-7EFF-C047-813C-3803979D906C | ad:d3bf2353 | 28.877 MB  |      562 |
| mc15_13TeV:DAOD_SUSY2.11134304._000005.pool.root.1 | 958300A2-9693-9B48-B3D2-E91CF40665BF | ad:baffe017 | 30.095 MB  |      594 |
| mc15_13TeV:DAOD_SUSY2.11134304._000006.pool.root.1 | C12EFD99-6034-A542-86AD-A86AEA282D77 | ad:b9b8e8a9 | 29.686 MB  |      579 |
| mc15_13TeV:DAOD_SUSY2.11134304._000007.pool.root.1 | A5FB7D67-EC0A-4249-9EF4-1435A57ED0A3 | ad:6d73a418 | 31.982 MB  |      616 |
| mc15_13TeV:DAOD_SUSY2.11134304._000008.pool.root.1 | CED68763-04A8-204E-94BB-968734987225 | ad:d56b7c51 | 29.532 MB  |      576 |
| mc15_13TeV:DAOD_SUSY2.11134304._000009.pool.root.1 | 5978AB31-7456-B243-B02B-FB38AC64EE2D | ad:df8b48c4 | 30.276 MB  |      586 |
| mc15_13TeV:DAOD_SUSY2.11134304._000010.pool.root.1 | 41CFA8DC-25CC-7746-B63D-951D33740C8E | ad:c0ade3fe | 29.649 MB  |      582 |
| mc15_13TeV:DAOD_SUSY2.11134304._000011.pool.root.1 | 8F5C8F1E-1BF0-0E46-B1BA-DA526594F6E7 | ad:604b9dc3 | 114.109 MB |     2290 |
| mc15_13TeV:DAOD_SUSY2.11134304._000012.pool.root.1 | EFA3C8CF-402B-E740-A2DA-B84604D28B3E | ad:2cc1703a | 116.891 MB |     2357 |
