+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11085112._000011.pool.root.1 | 5071F2E4-1329-7D4A-AE4E-F323EB31BE3A | ad:0e632e49 | 595.299 kB |        1 |
| mc15_13TeV:DAOD_SUSY2.11085112._000012.pool.root.1 | 9ACFCBE1-F9A6-6A49-8D59-367B1525A2B9 | ad:cf879625 | 362.598 kB |        0 |
| mc15_13TeV:DAOD_SUSY2.11085112._000013.pool.root.1 | D6311885-B34D-CE4E-8B12-1DA86A02EC90 | ad:76ef10bd | 594.349 kB |        1 |
| mc15_13TeV:DAOD_SUSY2.11085112._000014.pool.root.1 | 7D6AC1E6-A9AF-EA4B-97E8-4347FCC0F743 | ad:ea05ff78 | 362.593 kB |        0 |
| mc15_13TeV:DAOD_SUSY2.11085112._000015.pool.root.1 | 9A826EA2-C787-7447-AE14-B11BC2F9806A | ad:abd18afb | 586.464 kB |        1 |
| mc15_13TeV:DAOD_SUSY2.11085112._000016.pool.root.1 | DEB279A2-CA4B-C447-8476-E4F114C8812C | ad:ae30686a | 654.757 kB |        3 |
| mc15_13TeV:DAOD_SUSY2.11085112._000017.pool.root.1 | A3316D52-B272-7146-9B05-35A92B8AC0CA | ad:53af55d0 | 636.571 kB |        2 |
| mc15_13TeV:DAOD_SUSY2.11085112._000018.pool.root.1 | 1017530D-7D47-1845-9EF6-C535A4A86E10 | ad:36eece49 | 599.557 kB |        1 |
| mc15_13TeV:DAOD_SUSY2.11085112._000019.pool.root.1 | E45427BA-EB65-0748-81E1-3580A9BA70C7 | ad:d0ebb357 | 362.612 kB |        0 |
| mc15_13TeV:DAOD_SUSY2.11085112._000020.pool.root.1 | 8E88ABD8-1B47-EF47-A6DB-4A0464648C80 | ad:3aa9493b | 362.585 kB |        0 |
| mc15_13TeV:DAOD_SUSY2.11085112._000021.pool.root.1 | 6B6CA2A9-A091-7240-A1AA-ADEEB5DA2316 | ad:26ab000f | 1.070 MB   |       15 |
| mc15_13TeV:DAOD_SUSY2.11085112._000022.pool.root.1 | 777DB4EE-E6DB-8D49-9A14-A4B9B851E8AB | ad:fa11db22 | 964.569 kB |       13 |
| mc15_13TeV:DAOD_SUSY2.11085112._000023.pool.root.1 | 7BD5D656-47BF-4145-95B5-5F05F5352786 | ad:37e3b6f2 | 1.056 MB   |       15 |
| mc15_13TeV:DAOD_SUSY2.11085112._000024.pool.root.1 | D1A31BBF-1EA5-C74F-9C1C-8636202710F2 | ad:c61248f4 | 913.714 kB |       10 |
| mc15_13TeV:DAOD_SUSY2.11085112._000025.pool.root.1 | 76849476-4263-A845-83F7-9F99DF1A21DE | ad:de8b20c8 | 775.298 kB |        7 |
| mc15_13TeV:DAOD_SUSY2.11085112._000026.pool.root.1 | F8CAE57F-A7E8-A84B-92D9-4462C96FCA61 | ad:9bd3a139 | 1.092 MB   |       17 |
| mc15_13TeV:DAOD_SUSY2.11085112._000027.pool.root.1 | 8A399BAC-E20A-B648-8D3C-1AA075F40AC7 | ad:5416eadc | 802.603 kB |        7 |
| mc15_13TeV:DAOD_SUSY2.11085112._000028.pool.root.1 | 1422ADC1-FB49-914A-AFCB-0DA81A63AA27 | ad:64430cd1 | 894.165 kB |       10 |
| mc15_13TeV:DAOD_SUSY2.11085112._000029.pool.root.1 | F3CDCF8D-BDB2-1346-8484-7FE8C64A2517 | ad:3c9b405c | 776.969 kB |        7 |
| mc15_13TeV:DAOD_SUSY2.11085112._000030.pool.root.1 | 06AAC62B-BB7D-D34C-99F0-2E2F343C94C4 | ad:7dfeadaf | 838.939 kB |        8 |
