+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.10749084._000001.pool.root.1 | 2EF3E267-1B04-1F48-81E2-EF74C5470790 | ad:8a5f15fa | 75.724 MB  |     2063 |
| mc15_13TeV:DAOD_SUSY2.10749084._000002.pool.root.1 | 055AAC5F-1B2F-F44D-BAA3-9870D40B8FBA | ad:53c1f7c8 | 75.617 MB  |     2059 |
| mc15_13TeV:DAOD_SUSY2.10749084._000003.pool.root.1 | EFFF14C5-083D-564D-B15D-D20853B58E2E | ad:96e78f02 | 76.986 MB  |     2090 |
| mc15_13TeV:DAOD_SUSY2.10749084._000004.pool.root.1 | 88564FF7-086A-3B40-AAEA-642181C858F3 | ad:5860ed32 | 76.314 MB  |     2061 |
| mc15_13TeV:DAOD_SUSY2.10749084._000005.pool.root.1 | 14BF632C-9944-C243-A6F9-30AA4F9DD4B1 | ad:aaf5fa33 | 77.672 MB  |     2100 |
| mc15_13TeV:DAOD_SUSY2.10749084._000006.pool.root.1 | D0B96E5C-E886-F14A-95AD-BD11CCB98C58 | ad:749eda00 | 76.435 MB  |     2069 |
| mc15_13TeV:DAOD_SUSY2.10749084._000007.pool.root.1 | 6B9DF334-1233-9D49-A34C-AE0ECA59DDED | ad:3753fc20 | 76.402 MB  |     2057 |
| mc15_13TeV:DAOD_SUSY2.10749084._000008.pool.root.1 | BE7DAD88-B61C-1B44-8B5C-231CF9183ACF | ad:e3bec5b9 | 76.845 MB  |     2075 |
| mc15_13TeV:DAOD_SUSY2.10749084._000009.pool.root.1 | 85501B17-00D9-9C4D-AEE2-FF61C90B07A9 | ad:cd4bd44c | 76.309 MB  |     2079 |
| mc15_13TeV:DAOD_SUSY2.10749084._000010.pool.root.1 | 9603AF60-C272-D440-B0E1-722E1986BBA5 | ad:168f0f6c | 75.515 MB  |     2067 |
| mc15_13TeV:DAOD_SUSY2.10749084._000011.pool.root.1 | 0B95C16A-0F90-B046-AE8F-2B2429DE9580 | ad:8e76d6ca | 298.202 MB |     8213 |
| mc15_13TeV:DAOD_SUSY2.10749084._000012.pool.root.1 | 73142B99-E626-604B-9322-A35D1333626E | ad:1066d8db | 304.936 MB |     8375 |
| mc15_13TeV:DAOD_SUSY2.10749084._000013.pool.root.1 | 0DFFFDBA-48A8-D340-BCA5-9058CB8A6B99 | ad:f0e70580 | 299.349 MB |     8234 |
| mc15_13TeV:DAOD_SUSY2.10749084._000014.pool.root.1 | 0CBB8723-68EA-3447-B7F7-D3673B02A4DD | ad:fad69a62 | 304.815 MB |     8335 |
