+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11460134._000001.pool.root.1 | 7C73FCF9-E44B-B24D-8B32-8477A8021D0F | ad:6a355d25 | 25.396 MB  |      797 |
| mc15_13TeV:DAOD_SUSY2.11460134._000002.pool.root.1 | CF9B24A7-A90B-3647-ACD5-48F9967F0F46 | ad:8f92117a | 25.154 MB  |      787 |
| mc15_13TeV:DAOD_SUSY2.11460134._000003.pool.root.1 | 6D34A142-DB47-2D41-A055-E466A2AB6188 | ad:bdbde624 | 25.095 MB  |      794 |
| mc15_13TeV:DAOD_SUSY2.11460134._000004.pool.root.1 | 9196BA0A-AD6F-BB47-9622-B9FDBEFABBFD | ad:62f10e4e | 24.881 MB  |      786 |
| mc15_13TeV:DAOD_SUSY2.11460134._000005.pool.root.1 | C34FFDEF-9E39-0549-B3DD-75AB432DCEE3 | ad:16f8b222 | 26.122 MB  |      814 |
| mc15_13TeV:DAOD_SUSY2.11460134._000006.pool.root.1 | 4AA991CF-6ED9-DE4B-A4EE-3317F2132B41 | ad:26e9b32c | 25.010 MB  |      793 |
| mc15_13TeV:DAOD_SUSY2.11460134._000007.pool.root.1 | 065014F9-B693-6A4F-B04C-AE0FDD1538B0 | ad:5f4dc135 | 26.297 MB  |      808 |
| mc15_13TeV:DAOD_SUSY2.11460134._000008.pool.root.1 | 5D20D331-B57E-EC4A-9CC7-2CE588E8CFD2 | ad:46612f7e | 25.389 MB  |      797 |
| mc15_13TeV:DAOD_SUSY2.11460134._000009.pool.root.1 | 6B4F924E-9FC0-E146-A5C2-5F4181509012 | ad:1ec07771 | 25.838 MB  |      809 |
| mc15_13TeV:DAOD_SUSY2.11460134._000010.pool.root.1 | 597F4090-5E2F-0F44-84EB-F8C7E51DC198 | ad:f58d91d7 | 26.596 MB  |      815 |
| mc15_13TeV:DAOD_SUSY2.11460134._000011.pool.root.1 | 204916BC-095F-2947-B9C2-777967E9BC6C | ad:90eaf0ef | 148.166 MB |     4779 |
| mc15_13TeV:DAOD_SUSY2.11460134._000012.pool.root.1 | 55572CE4-54AB-9F47-9D0C-E272C7C44615 | ad:c941b767 | 144.104 MB |     4662 |
| mc15_13TeV:DAOD_SUSY2.11460134._000013.pool.root.1 | B9B8EC7D-F591-F543-B580-EA48DEC9B4FA | ad:45892002 | 146.810 MB |     4727 |
| mc15_13TeV:DAOD_SUSY2.11460134._000014.pool.root.1 | 1BDA8F6B-3EDF-334F-B205-B08056EF86DF | ad:baaf4ead | 144.536 MB |     4670 |
| mc15_13TeV:DAOD_SUSY2.11460134._000015.pool.root.1 | 6DAE875A-C2C7-5045-87D0-F138025E1183 | ad:e2c6df82 | 147.286 MB |     4779 |
| mc15_13TeV:DAOD_SUSY2.11460134._000016.pool.root.1 | 00A0EBCB-FB69-D148-A250-903C11922276 | ad:6e5ae382 | 146.315 MB |     4737 |
| mc15_13TeV:DAOD_SUSY2.11460134._000017.pool.root.1 | C334BD0A-7F4F-FD41-82AF-B49D1E65F8E4 | ad:88e60c1a | 145.340 MB |     4721 |
| mc15_13TeV:DAOD_SUSY2.11460134._000018.pool.root.1 | 3FE7435B-019F-6D44-8A7A-5075A32DC8A6 | ad:03c282c6 | 147.893 MB |     4744 |
| mc15_13TeV:DAOD_SUSY2.11460134._000019.pool.root.1 | A82D2640-F4F8-054F-A65F-2DEE14ED6E24 | ad:6585ccfa | 145.547 MB |     4702 |
| mc15_13TeV:DAOD_SUSY2.11460134._000020.pool.root.1 | 6EE2E5A5-05BD-274C-A5B7-D5A750EEABBF | ad:e79863e5 | 141.987 MB |     4599 |
| mc15_13TeV:DAOD_SUSY2.11460134._000021.pool.root.1 | AE17DE23-73F2-3E46-88AF-687B8C623856 | ad:e2becb15 | 143.604 MB |     4616 |
| mc15_13TeV:DAOD_SUSY2.11460134._000022.pool.root.1 | B3761CA9-68A5-314D-B6B3-0C0CA4136F34 | ad:e6e7584e | 143.799 MB |     4676 |
| mc15_13TeV:DAOD_SUSY2.11460134._000023.pool.root.1 | 3FEF51AE-258D-BC46-81E5-DEBE7DA88C3F | ad:cb637e3c | 140.551 MB |     4557 |
| mc15_13TeV:DAOD_SUSY2.11460134._000024.pool.root.1 | 93A490E2-38D3-AA49-B609-1A2438C418FB | ad:09652d58 | 141.322 MB |     4578 |
| mc15_13TeV:DAOD_SUSY2.11460134._000025.pool.root.1 | 862FD0D8-6929-7C44-B7F1-ADADF4AF9B24 | ad:5e416da6 | 137.755 MB |     4425 |
| mc15_13TeV:DAOD_SUSY2.11460131._000001.pool.root.1 | 6D2B58F5-9EAC-C345-B470-A06D2FDB7234 | ad:0a1b60c8 | 25.593 MB  |      794 |
| mc15_13TeV:DAOD_SUSY2.11460131._000002.pool.root.1 | AF4AAD5F-4CDB-6F4A-9BEE-8269C52A7EA7 | ad:ee2c43a5 | 25.718 MB  |      807 |
| mc15_13TeV:DAOD_SUSY2.11460131._000003.pool.root.1 | 0BE6CAF3-9A04-5E4D-B568-3306618F2DCB | ad:febc504a | 24.548 MB  |      763 |
| mc15_13TeV:DAOD_SUSY2.11460131._000004.pool.root.1 | 04B8D9CE-92D1-7E4B-9A31-541F96300AAF | ad:ebb2a75c | 26.035 MB  |      810 |
| mc15_13TeV:DAOD_SUSY2.11460131._000005.pool.root.1 | 7F399CA5-B5E1-5C4B-9578-A91AB6B9EDFC | ad:2c3cc746 | 24.798 MB  |      764 |
| mc15_13TeV:DAOD_SUSY2.11460131._000006.pool.root.1 | 8B806F4D-7590-3A44-90A4-490D1A7C141F | ad:ded79f56 | 24.710 MB  |      775 |
| mc15_13TeV:DAOD_SUSY2.11460131._000007.pool.root.1 | BF6BBA1B-346E-7347-8FD5-1970B513CA29 | ad:2d50b183 | 26.153 MB  |      803 |
| mc15_13TeV:DAOD_SUSY2.11460131._000008.pool.root.1 | 673EF74F-0B7A-7148-9B97-B9AEE1B0C1E4 | ad:be148d23 | 23.368 MB  |      739 |
| mc15_13TeV:DAOD_SUSY2.11460131._000009.pool.root.1 | 0146CA3C-9387-B24E-B469-7D7644EB64D5 | ad:72412ec2 | 24.795 MB  |      772 |
| mc15_13TeV:DAOD_SUSY2.11460131._000010.pool.root.1 | 04B8BD9D-7195-F04C-A161-EA401A299A28 | ad:052c61d8 | 26.141 MB  |      816 |
| mc15_13TeV:DAOD_SUSY2.11460131._000011.pool.root.1 | 878BF7BA-58A8-CD4C-B62C-54941EA400D2 | ad:37145b05 | 145.317 MB |     4674 |
| mc15_13TeV:DAOD_SUSY2.11460131._000012.pool.root.1 | 46A9C364-0F72-0047-9D6A-D481B91C5309 | ad:65a99be4 | 142.469 MB |     4613 |
| mc15_13TeV:DAOD_SUSY2.11460131._000013.pool.root.1 | 02A7D770-FB63-B347-BB66-0B76F31A0B60 | ad:5530ce44 | 148.580 MB |     4755 |
| mc15_13TeV:DAOD_SUSY2.11460131._000014.pool.root.1 | 5FADD03D-E5CF-8344-A3C3-44612E0904A6 | ad:bf418ba7 | 148.398 MB |     4774 |
| mc15_13TeV:DAOD_SUSY2.11460131._000015.pool.root.1 | 497A17EC-365F-D943-9B5F-09148420746E | ad:4449017d | 86.514 MB  |     2783 |
| mc15_13TeV:DAOD_SUSY2.11460131._000016.pool.root.1 | 18511BA0-38ED-8E4A-B02A-E4C3C5E075B9 | ad:1404a143 | 145.192 MB |     4689 |
