+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.11460167._000001.pool.root.1 | 4DEB59F4-F48A-7649-8C72-ACF64E4DDA77 | ad:bf272f12 | 25.971 MB  |      806 |
| mc15_13TeV:DAOD_SUSY2.11460167._000002.pool.root.1 | 9DB5FC41-B0FC-9441-8644-E063FB4C501F | ad:5751fc44 | 26.481 MB  |      838 |
| mc15_13TeV:DAOD_SUSY2.11460167._000003.pool.root.1 | DA30F889-9581-A147-9F7C-4B22D2FE02EC | ad:fb0bb4b7 | 23.798 MB  |      757 |
| mc15_13TeV:DAOD_SUSY2.11460167._000004.pool.root.1 | 1D4F1D14-B76F-D849-8FD8-DE5BBFB95E52 | ad:ef5f67e7 | 25.765 MB  |      803 |
| mc15_13TeV:DAOD_SUSY2.11460167._000005.pool.root.1 | 91D3AC88-703C-3F44-A463-587773B1E454 | ad:18c89107 | 26.058 MB  |      811 |
| mc15_13TeV:DAOD_SUSY2.11460167._000006.pool.root.1 | A4B1524A-77E6-7A44-B9DF-45E48061D3C8 | ad:9d5c1b77 | 26.120 MB  |      812 |
| mc15_13TeV:DAOD_SUSY2.11460167._000007.pool.root.1 | FEB13275-7C3B-8B41-B15D-88D432B224AD | ad:95cd1d7f | 26.807 MB  |      828 |
| mc15_13TeV:DAOD_SUSY2.11460167._000008.pool.root.1 | 7EDA8D3E-2A27-134E-8982-B60419BAA68C | ad:43af6b21 | 26.672 MB  |      829 |
| mc15_13TeV:DAOD_SUSY2.11460167._000009.pool.root.1 | 7E4C93A4-9FBD-0F45-8AD1-50641574DD21 | ad:a453e237 | 27.035 MB  |      859 |
| mc15_13TeV:DAOD_SUSY2.11460167._000010.pool.root.1 | 520D87A0-4564-4D41-873D-3BB539058396 | ad:0374e23b | 21.135 MB  |      666 |
| mc15_13TeV:DAOD_SUSY2.11460167._000011.pool.root.1 | 558B713F-5E78-1B46-A688-830F7A720A95 | ad:620caa71 | 153.091 MB |     4944 |
| mc15_13TeV:DAOD_SUSY2.11460167._000012.pool.root.1 | 281713B4-59CA-4E4D-8E3F-A4B3AD46D755 | ad:5803ce5e | 150.371 MB |     4923 |
| mc15_13TeV:DAOD_SUSY2.11460167._000013.pool.root.1 | 73E322EB-C267-084C-8F99-F1635A3682E1 | ad:e34e3774 | 148.634 MB |     4810 |
| mc15_13TeV:DAOD_SUSY2.11460167._000014.pool.root.1 | FB287ACB-2817-E045-842B-F0965C305EE8 | ad:40e898b1 | 150.651 MB |     4903 |
| mc15_13TeV:DAOD_SUSY2.11460167._000015.pool.root.1 | 67E2FB40-F80D-3243-82F0-40001CE250C2 | ad:52e43bc0 | 151.919 MB |     4941 |
| mc15_13TeV:DAOD_SUSY2.11460167._000016.pool.root.1 | 472BEAD1-1F2D-1B48-8EFA-16648C535F6E | ad:c45ced14 | 149.518 MB |     4892 |
| mc15_13TeV:DAOD_SUSY2.11460167._000017.pool.root.1 | 08D18F66-0BDE-1F48-9E46-1F258B26CB92 | ad:9f38d63a | 146.943 MB |     4773 |
| mc15_13TeV:DAOD_SUSY2.11460167._000018.pool.root.1 | A1EF59D8-E210-564D-B1DC-AA99B4A6C00B | ad:04c2b7e7 | 152.585 MB |     4945 |
| mc15_13TeV:DAOD_SUSY2.11460167._000019.pool.root.1 | 0287D300-1996-A04E-B288-72EFE1DE9E60 | ad:3aeb89c9 | 145.444 MB |     4753 |
| mc15_13TeV:DAOD_SUSY2.11460167._000020.pool.root.1 | AA31D601-3866-D045-B84C-61E8D80A94E9 | ad:32070924 | 150.925 MB |     4910 |
| mc15_13TeV:DAOD_SUSY2.11460167._000021.pool.root.1 | 79376885-606C-3041-9E8E-036DDF6E3F3D | ad:dc182906 | 147.057 MB |     4751 |
| mc15_13TeV:DAOD_SUSY2.11460167._000022.pool.root.1 | 323FAA7F-5FCC-0B4E-BF72-6C61FE365782 | ad:f77e2e70 | 151.759 MB |     4911 |
| mc15_13TeV:DAOD_SUSY2.11460167._000024.pool.root.1 | 395468A5-6BE3-2F44-831E-36E948ACFADA | ad:77a1f11a | 146.641 MB |     4748 |
| mc15_13TeV:DAOD_SUSY2.11460167._000025.pool.root.1 | 22AA2D58-5AE8-2D44-9646-48F773EDC881 | ad:dddbc1b3 | 151.550 MB |     4938 |
| mc15_13TeV:DAOD_SUSY2.11460167._000026.pool.root.1 | 9DDBFCAF-0F1D-D44D-8CD8-64A18A009252 | ad:3da7e6aa | 147.978 MB |     4814 |
| mc15_13TeV:DAOD_SUSY2.11460163._000001.pool.root.1 | 04B70ED4-88CC-C947-8FE1-D34CEE5B061D | ad:f7afa83d | 27.127 MB  |      854 |
| mc15_13TeV:DAOD_SUSY2.11460163._000002.pool.root.1 | 61CD81FD-53B3-F647-924C-D277079FB0FF | ad:c2d2c331 | 27.006 MB  |      855 |
| mc15_13TeV:DAOD_SUSY2.11460163._000003.pool.root.1 | 207F105D-1451-FA4A-B0A2-6C3BC465EE5A | ad:704ad1dd | 25.861 MB  |      805 |
