+----------------------------------------------------+--------------------------------------+-------------+------------+----------+
| SCOPE:NAME                                         | GUID                                 | ADLER32     | FILESIZE   |   EVENTS |
|----------------------------------------------------+--------------------------------------+-------------+------------+----------|
| mc15_13TeV:DAOD_SUSY2.10506298._000001.pool.root.1 | F70BEE57-DC8A-154E-92FA-3C7AF3533D24 | ad:7dac3ccd | 117.383 MB |     2281 |
| mc15_13TeV:DAOD_SUSY2.10506298._000002.pool.root.1 | CB734930-D0D0-3149-A37D-46B23E06A165 | ad:48aedcf0 | 117.173 MB |     2279 |
| mc15_13TeV:DAOD_SUSY2.10506298._000003.pool.root.1 | 0476A837-1AD6-694B-9BE5-A573051D5F65 | ad:3423b3f0 | 116.249 MB |     2232 |
| mc15_13TeV:DAOD_SUSY2.10506298._000004.pool.root.1 | 1DAB6D34-53BC-5142-B091-FEF3948A75BA | ad:0367e967 | 115.885 MB |     2252 |
| mc15_13TeV:DAOD_SUSY2.10506298._000005.pool.root.1 | AA17B77E-9C75-1741-B636-1288AFF08288 | ad:3800bc5f | 114.002 MB |     2227 |
| mc15_13TeV:DAOD_SUSY2.10506298._000006.pool.root.1 | E258E62F-9BF1-AA45-A6F8-70521DCF2B45 | ad:dfd905f1 | 115.781 MB |     2253 |
| mc15_13TeV:DAOD_SUSY2.10506298._000007.pool.root.1 | 497D8D54-6E9C-7F4D-AD98-186D43381D5A | ad:43ca3227 | 121.908 MB |     2368 |
| mc15_13TeV:DAOD_SUSY2.10506298._000008.pool.root.1 | 8A65113B-B78B-814B-AC8F-62FB5668893E | ad:269e1e9f | 118.017 MB |     2279 |
| mc15_13TeV:DAOD_SUSY2.10506298._000009.pool.root.1 | B0AFF697-E308-C747-B306-475AAD7B547A | ad:97818dba | 114.741 MB |     2225 |
| mc15_13TeV:DAOD_SUSY2.10506298._000010.pool.root.1 | 4FC60481-76D8-D24E-8037-29F182C87C7C | ad:830cfb7a | 115.674 MB |     2238 |
| mc15_13TeV:DAOD_SUSY2.10506298._000011.pool.root.1 | F225EE4B-49DD-5C48-822A-BAD585B17E37 | ad:ec5a9352 | 454.322 MB |     8950 |
| mc15_13TeV:DAOD_SUSY2.10506298._000012.pool.root.1 | EAA25E85-6E58-5443-9EF1-46ECAFC949A0 | ad:7a7de63f | 452.362 MB |     8865 |
| mc15_13TeV:DAOD_SUSY2.10506298._000013.pool.root.1 | B3CB312E-F38D-7240-A49E-285FE236D9A7 | ad:fa926afe | 465.127 MB |     9117 |
| mc15_13TeV:DAOD_SUSY2.10506298._000014.pool.root.1 | 14876969-04CA-3E45-9402-01DED4B9F487 | ad:ef15eb96 | 452.458 MB |     8906 |
| mc15_13TeV:DAOD_SUSY2.10506298._000015.pool.root.1 | 35102FE3-E084-A247-9C30-8450D04982C3 | ad:22af6514 | 458.010 MB |     8986 |
| mc15_13TeV:DAOD_SUSY2.10506298._000016.pool.root.1 | ABC074F1-6FBD-8C4C-9C1B-5748E1342633 | ad:217af642 | 463.626 MB |     9021 |
| mc15_13TeV:DAOD_SUSY2.10506298._000017.pool.root.1 | 0836A90A-6540-9740-92CE-32F89A3AAF84 | ad:31ceb98f | 463.700 MB |     9093 |
| mc15_13TeV:DAOD_SUSY2.10506298._000018.pool.root.1 | 65D9D434-D5B9-AE45-BCB6-15C8EDCFF600 | ad:bbc0b7a8 | 469.833 MB |     9206 |
| mc15_13TeV:DAOD_SUSY2.10506298._000019.pool.root.1 | E25C7C1C-236D-5F46-BCE1-5DD2C680E23C | ad:b67332e8 | 463.891 MB |     9104 |
| mc15_13TeV:DAOD_SUSY2.10506298._000020.pool.root.1 | 61807857-9B18-2549-8EEA-8121770EA0F7 | ad:d0af9a40 | 463.907 MB |     9077 |
| mc15_13TeV:DAOD_SUSY2.10506298._000021.pool.root.1 | 905DCC11-2041-D347-A536-FC4E7CB73642 | ad:00d230b0 | 461.662 MB |     9058 |
| mc15_13TeV:DAOD_SUSY2.10506298._000022.pool.root.1 | 3C447158-1B54-DA4A-BEF2-41AE70D23F94 | ad:4fbda820 | 457.403 MB |     8968 |
| mc15_13TeV:DAOD_SUSY2.10506298._000023.pool.root.1 | F039FDF0-8273-CD4E-9867-F3DF7ADAB622 | ad:7a1d9ec4 | 457.147 MB |     8979 |
| mc15_13TeV:DAOD_SUSY2.10506298._000024.pool.root.1 | 3456DF4C-FF95-094E-B28B-4DBCD8D1072B | ad:43678ad1 | 453.912 MB |     8917 |
| mc15_13TeV:DAOD_SUSY2.10506298._000025.pool.root.1 | 0D8E5B20-2322-F449-9EDA-7E5F85F89284 | ad:f23a53c6 | 464.200 MB |     9130 |
| mc15_13TeV:DAOD_SUSY2.10506298._000026.pool.root.1 | B76C6D5F-E79C-F046-B91D-11661CF19246 | ad:8f01bcb8 | 455.342 MB |     8978 |
| mc15_13TeV:DAOD_SUSY2.10506298._000027.pool.root.1 | 98F01721-C62E-4047-9FC9-69D5BFAFDE3F | ad:396779bc | 465.920 MB |     9108 |
| mc15_13TeV:DAOD_SUSY2.10506298._000028.pool.root.1 | D085B7A1-D782-4A49-8954-2CC1A7D0E794 | ad:cde87daa | 461.151 MB |     9036 |
| mc15_13TeV:DAOD_SUSY2.10506298._000029.pool.root.1 | 213B370C-50E2-F64D-9571-19487E875253 | ad:f2b10a60 | 457.570 MB |     9007 |
| mc15_13TeV:DAOD_SUSY2.10506298._000030.pool.root.1 | E6002BDC-FA6B-E94E-B74D-906BE5AB10FB | ad:a09634c5 | 459.212 MB |     9018 |
| mc15_13TeV:DAOD_SUSY2.10506298._000031.pool.root.1 | A9E62EE7-23C6-F14F-935A-4CA9660B8577 | ad:981b6f3e | 468.335 MB |     9199 |
| mc15_13TeV:DAOD_SUSY2.10506298._000032.pool.root.1 | 77F7FFD9-D0F7-4949-AE24-FAD88D0EAB85 | ad:44731d60 | 456.799 MB |     8965 |
| mc15_13TeV:DAOD_SUSY2.10506298._000033.pool.root.1 | 624B05B8-AE21-6C4F-8762-61B1ED023F76 | ad:fe623a4f | 464.313 MB |     9099 |
| mc15_13TeV:DAOD_SUSY2.10506298._000034.pool.root.1 | E8D961D5-F968-C345-A488-F106CE3815E8 | ad:77af22ea | 463.312 MB |     9104 |
| mc15_13TeV:DAOD_SUSY2.10506298._000035.pool.root.1 | 643D184B-BC72-254B-ADD0-F3CDC794C828 | ad:411b152a | 463.411 MB |     9078 |
| mc15_13TeV:DAOD_SUSY2.10506298._000036.pool.root.1 | 362D2C6C-CEC2-9A40-B344-31FE6FCC55A1 | ad:653f3a2b | 464.851 MB |     9144 |
| mc15_13TeV:DAOD_SUSY2.10506298._000037.pool.root.1 | 87A1FFD4-D11C-7D4A-862B-5F319F98FB5F | ad:241714fd | 463.370 MB |     9084 |
| mc15_13TeV:DAOD_SUSY2.10506298._000038.pool.root.1 | D14A7687-29E1-7643-B1B8-5471A9EB25F2 | ad:5828a610 | 457.052 MB |     8986 |
| mc15_13TeV:DAOD_SUSY2.10506298._000039.pool.root.1 | 1F75234B-EAE4-6E45-8553-C8DBE6B80BB8 | ad:a2b0bde1 | 458.996 MB |     9047 |
| mc15_13TeV:DAOD_SUSY2.10506298._000040.pool.root.1 | 622D1662-D6C4-2742-9D54-EF2A3B19E03F | ad:25c2efe8 | 451.520 MB |     8861 |
| mc15_13TeV:DAOD_SUSY2.10506298._000041.pool.root.1 | 5DD3CD77-B925-7D4C-85A9-319563661615 | ad:9ac4eb98 | 460.494 MB |     9060 |
