m(C1),m(N1),dm,ISR,Flavor,Channel,NTrees,NodeSize,Depth,xSec,nSig,nBkg,BDTopt,nSig(BDTopt),nBkg(BDTopt),sigma(BDTopt),nSig(0),nBkg(0),sigma(0),nSig(0.1),nBkg(0.1),sigma(0.1),nSig(0.2),nBkg(0.2),sigma(0.2),nSig(0.3),nBkg(0.3),sigma(0.3)
200,180,20,no,comb,3,400,5,2,1.851,241,1426657,0.42,2.83,0,1.682,186.12,270728.11,0.358,112.11,76121.45,0.406,51.57,15946.8,0.408,11.98,2063.46,0.263
200,180,20,no,comb,3,100,7,2,1.851,241,1426657,0.64,2.83,0.49,1.553,186.75,301154.57,0.34,157.83,172935.53,0.379,100.13,77157.52,0.36,68.17,31395.37,0.384
200,180,20,no,comb,3,400,7,2,1.851,241,1426657,0.4,2.83,0.49,1.553,180.05,272636.87,0.345,115.22,83405.79,0.399,53.52,16669.98,0.414,9.4,1556.99,0.238
200,180,20,no,comb,3,100,5,2,1.851,241,1426657,0.65,2.07,0,1.439,188.57,282058.84,0.355,149.56,143123.23,0.395,91.82,51354.48,0.405,53.58,18881.71,0.389
200,180,20,no,comb,3,200,5,2,1.851,241,1426657,0.53,2.07,0,1.439,187.99,273656.29,0.359,135.17,110455.9,0.406,70.57,30608.46,0.403,29.65,7523.64,0.341
200,180,20,yes,ll,14,100,7,2,1.851,129,1369289,0.59,1.21,0,1.1,106.46,133842.78,0.291,84.3,51306.41,0.372,62.77,18505.36,0.461,29.41,5772.29,0.386
200,180,20,no,em,1,100,10,2,1.851,115,70313,0.66,1.09,0,1.044,73.34,17050.27,0.56,58.08,8600.3,0.624,30.68,3386.22,0.525,17.74,1055.86,0.541
200,180,20,no,em,1,100,7,2,1.851,115,70313,0.63,1.09,0,1.044,79.07,17645.35,0.594,53.76,8660.61,0.576,29.69,3257.9,0.518,19.37,963.08,0.618
200,180,20,yes,ll,14,200,5,2,1.851,129,1369289,0.44,1.21,0.34,0.972,104.05,107374.84,0.317,73.48,27985.46,0.439,40.55,6360.58,0.507,10.97,1330.76,0.3
200,180,20,no,ll,4,100,10,2,1.851,126,1356344,0.72,0.93,0,0.965,77.79,242037.58,0.158,60.14,112249.75,0.179,46.29,40965.04,0.229,25.95,16357.11,0.203
200,180,20,yes,ll,14,200,10,2,1.851,129,1369289,0.47,1.21,0.87,0.838,104.92,123642.61,0.298,70.84,35033.83,0.378,38.34,8255.79,0.421,9.57,1583.03,0.24
200,180,20,yes,comb,13,600,7,2,1.851,280,2138798,0.15,77.84,8692.84,0.831,228.15,195687.65,0.515,129.5,30075.5,0.745,24.07,1457,0.626,0,4.71,0
200,180,20,yes,comb,13,100,5,2,1.851,280,2138798,0.24,110.34,18746.1,0.804,230.67,224274.78,0.487,187.19,90810.7,0.621,129.67,33275.01,0.709,74.14,9368.84,0.763
200,180,20,yes,comb,13,100,10,4,1.851,280,2138798,0.34,45.13,3230.17,0.789,228.84,211308.38,0.498,199.07,88380.85,0.669,122.62,32074.39,0.683,56.65,6723.78,0.688
200,180,20,yes,ll,14,100,5,2,1.851,129,1369289,0.58,1.81,3.71,0.772,105.62,130351.53,0.292,83.57,49273.72,0.376,62.79,16767.94,0.484,36.85,5540.85,0.493
200,180,20,yes,ll,14,100,10,2,1.851,129,1369289,0.56,1.21,1.29,0.766,103.98,140633.12,0.277,83.1,53909.07,0.358,56.79,16902.66,0.436,30.86,6087.3,0.395
200,180,20,yes,comb,13,200,7,2,1.851,280,2138798,0.23,79.24,10885.77,0.757,228.71,229626.72,0.477,170.12,75859.09,0.617,98.26,18952.37,0.712,28.47,3482.51,0.48
200,180,20,yes,comb,13,100,7,2,1.851,280,2138798,0.21,140.01,37225.06,0.724,238.3,253635.51,0.473,193.48,110004.65,0.583,140.39,39985.04,0.701,75.61,12298.07,0.68
200,180,20,yes,comb,13,100,10,3,1.851,280,2138798,0.19,146.51,41919.99,0.714,236.58,235912.95,0.487,191.6,102032.52,0.599,130.1,36356.82,0.681,66.87,10711.88,0.644
200,180,20,yes,em,11,100,5,2,1.851,150,769509,0.33,24.95,1440.22,0.652,122.02,92646.03,0.401,96.11,37861.84,0.493,56.31,11303.3,0.528,26.43,2540.62,0.522
200,180,20,no,ll,4,200,10,2,1.851,126,1356344,0.57,0.93,1.77,0.566,75.97,236296.04,0.156,57.69,80850.5,0.203,30.92,23944.35,0.2,16.02,6286.27,0.202
200,180,20,no,comb,3,400,10,2,1.851,241,1426657,0.37,5.24,155.69,0.413,161.36,306411.67,0.291,91.92,94890.58,0.298,41.64,19823.6,0.295,13,2791.72,0.245
200,180,20,no,comb,3,600,10,2,1.851,241,1426657,0.34,4.07,115.75,0.372,158.48,305162.66,0.287,81.79,78948.37,0.291,31.98,12985.45,0.28,5.24,714.55,0.195
200,180,20,no,ll,4,100,5,2,1.851,126,1356344,0.24,48.21,23524.63,0.314,83.64,211632.58,0.182,66.94,97119.69,0.215,51.4,37164.72,0.266,29.78,12489.31,0.266
200,180,20,no,ll,4,200,5,2,1.851,126,1356344,0.46,4.29,186.56,0.311,78.81,203235.97,0.175,57.03,67994.32,0.219,31.2,17497.57,0.236,13.81,4333.55,0.209
200,180,20,yes,mm,12,100,5,2,1.851,42,266320,0.13,20.36,6257.57,0.257,34.79,28471.82,0.206,22.44,11080.15,0.213,10.95,2927.2,0.202,2.92,724.47,0.108
200,180,20,no,ll,4,100,7,2,1.851,126,1356344,0.66,2.36,84.95,0.252,81.75,246806.3,0.165,60.33,119943.07,0.174,41.5,42823.77,0.2,23.69,15942.56,0.187
200,180,20,yes,mm,12,100,10,2,1.851,42,266320,0.16,19.25,6820.73,0.233,34.72,29787.29,0.201,23.39,13079.75,0.204,13.39,4146.75,0.208,5.56,1247.5,0.157
200,180,20,no,ll,4,400,10,2,1.851,126,1356344,0.29,13.33,3399.61,0.228,75.57,234258.3,0.156,44.89,52409.63,0.196,19.22,10436.85,0.188,9.88,2604.35,0.193
300,280,20,no,comb,3,400,5,2,0.369,37,1426657,0.42,0.43,0,0.659,28.57,270728.11,0.055,17.21,76121.45,0.062,7.92,15946.8,0.063,1.84,2063.46,0.04
300,280,20,no,comb,3,100,5,2,0.369,37,1426657,0.65,0.32,0,0.564,28.95,282058.84,0.055,22.96,143123.23,0.061,14.1,51354.48,0.062,8.23,18881.71,0.06
300,280,20,no,comb,3,200,5,2,0.369,37,1426657,0.53,0.32,0,0.564,28.86,273656.29,0.055,20.75,110455.9,0.062,10.83,30608.46,0.062,4.55,7523.64,0.052
300,280,20,no,comb,3,400,7,2,0.369,37,1426657,0.43,0.31,0,0.556,27.64,272636.87,0.053,17.69,83405.79,0.061,8.22,16669.98,0.064,1.44,1556.99,0.037
300,280,20,yes,ll,14,100,7,2,0.369,26,1369289,0.59,0.24,0,0.494,21.46,133842.78,0.059,16.99,51306.41,0.075,12.65,18505.36,0.093,5.93,5772.29,0.078
